id_s!,family_s*,family_short_s,gradeband_s*,category_s,desc_t
8.RL.8,Common Core English Language Arts Standards,CC ELA,6-8,Reading Literature,(Not applicable to literature)
8.RL.9,Common Core English Language Arts Standards,CC ELA,6-8,Reading Literature,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new."
9-10.RL.1,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
9-10.RL.10,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range."
9-10.RL.2,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text."
9-10.RL.3,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme."
9-10.RL.4,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone)."
9-10.RL.5,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"Analyze how an author’s choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise."
9-10.RL.6,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature."
9-10.RL.7,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"Analyze the representation of a subject or a key scene in two different artistic mediums, including what is emphasized or absent in each treatment (e.g., Auden’s “Musée des Beaux Arts” and Breughel’s Landscape with the Fall of Icarus)."
9-10.RL.8,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,(Not applicable to literature)
9-10.RL.9,Common Core English Language Arts Standards,CC ELA,9-12,Reading Literature,"Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare)."
K.RL.1,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,"With prompting and support, ask and answer questions about key details in a text."
K.RL.10,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,Actively engage in group reading activities with purpose and understanding.
K.RL.2,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,"With prompting and support, retell familiar stories, including key details."
K.RL.3,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,"With prompting and support, identify characters, settings, and major events in a story."
K.RL.4,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,Ask and answer questions about unknown words in a text.
K.RL.5,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,"Recognize common types of texts (e.g., storybooks, poems)."
K.RL.6,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
K.RL.7,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
K.RL.8,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,(Not applicable to literature)
K.RL.9,Common Core English Language Arts Standards,CC ELA,K-2,Reading Literature,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
11-12.RST.1,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Cite specific textual evidence to support analysis of science and technical texts, attending to important distinctions the author makes and to any gaps or inconsistencies in the account."
11-12.RST.10,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"By the end of grade 12, read and comprehend science/technical texts in the grades 11–12 text complexity band independently and proficiently."
11-12.RST.2,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms."
11-12.RST.3,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyze the specific results based on explanations in the text."
11-12.RST.4,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 11–12 texts and topics."
11-12.RST.5,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Analyze how the text structures information or ideas into categories or hierarchies, demonstrating understanding of the information or ideas."
11-12.RST.6,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, identifying important issues that remain unresolved."
11-12.RST.7,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., quantitative data, video, multimedia) in order to address a question or solve a problem."
11-12.RST.8,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Evaluate the hypotheses, data, analysis, and conclusions in a science or technical text, verifying the data when possible and corroborating or challenging conclusions with other sources of information."
11-12.RST.9,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Synthesize information from a range of sources (e.g., texts, experiments, simulations) into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible."
6-8.RST.1,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,Cite specific textual evidence to support analysis of science and technical texts.
6-8.RST.10,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"By the end of grade 8, read and comprehend science/technical texts in the grades 6–8 text complexity band independently and proficiently."
6-8.RST.2,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,Determine the central ideas or conclusions of a text; provide an accurate summary of the text distinct from prior knowledge or opinions.
6-8.RST.3,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"Follow precisely a multistep procedure when carrying out experiments, taking measurements, or performing technical tasks."
6-8.RST.4,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6–8 texts and topics."
6-8.RST.5,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to an understanding of the topic."
6-8.RST.6,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text."
6-8.RST.7,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table)."
6-8.RST.8,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"Distinguish among facts, reasoned judgment based on research findings, and speculation in a text."
6-8.RST.9,Common Core English Language Arts Standards,CC ELA,6-8,Reading Science/Technical,"Compare and contrast the information gained from experiments, simulations, video, or multimedia sources with that gained from reading a text on the same topic."
9-10.RST.1,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Cite specific textual evidence to support analysis of science and technical texts, attending to the precise details of explanations or descriptions."
9-10.RST.10,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"By the end of grade 10, read and comprehend science/technical texts in the grades 9–10 text complexity band independently and proficiently."
9-10.RST.2,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Determine the central ideas or conclusions of a text; trace the text’s explanation or depiction of a complex process, phenomenon, or concept; provide an accurate summary of the text."
9-10.RST.3,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks, attending to special cases or exceptions defined in the text."
9-10.RST.4,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 9–10 texts and topics."
9-10.RST.5,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Analyze the structure of the relationships among concepts in a text, including relationships among key terms (e.g., force, friction, reaction force, energy)."
9-10.RST.6,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, defining the question the author seeks to address."
9-10.RST.7,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Translate quantitative or technical information expressed in words in a text into visual form (e.g., a table or chart) and translate information expressed visually or mathematically (e.g., in an equation) into words."
9-10.RST.8,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,Assess the extent to which the reasoning and evidence in a text support the author’s claim or a recommendation for solving a scientific or technical problem.
9-10.RST.9,Common Core English Language Arts Standards,CC ELA,9-12,Reading Science/Technical,"Compare and contrast findings presented in a text to those from other sources (including their own experiments), noting when the findings support or contradict previous explanations or accounts."
1.SL.1,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.
1.SL.1.a,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion)."
1.SL.1.b,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.
1.SL.1.c,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Ask questions to clear up any confusion about the topics and texts under discussion.
1.SL.2,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.
1.SL.3,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.
1.SL.4,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly."
1.SL.5,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings."
1.SL.6,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Produce complete sentences when appropriate to task and situation.
11-12.SL.1,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 11–12 topics, texts, and issues, building on others’ ideas and expressing their own clearly and persuasively."
11-12.SL.1.a,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas."
11-12.SL.1.b,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Work with peers to promote civil, democratic discussions and decision-making, set clear goals and deadlines, and establish individual roles as needed."
11-12.SL.1.c,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Propel conversations by posing and responding to questions that probe reasoning and evidence; ensure a hearing for a full range of positions on a topic or issue; clarify, verify, or challenge ideas and conclusions; and promote divergent and creative perspectives."
11-12.SL.1.d,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Respond thoughtfully to diverse perspectives; synthesize comments, claims, and evidence made on all sides of an issue; resolve contradictions when possible; and determine what additional information or research is required to deepen the investigation or complete the task."
11-12.SL.2,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Integrate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, orally) in order to make informed decisions and solve problems, evaluating the credibility and accuracy of each source and noting any discrepancies among the data."
11-12.SL.3,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, assessing the stance, premises, links among ideas, word choice, points of emphasis, and tone used."
11-12.SL.4,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range of formal and informal tasks."
11-12.SL.5,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest."
11-12.SL.6,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Adapt speech to a variety of contexts and tasks, demonstrating a command of formal English when indicated or appropriate."
2.SL.1,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Participate in collaborative conversations with diverse partners about grade 2 topics and texts with peers and adults in small and larger groups.
2.SL.1.a,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion)."
2.SL.1.b,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Build on others’ talk in conversations by linking their comments to the remarks of others.
2.SL.1.c,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Ask for clarification and further explanation as needed about the topics and texts under discussion.
2.SL.2,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Recount or describe key ideas or details from a text read aloud or information presented orally or through other media.
2.SL.3,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,"Ask and answer questions about what a speaker says in order to clarify comprehension, gather additional information, or deepen understanding of a topic or issue."
2.SL.4,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,"Tell a story or recount an experience with appropriate facts and relevant, descriptive details, speaking audibly in coherent sentences."
2.SL.5,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,"Create audio recordings of stories or poems; add drawings or other visual displays to stories or recounts of experiences when appropriate to clarify ideas, thoughts, and feelings."
2.SL.6,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Produce complete sentences when appropriate to task and situation in order to provide requested detail or clarification.
3.SL.1,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others’ ideas and expressing their own clearly."
3.SL.1.a,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
3.SL.1.b,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion)."
3.SL.1.c,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others."
3.SL.1.d,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Explain their own ideas and understanding in light of the discussion.
3.SL.2,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
3.SL.3,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail."
3.SL.4,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace."
3.SL.5,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details.
3.SL.6,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification.
4.SL.1,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 4 topics and texts, building on others’ ideas and expressing their own clearly."
4.SL.1.a,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
4.SL.1.b,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Follow agreed-upon rules for discussions and carry out assigned roles.
4.SL.1.c,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Pose and respond to specific questions to clarify or follow up on information, and make comments that contribute to the discussion and link to the remarks of others."
4.SL.1.d,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Review the key ideas expressed and explain their own ideas and understanding in light of the discussion.
4.SL.2,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
4.SL.3,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Identify the reasons and evidence a speaker provides to support particular points.
4.SL.4,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Report on a topic or text, tell a story, or recount an experience in an organized manner, using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace."
4.SL.5,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Add audio recordings and visual displays to presentations when appropriate to enhance the development of main ideas or themes.
4.SL.6,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion); use formal English when appropriate to task and situation."
5.SL.1,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others’ ideas and expressing their own clearly."
5.SL.1.a,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
5.SL.1.b,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Follow agreed-upon rules for discussions and carry out assigned roles.
5.SL.1.c,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Pose and respond to specific questions by making comments that contribute to the discussion and elaborate on the remarks of others.
5.SL.1.d,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Review the key ideas expressed and draw conclusions in light of information and knowledge gained from the discussions.
5.SL.2,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
5.SL.3,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.
5.SL.4,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace."
5.SL.5,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes."
5.SL.6,Common Core English Language Arts Standards,CC ELA,3-5,Speaking & Listening,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation."
6.SL.1,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 6 topics, texts, and issues, building on others’ ideas and expressing their own clearly."
6.SL.1.a,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
6.SL.1.b,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Follow rules for collegial discussions, set specific goals and deadlines, and define individual roles as needed."
6.SL.1.c,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Pose and respond to specific questions with elaboration and detail by making comments that contribute to the topic, text, or issue under discussion."
6.SL.1.d,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,Review the key ideas expressed and demonstrate understanding of multiple perspectives through reflection and paraphrasing.
6.SL.2,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Interpret information presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how it contributes to a topic, text, or issue under study."
6.SL.3,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Delineate a speaker’s argument and specific claims, distinguishing claims that are supported by reasons and evidence from claims that are not."
6.SL.4,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Present claims and findings, sequencing ideas logically and using pertinent descriptions, facts, and details to accentuate main ideas or themes; use appropriate eye contact, adequate volume, and clear pronunciation."
6.SL.5,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Include multimedia components (e.g., graphics, images, music, sound) and visual displays in presentations to clarify information."
6.SL.6,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate."
7.SL.1,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 7 topics, texts, and issues, building on others’ ideas and expressing their own clearly."
7.SL.1.a,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
7.SL.1.b,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Follow rules for collegial discussions, track progress toward specific goals and deadlines, and define individual roles as needed."
7.SL.1.c,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,Pose questions that elicit elaboration and respond to others’ questions and comments with relevant observations and ideas that bring the discussion back on topic as needed.
7.SL.1.d,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Acknowledge new information expressed by others and, when warranted, modify their own views."
7.SL.2,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Analyze the main ideas and supporting details presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how the ideas clarify a topic, text, or issue under study."
7.SL.3,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Delineate a speaker’s argument and specific claims, evaluating the soundness of the reasoning and the relevance and sufficiency of the evidence."
7.SL.4,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Present claims and findings, emphasizing salient points in a focused, coherent manner with pertinent descriptions, facts, details, and examples; use appropriate eye contact, adequate volume, and clear pronunciation."
7.SL.5,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,Include multimedia components and visual displays in presentations to clarify claims and findings and emphasize salient points.
7.SL.6,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate."
8.SL.1,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 8 topics, texts, and issues, building on others’ ideas and expressing their own clearly."
8.SL.1.a,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
8.SL.1.b,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Follow rules for collegial discussions and decision-making, track progress toward specific goals and deadlines, and define individual roles as needed."
8.SL.1.c,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Pose questions that connect the ideas of several speakers and respond to others’ questions and comments with relevant evidence, observations, and ideas."
8.SL.1.d,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented."
8.SL.2,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Analyze the purpose of information presented in diverse media and formats (e.g., visually, quantitatively, orally) and evaluate the motives (e.g., social, commercial, political) behind its presentation."
8.SL.3,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Delineate a speaker’s argument and specific claims, evaluating the soundness of the reasoning and relevance and sufficiency of the evidence and identifying when irrelevant evidence is introduced."
8.SL.4,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Present claims and findings, emphasizing salient points in a focused, coherent manner with relevant evidence, sound valid reasoning, and well-chosen details; use appropriate eye contact, adequate volume, and clear pronunciation."
8.SL.5,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Integrate multimedia and visual displays into presentations to clarify information, strengthen claims and evidence, and add interest."
8.SL.6,Common Core English Language Arts Standards,CC ELA,6-8,Speaking & Listening,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate."
9-10.SL.1,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 9–10 topics, texts, and issues, building on others’ ideas and expressing their own clearly and persuasively."
9-10.SL.1.a,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas."
9-10.SL.1.b,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Work with peers to set rules for collegial discussions and decision-making (e.g., informal consensus, taking votes on key issues, presentation of alternate views), clear goals and deadlines, and individual roles as needed."
9-10.SL.1.c,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Propel conversations by posing and responding to questions that relate the current discussion to broader themes or larger ideas; actively incorporate others into the discussion; and clarify, verify, or challenge ideas and conclusions."
9-10.SL.1.d,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Respond thoughtfully to diverse perspectives, summarize points of agreement and disagreement, and, when warranted, qualify or justify their own views and understanding and make new connections in light of the evidence and reasoning presented."
9-10.SL.2,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Integrate multiple sources of information presented in diverse media or formats (e.g., visually, quantitatively, orally) evaluating the credibility and accuracy of each source."
9-10.SL.3,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, identifying any fallacious reasoning or exaggerated or distorted evidence."
9-10.SL.4,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Present information, findings, and supporting evidence clearly, concisely, and logically such that listeners can follow the line of reasoning and the organization, development, substance, and style are appropriate to purpose, audience, and task."
9-10.SL.5,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest."
9-10.SL.6,Common Core English Language Arts Standards,CC ELA,9-12,Speaking & Listening,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate."
K.SL.1,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
K.SL.2,Common Core English Language Arts Standards,CC ELA,K-2,Speaking & Listening,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
