displayweight_i,displayweight_pre_i,displayweight_25_i,displayweight_middle_i,displayweight_high_i,code_s,name_s,orgname_s,url_s,longdescription_t,image_s,tags_s,teachers_notes_s,languages_supported_s,short_code_s,tags_grade_s,string_detail_grades_s,tags_teacher_experience_s,tags_student_experience_s,tags_activity_type_s,tags_subject_s,tags_platform_s,string_platforms_s,string_detail_platforms_s,tags_length_s,tags_programming_language_s,string_detail_programming_languages_s,tags_accessibility_s,string_standards_t,popularityrank_i,popularityrank_pre_i,popularityrank_25_i,popularityrank_middle_i,popularityrank_high_i
1374,1,1374,1374,1374,plethora,Plethora: Cause and Effect,Plethora,https://www.iamplethora.com/hour-of-code/,In this Plethora activity you will solve visual fun challenges and learn the concepts of cause and effect and user interaction. ,/images/tutorials/hoc2020/plethora.jpg,2020-tutorial,https://drive.google.com/file/d/1f05Y8MAINxfc0MzjyTFCgd1lM9j-RWss/view,"ar,zh-CN,en,fr,he,pt-BR,es,es-MX",plethora,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad",,1hour,other,Language independent (can be taught in multiple languages),none,,263,999,999,999,999
1374,1,1,1374,1,codeguppy_text,Introduction to text based coding,CodeGuppy,https://codeguppy.com/code.html?t=_intro_to_coding,Learn the basics of text based coding by creating your first program in an online coding editor,/images/tutorials/hoc2020/codeguppy_text.jpg,2020-tutorial,,en,codeguppytext,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,art,"computers,android,ios","All modern browsers, Android tablet, iPad",,1hour-follow,typing,JavaScript,none,,999,999,999,999,999
1374,1,1,1374,1374,educode_secret,Uncover the Agency's Secrets!,EduCode Academy,https://app.educode.org/hour-of-code/activity-3,"Explore the worlds of secrets with Agent Smith as you dive deeper into learning if statements, strings, for-in loops. Help Agent Smith find the culprits and configure the Agency's operating system for their new users with Python.",/images/tutorials/hoc2020/educode_secret.png,2020-tutorial,https://app.educode.org/hour-of-code/activity-3/teacher,"en,en-GB",educodesecret,"all,6-8,9+",Grades 6+,comfortable,comfortable,online-tutorial,cs-only,computers,All modern browsers,,1hour-follow,typing,Python,captions,,999,999,999,96,74
1373,1,1,1373,1373,trinket_girl,Code Like a Girl: A Storyteller,Code Like a Girl (book) and Trinket,https://trinket.io/hourofpython/courses/storyteller#/welcome/1-start-here,"Learn to program a big story using Python, and then change it up to create your own story!",/images/tutorials/hoc2019/trinket_girl.jpg,2019-tutorial,,en,trinketgirl,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,la,"android,computers,ios,screenreader","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone, Screen reader",,1hour,typing,Python,"screenreader,tts,captions,highcontrast",,332,999,999,999,999
1372,1,1,1,1372,bsd_rockpaper,"Rock, Paper, Scissors with Python",BSD Education,https://app.bsd.education/project/rock-paper-scissors-with-python,"Use the Python programming language to build a 'Rock, Paper, Scissors' game. Don't worry if you have never tried Python, we will walk you through each step.",/images/tutorials/hoc2022/bsd_rockpaper.png,2022-tutorial,https://app.bsd.education/project/rock-paper-scissors-with-python,"en,en-GB",bsdrockpaper,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,"science,math,history,la ",computers,"Chrome, Firefox",,1hour,typing,Python,none,ISTE and CSTA,307,999,999,999,999
1371,1,1,1450,1371,tt_dungeon,Binary Dungeon,"Terminal Two, Endless",https://terminaltwo.com/HOC/games/binary-dungeon?utm_source=Referral&utm_medium=Hourofcode&utm_content=BinaryDungeon,"The evil wizard Nullonor poses a grave threat to the realm, and only you have the power to banish them forever. However, Nullonor is as cunning as he is dangerous. He hides in his magical tower of ever-shifting rooms, and no hero has successfully reached the top floor yet. As the champion of the Index Knights, do you have what it takes to find and defeat Nullonor?",/images/tutorials/hoc2021/tt_dungeon.png,2021-tutorial,https://drive.google.com/drive/folders/1L3OEZRlk4rj2n6y2jEDlQ-CAxGZDmNKv?usp=sharing,"en,en-GB",ttdungeon,"all,6-8,9+",Grades 6+,comfortable,comfortable,online-tutorial,math,computers,"Chrome, Firefox",,1hour,typing,Algorithms,none,"1B-AP-09
1B-AP-10
1B-AP-11
1B-AP-12
1B-AP-15",999,999,999,999,999
1370,1,1,1370,1370,bs_data,Hour of Data,Bootstrap,https://teacher.desmos.com/activitybuilder/custom/61aeb1da79cd49727623544f,"This Hour of Data lesson is a self-guided Desmos activity. Students explore data visualization, introductory programming using The Pyret Programming Language, and the application of Data Science to solve real problems. Students will investigate a data set of vehicle-wildlife collisions in Vermont and make recommendations about where to build wildlife overpasses.",/images/tutorials/hoc2023/bs_data.png,2023-tutorial,https://teacher.desmos.com/activitybuilder/teacherguide/61aeb1da79cd49727623544f,en,bsdata,"all,6-8,9+        ",Grades 6+,beginner,beginner,online-tutorial,"science,math",computers,All modern browsers,do-not-show,"1hour,1hour-follow",typing,Pyret,"tts,screenreader","CCSS.6.RP.A.3
CCSS.7.RP.A.3
CCSS.7.SP.B
CCSS.HSS.ID.B.6
CCSS.HSS.IC.B
CSTA.1B-DA-07
NGSS.MS-SEP1-2
NGSS.MS-SEP1-8
NGSS.MS-SEP4-4
NGSS.MS-SEP4-7
NGSS.MS-SEP5-4
NGSS.HS-SEP5-2
K-12CS.6-8.Computing Systems.Devices",999,999,999,999,999
1369,1,1,1369,1369,raspberrypi_astropi,Astro Pi: Mission Zero,Raspberry Pi Foundation,https://projects.raspberrypi.org/en/projects/astro-pi-mission-zero?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-astro-pi,Code a message and check the ambient air temperature on board the ISS using an online simulator of the Astro Pi computer's Sense HAT.,/images/tutorials/hoc2018/raspberrypi_astropi.png,2018-tutorial,,"ar,da,nl,en,fi,fr,de,el,hu,it,nn,pl,es,sv",astropi,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,science,computers,All modern browsers,,1hour,typing,Python,none,,274,999,999,999,999
1369,1,1,1369,1369,tynker_mars,NASA Moon 2 Mars,Tynker,https://www.tynker.com/hour-of-code/nasa-moon-2-mars,"Explore NASA's exciting new efforts to reach the Moon and then Mars. Students can design their own animated mission patch, imagine their life as an Artemis astronaut on the Lunar Gateway, and more. Beginners can try step-by-step tutorials, while experienced programmers can create their own original projects with block or text coding.",/images/tutorials/hoc2019/tynker_mars.png,2019-tutorial,https://www.tynker.com/hour-of-code/nasa-moon-2-mars,en,tynkermars,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"art,history,la,math,science","computers,ios","All modern browsers, iPad",,1hour,"blocks,typing","Blocks, JavaScript, Python, HTML, CSS",none,"CCSS-ELA: RI.1.7, RF.1.4, RF.1.4.A, SL.1.1, RI.2.7, RF.2.4, RF.2.4.A, SL.2.1, RI.3.7, RF.3.4, RF.3.4.A, SL.3.1, RF.4.4.A, RF.1.4.A, RF.4.4, SL.4.1, RF.5.4.A, RF.5.4, SL.5.1, RI.6.4, RI.6.7, SL.6.1, SL.7.1,  RI.7.4, SL.8.1, RI.8.4, RI.9-10.5, RI.11-12.6
CCSS-Math: MP.1
K12CS: P1.1, P1.3, P2.1, P2.3-2.4, P3.2-3.3, P4.4, P5.1-5.2, P6.1-6.3, P7.2-7.3
CSTA: 1A-AP-09, 1A-AP-10, 1A-AP-11, 1A-AP-12, 1A-AP-13, 1B-AP-11, 1B-AP-12, 1B-AP-14,  1B-AP-15, 2-AP-13, 2-AP-16, 2-AP-17, 3A-AP-17, 3A-AP-11, 3A-AP-17
CS CA: K-2.AP.12, K-2.AP.13, K-2.AP.14, K-2.AP.15, K-2.AP.16, 3-5.AP.10, 3-5.AP.13, 3-5.AP.14, 3-5.AP.17, 6-8.AP.13, 6-8.AP.16, 6-8.AP.17, 9-12.AP.12, 9-12.AP.16
ISTE: 1.c, 1.d, 4.d, 5.c, 5.d, 6.b",235,999,999,999,999
1369,1,1,1369,1,rpi_mosquito,Mosquito patrol,Raspberry Pi Foundation,https://projects.raspberrypi.org/en/projects/cd-sebento-scratch-1?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-mosquito-patrol,Make a game where you protect people from malaria by making a parrot catch mosquitoes.,/images/tutorials/hoc2019/rpi_mosquito.png,2019-tutorial,,"en,en-GB",rpimosquito,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,la,"android,computers,ios","All modern browsers, Android tablet, iPad",,1hour,blocks,Scratch,none,,184,999,999,999,999
1366,1366,1366,1366,1,cherrypicks_codinggalaxy,Coding Galaxy - Adventure Planet,cherrypicks,https://codinggalaxy.com/hour-of-code,"For your first mission on Adventure Planet, your duty is to solve coding puzzles to save the beautiful planet.",/images/tutorials/hoc2018/cherrypicks_codinggalaxy.png,2018-tutorial,https://codinggalaxy.com/blog/wp-content/uploads/2018/09/Coding-Galaxy-Hour-of-Code-Adventure-Planet-Lesson-Plan.pdf,"zh,en",codinggalaxy,"all,pre,2-5,6-8",Pre-reader - Grade 8,beginner,beginner,online-tutorial,cs-only,"android,ios","Android tablet, iPad, iPhone, Unplugged (no technology needed)",,1hour,blocks,Blocks,none,"CSTA K-12 Computer Science Standards (2017)
1A-AP-08 Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.
1B-AP-08 Compare and refine multiple algorithms for the same task and determine which is the most appropriate.
1A-AP-11 Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.
1A-AP-12 Develop plans that describe a program's sequence of events, goals, and expected outcomes.

ISTE Standards for Readiness
5.c. Break problems into component parts, extract key information and develop descriptive models to understand complex systems or facilitate problem solving.",351,29,999,999,999
1365,1,1365,1365,1365,hedy_text,Hedy: textual programming made easy!,hedy.org,https://www.hedy.org/hour-of-code#print_command,"Hedy is the easy way to get started with textual programming languages! Hedy is free to use, open source, and unlike any other textual programming language in three ways: you can use Hedy in your own language, you can learn one concept and its syntax a time, is built for the classroom, allowing teachers to fully customize their student's experience.",/images/tutorials/hoc2023/hedy_text.png,2023-tutorial,https://www.hedycode.com/for-teachers/manual,"sq,ar,bn,bg,ca,zh-CN,zh-TW,cs,da,nl,en,et,fi,fr,de,el,he,hi,hu,id,it,ja,ko,ku,no,fa-IR,pt-BR,pt-PT,ro,ru,sr,es,sv,te,tr,uk,ur,vi",hedytext,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,"science,math,la,art","android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",do-not-show,few-hours,typing,"Python, Hedy ","tts,highcontrast,screenreader,captions,keyboard",do-not-show,106,999,122,999,999
1364,1,1,1,1364,gamefroot_bloons,Bloons Trigonometry Defense,Gamefroot,http://make.gamefroot.com/partners/ninja-kiwi,"In this lesson you will code a shooting monkey tower from the popular Bloons Tower Defense game.

By the end of the lesson you will know the angle finding maths and algorithms commonly used in many of today's most popular tower defense games.

You will be able to apply this knowledge in your own game. 

Gamefroot Hour of Code tutorials use a visual programming language using blocks where students simply drag and drop visual blocks to write code.",/images/tutorials/hoc2017/gamefroot_bloons.jpg,2017-tutorial,,en,gfbloons,"all,9+",Grades 9+,comfortable,comfortable,online-tutorial,math,computers,All modern browsers,,few-hours,blocks,Blocks,none,NZQA/NCEA Geometry,189,999,999,999,26
1363,1,1,1363,1363,mit_codi,Codi the Bee,MIT App Inventor,http://bit.ly/MITAppInventorHoC,Learn to make your own interactive mobile app. Press the bee and hear it buzz!,/images/tutorials/hoc2018/mit_codi.png,2018-tutorial,http://appinventor.mit.edu/explore/hour-of-code/teach.html,en,mitcodi,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","Chrome, Firefox, Safari, Android tablet, Android phone, iPad, iPhone",,1hour,blocks,Blocks,captions,3A-AP-16,325,999,999,999,999
1362,1362,1,1,1,codehs_kinder,Training AI Using Data K-1,CodeHS,https://codehs.com/hoc/TrainingAIUsingData-K1,"Explore, understand, and model how artificial intelligence is trained with data to make predictions!",/images/tutorials/hoc2023/codehs_kinder.png,2023-tutorial,,en,codehskinder,"all,pre",Pre-reader - Grade 1,beginner,beginner,online-tutorial,"math,la,ai","android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",do-not-show,1hour,blocks,Blocks,"tts,highcontrast,screenreader,captions,keyboard","CSTA 1A: 1A-IC-17, NGSS K-5: K-2-ETS1-1",999,30,999,999,999
1361,1,1361,1,1,codehs_aielem,Training AI Using Data 2-5,CodeHS,https://codehs.com//hoc/TrainingAIUsingData2-5,"Students will explore, understand, and model how artificial intelligence is trained with data to make predictions!",/images/tutorials/hoc2023/codehs_aielem.png,2023-tutorial,https://codehs.com//hoc/TrainingAIUsingData2-5,en,codehsaielem,"all,2-5",Grades 2-5,beginner,beginner,online-tutorial,"science,math,la,ai","android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",do-not-show,1hour,blocks,Blocks,"tts,highcontrast,screenreader,captions,keyboard","CSTA 1B: 1B-DA-07, CSTA 1B: 1B-IC-18, NGSS K-5: K-2-ETS1-1",999,999,999,999,999
1358,1,1358,1,1,bp_math_scratch,Math: Multiplication (Scratch),BrainPOP,https://go.brainpop.com/scratch/multiplication,Creative Coding - developed with Scratch and Vidcode - pairs block- and text-based projects with hundreds of cross-curricular topics. Projects are scaffolded so that teachers of any subject - regardless of prior experience - can easily introduce coding. The project-based approach positions coding as a means of self-expression for students and gives them a creative way to show what they know.,/images/tutorials/hoc2018/bp_math_scratch.jpg,2018-tutorial,https://educators.brainpop.com/creative-coding-teaching-resources/,en,bpmathscratch,"all,2-5",Grades 2-5,beginner,beginner,online-tutorial,math,"computers,android,ios,screenreader","All modern browsers, Android tablet, iPad, Screen reader",,1hour,"blocks,typing","Blocks, JavaScript","screenreader,tts,keyboard,highcontrast","CCSS, NGSS, CSTA",999,999,999,999,999
1357,1357,1357,1,1,bekids_adventure,Creative Coding Adventures,Bekids.com,https://bekids.com/hoc/,"Explore creativity through two engaging games with block-based programming! Create fun geometric patterns, and craft car routes through exciting challenges. Unleash creativity, enhance logic, and get to know the art of programming!",/images/tutorials/hoc2023/bekids_adventure.png,2023-tutorial,,en,bekidsadventure,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,online-tutorial,"math,art","android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",do-not-show,1hour,blocks,Blocks,highcontrast,do-not-show,212,11,94,999,999
1356,1,1,1356,1356,bp_health_vidcode,Health: DNA (Vidcode),BrainPOP,https://go.brainpop.com/vidcode/DNA,Creative Coding - developed with Scratch and Vidcode - pairs block- and text-based projects with hundreds of cross-curricular topics. Projects are scaffolded so that teachers of any subject - regardless of prior experience - can easily introduce coding. The project-based approach positions coding as a means of self-expression for students and gives them a creative way to show what they know.,/images/tutorials/hoc2018/bp_health_vidcode.jpg,2018-tutorial,https://educators.brainpop.com/creative-coding-teaching-resources/,en,bphealthvid,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,science,"computers,android,ios,screenreader","All modern browsers, Android tablet, iPad, Screen reader",,1hour,"blocks,typing","Blocks, JavaScript","screenreader,tts,keyboard,highcontrast","CCSS, NGSS, CSTA",999,999,999,999,999
1356,1356,1,1,1,kodable_puppies,Robots and Puppies,Kodable,https://www.kodable.com/hour-of-code/robots-and-puppies,Students will meet Kodable's fluffy friends and learn how to care for them! 'Pets' are in-game puppies that require a lot of love and attention. Students will program Carebots to help with the responsibility of being a new paw-rent using coding concepts such as functions and conditional statements.,/images/tutorials/hoc2022/kodable_puppies.png,2022-tutorial,https://www.kodable.com/hour-of-code/robots-and-puppies,"en,en-GB",kodablepuppies,"all,pre,2-5,6-8,9+",Pre-reader +,beginner,beginner,online-tutorial,art,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,"1hour,1hour-follow",typing,"C/C++, JavaScript, iOS/Swift",none,"NGSS: K-2-ETS1
Common Core: CCSS.ELA-LITERACY.RF.K.1; CCSS.ELA-LITERACY.RF.K.1; CCSS.ELA-LITERACY.W.5.2
ISTE:1C, 3D, 5D, 7D 
CSTA: 1A-A-P-10 K-5; 1A-A-P-11 K-5; 1B-A-P-15 K-5 ",119,9,98,999,999
1356,1,1490,1356,1,google_name,Design Your Name,Google,https://g.co/csfirst/hoc2022-name,"Pick a name and bring the letters of the word to life using code. Choose a nickname, a pet's name, an animal, a sport, a place or a hobby.",/images/tutorials/hoc2022/google_name.png,2022-tutorial,,"en,es-MX",googlename ,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,art,computers,All modern browsers,,"1hour,1hour-follow",blocks,Blocks,"tts,captions,highcontrast","Events
CSTA Standards addressed
2-DA-09: Refine computational models based on the data they have generated

Sequencing
CSTA Standard addressed
2-AP-10: Use flowcharts and/or pseudocode to address complex problems as algorithms.

Loops
CSTA Standard addressed
2-AP-12: Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals.",999,999,999,999,999
1354,1,1,1,1354,educative_chatbot,Build your own chatbot in Python,Educative,https://www.educative.io/courses/build-your-own-chatbot-in-python,"Learn about the realm of Artificial intelligence and Machine Learning, as well as programing your own chatbot!",/images/tutorials/hoc2020/educative_chatbot.png,2020-tutorial,,en,educativechatbot,"all,9+",Grades 9+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,Python,none,,341,999,999,999,999
1352,1,1,1352,1352,khan_webpages,Making Webpages,Khan Academy,https://www.khanacademy.org/computing/hour-of-code/hour-of-html/v/making-webpages-intro,"Learn how to make webpages with HTML tags and CSS, and finish up by making your very own greeting card to share with friends or family.",/images/tutorials/hoc2018/khan_webpages.png,2018-tutorial,https://www.khanacademy.org/computing/hour-of-code/hour-of-code-for-teachers/a/using-hour-of-code-in-your-classroom,"cs,en,it,pl,pt-br,sr,es-mx",khanwebpages,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour-follow,typing,HTML/CSS,"keyboard,captions",,999,999,999,999,68
1352,1,1,1352,1352,codehs_design,Supporting Artists with Code,CodeHS,https://www.codehs.com/hoc_coding_for_artists,"Coders will learn how programming can support artists and build their own Online Shop mockup, using HTML. ",/images/tutorials/hoc2020/codehs_design.png,2020-tutorial,https://www.codehs.com/hoc_guide_coding_for_artists,en,codehsdesign,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,art,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,typing,HTML,"keyboard,captions,highcontrast",,317,999,999,999,999
1352,1,1,1352,1352,codehs_math,Coding Mathematical Models,CodeHS,https://codehs.com/hoc_modeling,"Students are introduced to Tracy the Turtle and learn how to code different mathematical models in Python! No coding experience is necessary, but students should have completed Algebra I or higher. ",/images/tutorials/hoc2018/codehs_math.png,2018-tutorial,http://codehs.com/hoc_guide_modeling,en,codehsmath,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,math,computers,All modern browsers,,1hour,typing,Python,"tts,keyboard,captions,highcontrast","CCSS.MATH.CONTENT.HSA.CED.A.2: Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.
CCSS.MATH.CONTENT.HSF.LE.A.2: Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).
CCSS.MATH.CONTENT.HSF.LE.B.5: Interpret the parameters in a linear or exponential function in terms of a context.",337,999,999,999,999
1352,1,1,1352,1352,educode_basics,Learn the Basics!,EduCode Academy,https://app.educode.org/hour-of-code/activity-1,Learn some programming fundamentals and create your own game in the process!,/images/tutorials/hoc2020/educode_basics.png,2020-tutorial,https://app.educode.org/hour-of-code/activity-1/teacher,"en,en-GB",educodebasics,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour-follow,typing,JavaScript,captions,"2-CS-01, 1B-CS-02, 1B-AP-11, 2-AP-13, 2-AP-14, 1B-CS-02, 2-DA-07, 1B-AP-09, 2-AP-11",999,999,999,999,999
1352,1,1,1,1450,stemcoding_data,Data Science: Earth Day,STEMcoding Project,https://www.asc.ohio-state.edu/orban.14/stemcoding/earthday/earthday.html,Create a simple model for the climate where you live and then use it to understand how a few degrees of increased temperature can have a significant impact on the natural world. Includes an option to download the data to a spreadsheet for further analysis.,/images/tutorials/hoc2021/stemcoding_data.png,2021-tutorial,https://www.asc.ohio-state.edu/orban.14/stemcoding/earthday_teachers/teacher_guide.html,"en,en-GB",stemdata,"all,9+",Grades 9+,comfortable,comfortable,online-tutorial,"math,science","computers,ios","All modern browsers, iPad",,1hour,typing,"JavaScript, Includes option to download and analyze data in Google Sheets and Excel",highcontrast,There are a number of NGSS standards relating to computation and creating models of the human impact on the environment that this activity is designed to align with.  For more info: http://go.osu.edu/ngss ,999,999,999,999,999
1348,1,1,1348,1348,coinbase_crypto,The Crypto Memory Game,Coinbase,https://coinbase.github.io/memorygame/story.html,Test your memory and learn the basics of crypto!,/images/tutorials/hoc2022/coinbase_crypto.png,2022-tutorial,,"en,en-GB",coinbasecrypto,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,other,Cryptocurrency concepts,"captions,highcontrast",,999,999,999,999,999
1347,1,1,1347,1347,thunkable_info,Build an Informational App on Thunkable,Thunkable,https://thunkable.com/#/hourofcode,Learn how to build an informational app with code blocks and a data table.,/images/tutorials/hoc2021/thunkable_info.png,2021-tutorial,,en,thunkableinfo,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,"Chrome, Safari",,1hour,blocks,Blocks,highcontrast,,999,999,999,999,999
1347,1,1,1347,1347,vidcode_map,Vidcode: Map Your Community,Vidcode,https://www.vidcode.com/project/community-map,"Collect and analyze data for community engagement, by coding your own community map!",/images/tutorials/hoc2019/vidcode_map.png,2019-tutorial,https://about.vidcode.com/map-your-community-educator-resources,en,vidcodemap,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"art,history",computers,All modern browsers,,"1hour,1hour-follow",typing,JavaScript,"keyboard,highcontrast","CCSS.MATH.PRACTICE.MP1 Make sense of problems and persevere in solving them.

CCSS.MATH.PRACTICE.MP2 Reason abstractly and quantitatively.

CCSS.MATH.PRACTICE.MP6 Attend to precision

CSTA 1B-AP-09  Create programs that use variables to store and modify data.

CSTA 1B-AP-11 Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.

CSTA 1B-AP-15  Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.

CSTA 1B-AP-17 Describe choices made during program development using code comments, presentations, and demonstrations.

CSTA 1B-IC-18  Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices. 

CSTA 2-AP-11 Create clearly named variables that represent different data types and perform operations on their values.

CSTA 2-AP-14 Create procedures with parameters to organize code and make it easier to reuse.",999,999,999,999,999
1347,1,1,1347,1347,codesters_tshirt,Code Your Initials,Learning.com,https://www.codesters.com/curriculum/hour-of-code-2019/Code+Your+Initials/,Learn basic programming skills and practice moving around the coordinate plane as you create your own monogrammed t-shirt design! ,/images/tutorials/hoc2018/codesters_tshirt.png,2018-tutorial,http://guide.codesters.com/hour-of-code-2019/code-your-initials,"zh-cn,en,es-mx",codesterstshirt,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"math,art","computers,screenreader","All modern browsers, Screen reader",,1hour,"blocks,typing","Blocks, Python",none,"CCSS.MATH.PRACTICE.MP5: Use appropriate tools strategically.
CCSS.MATH.PRACTICE.MP7: Look for and make use of structure.
CCSS.MATH.CONTENT.5.G.A.1: Graph points on the coordinate plane to 
solve real-world and mathematical problems.
CSTA 1B-A-5-4: Construct programs, in order to solve a problem or for creative expression, by making use of basic coding concepts.",999,999,999,999,999
1347,1,1,1347,1347,htmlacademy_php,Intro to PHP: Create an Online Store from Scratch,HTML Academy,https://htmlacademy.org/courses/intro-to-web-development/php?utm_source=hourofcode&utm_medium=ref&utm_campaign=hoc2020,"Meet Dumpo the Little Elephant, a senior programmer at a web design studio, who is developing an online store. Together you will learn the basics of PHP in an engaging way. You will work with web scripts and learn the variables, add PHP-scripts into the layout and interact with databases while creating a true-to-life web project.",/images/tutorials/hoc2020/htmlacademy_php.png,2020-tutorial,,en,htmlacademyphp,"all,6-8,9+",Grades 6+,comfortable,comfortable,online-tutorial,cs-only,"computers,screenreader","All modern browsers, Screen reader",,1hour,typing,PHP,"screenreader,highcontrast",,999,999,999,999,999
1347,1,1,1347,1347,cityx,Coding Galaxy: City X,cherrypicks,https://codinggalaxy.com/cityx/hour-of-code,"Your first quest in City X is to help an old farmer to manage his farm. Let's solve his problem with innovative technology! You will learn the basic concept of watering system and make a gardening robot with incredible fun! Students will apply design thinking concepts to investigate problems while developing their technological awareness, thereby honing their high-level thinking skills.",/images/tutorials/hoc2019/cityx.png,2019-tutorial,https://codinggalaxy.com/cityx/hour-of-code,"zh-TW,en",cityx,"all,6-8,9+",Grades 6+,comfortable,comfortable,online-tutorial,science,"android,ios","Android tablet, iPad, Android phone, iPhone",,1hour,typing,Python,none,,999,999,999,999,999
1344,1,1,1344,1344,educode_space,Space Solo,EduCode Academy,https://app.educode.org/hour-of-code/activity-7,"The people of planet Allegrus have lost their ancestral songs. Follow this tutorial to build your own musical side-scrolling game and recover the lost melodies. Customize every aspect of the game, while learning the basics of game development, physics and collisions. No coding or musical knowledge required.",/images/tutorials/hoc2021/educode_space.png,2021-tutorial,https://app.educode.org/hour-of-code/activity-7/teacher,"en,en-GB",educodespace,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,art,computers,All modern browsers,,"1hour,1hour-follow",typing,JavaScript,highcontrast,"CSTA 1A-AP-09 Model the way programs store and manipulate data by using numbers or other symbols to represent information.
CSTA 1A-AP-10 Develop programs with sequences and simple loops, to express ideas or address a problem.
CSTA 1A-AP-14 Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.
CSTA 1B-AP-10 Create programs that include sequences, events, loops, and conditionals.
CSTA 1B-AP-12 Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.
CSTA 3B-AP-16 Demonstrate code reuse by creating programming solutions using libraries and APIs.",999,999,999,999,999
1342,1,1,1342,1342,codehs_vr,Create Virtual Worlds with CodeHS,CodeHS,https://www.codehs.com/hoc_VR,"Learn the basics of building virtual reality worlds using HTML and the A-Frame JavaScript Library. Through this activity, students will build their own virtual reality worlds that are compatible with VR devices, including smartphone VR headsets!",/images/tutorials/hoc2017/codehs_vr.png,2017-tutorial,https://www.codehs.com/hoc_guide_VR,en,codehsvr,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,math,computers,"Chrome, Firefox, Safari",,"1hour,1hour-follow",typing,JavaScript,none,"CCSS.MATH.CONTENT.HSG.MG.A.3: Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios).",293,999,999,999,999
1342,1,1,1342,1342,pac_man_zero,Pac-Man ZERO,University of Colorado and Pädagogische Hochschule FHNW (Switzerland),https://www.cs.colorado.edu/~ralex/hourofcode/pac-man/,In one hour you create a simple version of a Pac-Man game. You draw the characters in 2D and turn them into 3D. You create your own maze. Then you program the game using AgentCubes. With only 11 IF/THEN rules you create sophisticated AI. Even with just two smart ghosts you will have your hands full to win the game.,/images/tutorials/hoc2017/pac_man_zero.png,2017-tutorial,,"en,en-GB",pmzero,"all,6-8,9+",Grades 6+,comfortable,beginner,online-tutorial,"art,science",computers,All modern browsers,,"1hour,1hour-follow",blocks,Blocks,none,CSTA: Computational Thinking; NGSS: Diffusion; Common Core: Math/Average,116,999,999,71,999
