state_code_s!,state_name_s,cs_jobs_i,growth_vs_average_f,cs_graduates_i,count_schools_teach_cs_i,job_student_gap_i,state_plan_s,cs_standards_s,pd_funding_s,cs_teacher_cert_s,pre_service_s,state_position_s,require_hs_s,require_k12_s,cs_counts_t,higher_ed_entrance_s,grad_requirement_s,text_t,petition_url_t,action_url_s,action_text_s,avg_sal_computing_i,sal_x_jobs_bi,avg_sal_all_i,preservice_prepared_i,percent_female_cs_grad_i,percent_cs_exams_f,ap_cs_exams_i,percent_ap_female_i,ap_hispanic_i,ap_black_i,ap_native_american_i,ap_hawaiian_i,total_ap_students_color_i,schools_ap_cs_i,percent_schools_ap_cs_i,number_additional_schools_i,ap_csa_exams_i,percent_ap_csa_female_i,ap_csa_hispanic_i,ap_csa_black_i,ap_csa_native_american_i,ap_csa_hawaiian_i,percent_schools_ap_csa_i,ap_csp_exams_i,percent_ap_csp_female_i,ap_csp_hispanic_i,ap_csp_black_i,ap_csp_native_american_i,ap_csp_hawaiian_i,percent_schools_ap_csp_i,principals_core_i,principals_barrier_s,website_url_s,school_district_partners_t,professional_learning_partners_t,other_partners_t,num_affiliates_i,num_elementary_trained_i,num_ecs_csd_i,num_csp_i,num_ms_trained_i,num_hs_trained_i,es_using_codeorg_i,ms_using_codeorg_i,hs_using_codeorg_i,female_codeorg_i,black_codeorg_i,hispanic_codeorg_i,native_american_codeorg_i,hawaiian_codeorg_i,white_codeorg_i,asian_codeorg_i,two_codeorg_i,urm_codeorg_i,rural_codeorg_i,highneed_codeorg_i,num_hoc_i,ap_calc_i,ap_bio_i,ap_phy_i,ap_stats_i,ap_chem_i,ap_env_sci_i,ap_cs_i,student_studio_acct_i,teacher_studio_acct_i,policy_0_t,policy_1_t,policy_2_t,policy_3_t,policy_4_t,policy_5_t,policy_6_t,policy_7_t,policy_8_t,policy_9_t,pd_funding_exception_s,require_hs_exception_s,cs_standards_exception_s,ecep_name_s,ecep_email_s,ecep_name_2_s,ecep_email_2_s,ecep_url_s,code_name_s,code_email_s,state_plan_t,standards_t,funding_t,certification_t,preservice_t,state_cs_t,hs_t,count_t,higher_ed_t,grad_requirement_t
MO,Missouri,9028,1.7,1711,49,-7317,Other,Yes,Yes,Yes,No,Other,Yes,No,Yes,Yes,No,,,,NA,81564,736362388,51390,0,18%,0.95%,1072,20%,35,61,7,1,104,126,41%,20,567,18%,20,22,1,1,28%,505,23%,15,39,6,0,30%,71%,Other,www.code.org/promote/MO,no school districts in the state,Learning Technology Center,none,11,1000,117,115,0,0,17,19 ,13 ,44,19,4,1,1,59,3,5,33,45,42,1357000,3606,2269,2547,1716,1567,942,399,757467,14263,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Maggie Glennon,maggie@code.org,"Missouri SB 718 establishes the ""Computer Science Education Task Force"" to develop a strategic plan for expanding a statewide computer science education program.","Missouri adopted K–12 computer science standards in 2019. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","HB 2 (FY 2024, 2022, 2021 and, 2020) and HB 3002 (FY 2023) allocated $450K annually to the Computer Science Education fund created by HB 3 (2018 special session). Grant awardees must describe how they will reach and support students from marginalized racial and ethnic groups underrepresented in computer science.","In Missouri, teachers can obtain a 9–12 certification through academic coursework or by passing the state content exam. Teachers can be authorized to teach computer science after completion of department-approved professional development. State funding for computer science can be used to support credentialing for teachers.",,"SB 718 (2022) directs the Missouri Department of Elementary and Secondary Education to appoint a computer science advisor to implement the bill's requirement for all elementary, middle, and high schools to offer computer science.",SB 718 (2022) required each public high school and charter school to offer at least one computer science course in an in-person setting or as a virtual or distance course option by the 2023-34 school year. ,"In Missouri, any computer science course that aligns to the standards and has an appropriately qualified teacher can count as a mathematics, science, or practical arts credit for graduation.","Beginning July 1, 2023, computer science courses counted toward state graduation requirements shall be equivalent to one science or practical arts credit for the purpose of satisfying admission requirements at any public institution of higher education in the state.",
MS,Mississippi,3399,5.9,281,60,-3118,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,NA,72039,244860545,49340,0,19%,0.11%,314,38%,19,56,1,0,76,47,27%,4,24,29%,1,4,0,0,5%,290,39%,18,52,1,0,26%,78%,No,www.code.org/promote/MS,no school districts in the state,Mississippi State University,none,13,1430,632,89,0,0,25,45 ,26 ,49,37,4,0,0,45,1,3,51,74,77,150000,1076,933,493,387,813,165,16,471398,9743,,,,,,,,,,,,,,Shelly Hollis,shelly.hollis@rcu.msstate.edu,NA,NA,NA,Codeye Woody,codeye@code.org,The Mississippi Department of Education developed a 10-year strategic plan for statewide computer science education. The plan addresses efforts to increase enrollment in computer science courses for female students and students from marginalized racial and ethnic groups underrepresented in computer science.,"Mississippi adopted K–12 computer science standards based on the CSTA standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","HB 1613 (FY 2024), HB 1600 (FY 2023), and HB 1837 (FY 2022) allocated $1M to develop computer science courses and professional development. HB 1700 (FY 2021) allocated $300K for computer science professional development. HB 1643 (FY 2020) allocated $300K to develop computer science courses and professional development.","In Mississippi, teachers with existing licensure can obtain an AP Computer Science Principles Endorsement by completing an approved AP training. Teachers can also obtain a K–8 or 7–12 add-on endorsement by completing coursework or approved professional development for specific courses.",,,"HB 633 (2021) required all schools (elementary, middle, and high) to offer instruction in computer science by the 2024–2025 school year. The state set incremental requirements for each year, requiring that all middle schools offer instruction in foundations of computer science and half of all elementary schools in each school district offer at least one hour of computer science instruction per week by the 2022–2023 school year. Half of all high schools in each school district must offer a course in computer science and all elementary schools must offer at least one hour of computer science instruction per week by the 2023–2024 school year. Further, all charter schools that serve middle or high school students must offer a course in computer science and all charter schools that serve elementary school students must offer instruction in computer science by the 2022–2023 school year. ","Beginning with incoming freshmen of 2018–2019, all Mississippi students must earn one credit in technology or computer science. Multiple computer science courses may satisfy the graduation credit.","All students applying to state institutions of higher learning in Mississippi for entrance in Fall 2022 must have earned one credit in computer science or technology, which aligns with the high school graduation policy.",
MT,Montana,1182,2.7,140,36,-1042,No,Yes,Yes,Yes,Yes,No,No,No,Other,No,No,,,,NA,68188,80598642,52110,1,11%,0.18%,38,13%,6,1,0,0,7,9,9%,0,9,0%,0,0,0,0,1%,29,17%,6,1,0,0,9%,57%,Other,www.code.org/promote/MT,no school districts in the state,AVID,none,6,326,41,34,0,0,22,9 ,15 ,46,4,3,8,0,60,3,9,29,72,34,185000,485,374,120,341,116,4,9,100900,2590,,,,,,,,"Montana has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,,NA,NA,NA,NA,NA,Anthony Owen,anthony.owen@code.org,,"Montana adopted K–12 computer science standards in November 2020. Standards within each grade band address many concepts of equity, such as bias, accessible technology, and inclusivity.",HB 346 (FY 2024-25) allocated $48K and HB 644 (FY 2022-23) allocated $32K to support the development of computer programming courses at high schools on Indian reservations across Montana and support professional development for high school teachers.,"In Montana, teachers with existing licensure can obtain a K–12 endorsement through academic coursework. An initial license in computer science requires completing a teacher preparation program and passing the Praxis CS exam, or completing a non-traditional teaching program with five years of successful teaching experience. ",The Montana Office of Public Instruction has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,,,"Montana passed a permissive and encouraging policy to allow computer science to count as a science, mathematics, elective, or CTE graduation requirement, but it is a district decision. Alternatively, a district may increase the local requirements in math, science, or career and technical education and allow a computer science course to fulfill one of the required credits, or establish a stand-alone requirement that all students complete a computer science credit.",,
NC,North Carolina,19600,1.9,2482,61,-17118,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,,,,NA,92273,1808546706,51080,0,23%,0.98%,5352,32%,489,477,22,3,991,199,33%,51,1357,24%,97,58,2,0,15%,3995,34%,392,419,20,3,29%,69%,Yes,www.code.org/promote/NC,"Alamance-Burlington School System, Chatham County Schools, Durham Public Schools, Franklin County School, Granville County Schools, Johnston County Schools, Orange County Schools, Rockingham County Schools, Warren County Schools, and Wilson County Schools",The Friday Institute,none,15,2976,416,180,0,38,21,33 ,21 ,42,25,13,1,0,42,6,4,49,42,48,2456000,11770,6626,4421,10183,3806,12482,1425,1212515,25425,,,,,,,,,,,,,K-12 CS standards in progress,Deborah Seehorn,deborah.seehorn@outlook.com,NA,NA,NA,Amber Mariano Davis,amber@code.org,"The North Carolina Department of Public Instruction developed—and presented to the legislature—a state plan for expanding computer science in 2018. The plan includes strategies to engage students from marginalized racial and ethnic groups underrepresented in computer science, female students, and low-income students. ","North Carolina adopted K–12 computer science standards in August 2020, as required by HB 155 (2017). Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","SL 2021-180 (FY 2022 and FY 2023) allocated $3.6M (FY 2022) and $1.1M (FY 2023) to support regional computer science consultants and to provide training for K-12 computer science teachers. SL 2018-5 (FY 2019, continued in FY 2020) allocated $500K annually for implementation of the Computer Science Education Plan, which focuses on increasing participation for underrepresented student groups, including female students, low-income students, and students from marginalized racial and ethnic groups. Additionally, SL 2017-57 allocated $400K for FY 2018 and $800K for the following years (FY 2019, FY 2020) for the Coding and Mobile Application Grant Program, which could be used for teacher professional development in computer science.  ","In North Carolina, teachers with existing CTE licensure can obtain a 9–12 CTE computer programming endorsement through academic coursework. ",,The North Carolina Department of Public Instruction has a Director of Computer Science and Technology.,,"In North Carolina, computer science can count as the fourth mathematics credit for graduation in the Future-Ready Core track.",,
ND,North Dakota,1259,2.3,177,44,-1082,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,,,,NA,73102,92035201,59270,0,11%,1.27%,111,23%,3,3,1,0,7,15,27%,4,38,18%,1,1,0,0,18%,73,25%,2,2,1,0,16%,0,No,www.code.org/promote/ND,no school districts in the state,EduTech,none,5,425,55,27,0,0,31,25 ,24 ,45,6,5,3,1,72,2,3,23,39,10,104000,354,151,170,1,95,6,35,123999,2762,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Maggie Glennon,maggie@code.org,The North Dakota Department of Public Instruction developed a plan for K–12 computer science education.,"North Dakota adopted K–12 computer science and cybersecurity standards in 2019, becoming the first state to create K–12 cybersecurity standards.",,"In North Dakota, teachers with existing licensure can obtain a grade level corresponding credential through academic coursework. Teachers are eligible to teach specific computer science courses for five years after earning a Level I (200 hours), Level II (40 hours), or Level III (15 hours) Computer Science and Cybersecurity Credential (effective April 1, 2020). Teachers can renew the credential by completing 30 hours of academic work during the five year period.",,,HB 1398 (2023) requires that every public and nonpublic high school must provide at least one unit of study in computer science or cybersecurity to every student. It also requires that every public and nonpublic elementary and middle school provide instruction (amount not specified) in computer science or cybersecurity. ,"In North Dakota, every high school student must take at least one unit of study in computer science or cybersecurity to graduate HB 1398 (2023).",,HB 1398 (2023) requires that every public and nonpublic high school must provide at least one unit of study in computer science or cybersecurity to every student.
NE,Nebraska,3458,2,655,52,-2803,Other,Other,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,,,NA,80307,277700827,67120,1,18%,0.67%,397,26%,15,15,1,1,32,35,37%,4,144,19%,5,7,0,0,26%,253,30%,10,8,1,1,27%,63%,No,www.code.org/promote/NE,Lincoln Public School,University of Nebraska,none,7,380,96,69,0,1,27,32 ,32 ,46,10,14,1,0,56,4,5,35,32,42,686000,1203,447,713,602,394,110,88,455868,6714,Nebraska is in the process of developing a state plan for K-12 computer science. ,,,,,,,"Nebraska has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,K-12 CS standards in progress,NA,NA,NA,NA,NA,Maggie Glennon,maggie@code.org,The Nebraska Department of Education is in the process of developing a state plan for K–12 computer science.,"The Nebraska Senate passed a bill requiring the Board of Education to adopt measurable academic content standards for computer science and technology education under the mathematics, science, or career and technical education standards. ",,,,The Nebraska Department of Education is currently hiring a CS supervisor. ,"LB 1112 (2022) required each school district to include computer science and technology education in the instructional program of its elementary and middle schools, as appropriate, and beginning in school year 2026-27, require each student attending a public school to complete at least one five credit high school course/one-semester high school course in computer science and technology prior to graduation.","In Nebraska, all students must take a five credit course or a one semester course of computer science to graduate (LB 1112, 2022). ",,"HB 2153 (2022) required that: beginning with school year 2024-25, each school district shall include computer science and technology education in the instructional program of its elementary and middle schools, as appropriate, and beginning in school year 2026-27, require each student attending a public school to complete at least one five credit high school course or the equivalent of a one-semester high school course in computer science and technology prior to graduation. "
NH,New Hampshire,2685,1.3,1021,82,-1664,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Other,No,No,,,,NA,99374,266818502,51860,1,21%,1.34%,506,27%,27,2,2,0,31,36,35%,0,227,24%,11,1,0,0,22%,279,29%,16,1,2,0,24%,66%,Yes,www.code.org/promote/NH,no school districts in the state,none,none,5,250,66,38,0,0,22,27 ,22 ,46,6,7,1,0,67,5,6,22,40,14,320000,1791,740,928,852,693,267,167,152367,3051,,,,,,,,"New Hampshire has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,,Rosabel Deloge,rosabel.deloge@gmail.com,NA,NA,NA,Amber Mariano Davis,amber@code.org,New Hampshire developed a plan for expanding computer science in 2018.,"New Hampshire adopted K–12 computer science standards based on the CSTA standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","HB 2 (FY 2024) allocated $500,000 to encourage New Hampshire certified educators to pursue eligible industry recognized credentials in the field of computer science, as well as $2.741M to encourage individuals holding eligible industry recognized credentials to teach computer science or related courses of study in New Hampshire.","In New Hampshire, teachers with or without existing licensure can obtain certification by passing a national exam, holding a computer science teaching assignment prior to June 2019, or submitting evidence of skills, knowledge, and competencies in computer science content. Evidence could include coursework, professional experience, letters of recommendation, professional development, or other artifacts.",The New Hampshire Department of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The New Hampshire Department of Education has a STEM Integration and Computer Science Administrator. ,HB 1674 (2018) required all schools to create and implement computer science programs with a target goal of 2020 for full implementation.,"New Hampshire passed a permissive and encouraging policy to allow computer science to count as a mathematics or technology credit for graduation, but it is a district decision.",,
NJ,New Jersey,15468,2.6,2785,67,-12683,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,,,NA,108028,1670974115,70460,1,19%,2.21%,9238,30%,1062,327,39,4,1432,310,55%,34,4635,28%,412,147,20,3,44%,4603,33%,650,180,19,1,37%,75%,Yes,www.code.org/promote/NJ,Cresskill Public Schools,TCNJ Center for Excellence in STEM Education,none,11,3597,178,113,0,4,30,34 ,28 ,46,17,22,1,0,31,11,6,53,6,32,5503000,15222,8598,11207,7042,6211,4300,3056,1289874,23358,,,,,,New Jersey is in the process of filling a position to oversee computer science.,,,,,,,,NA,NA,NA,NA,NA,Amber Mariano Davis,amber@code.org,The New Jersey Department of Education developed a state plan for computer science education implementation in 2019. The plan includes a section on equity and promotes equitable access in the mission and vision statements.,"New Jersey adopted revised computer science and design thinking standards in June 2020. The standards’ vision statement focuses on equitable access for all students and fostering their ability to participate in an inclusive and diverse computing culture that appreciates and incorporates perspectives from people of different genders, ethnicities, and abilities. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","SB 2023 (FY 2023) and SB 2022 (FY 2022) allocated $2M and A4720 (FY 2021) included $800K for the K–12 Computer Science Education Initiative. The Secondary School Computer Science Education Initiative (PL 2018, Chapter 53) allocated $2M for FY 2019. SB 2500 renewed the $2M appropriation for FY 2020, but was later not included in the revised FY 2020 budget by NJ A3 (20R).","In New Jersey, teachers with existing licensure can obtain a 9–12 CTE endorsement with a combination of previous teaching experience and academic coursework. ",,The New Jersey Department of Education has a Computer Science Coordinator.,"A2873 (2018) required all high schools to offer a course in computer science by the 2018–2019 school year. S990 (2020) required the department to report on computer science course enrollment disaggregated by gender, race and ethnicity, special education status, English language learner status, eligibility for the free and reduced price lunch program, and grade level. ","In New Jersey, computer science can count as a mathematics credit for graduation.",,
NM,New Mexico,3988,2.4,203,41,-3785,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,,,,NA,71285,284284955,53100,1,19%,0.47%,371,25%,80,6,7,0,93,29,21%,7,113,19%,27,2,2,0,9%,258,28%,53,4,5,0,18%,70%,Other,www.code.org/promote/NM,no school districts in the state,New Mexico CS Alliance,none,7,899,87,72,0,0,25,18 ,12 ,47,3,42,5,1,23,3,4,70,40,73,264000,1428,752,567,500,468,234,79,197913,4623,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Codeye Woody,codeye@code.org,The New Mexico Public Education Department developed a state strategic plan for K–12 computer science in 2021.,"New Mexico adopted the CSTA K–12 Computer Science Standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","The NM Public Education Department used funds from HB 2 (FY 2022) to offer $500K in competitive grants for K–8 computer science, including teacher professional development. HB1 (first special session, FY 2021) amended the FY 2021 budget to allocate $300K for K–8 computer science, including $166K from recurring funding and $133.9K from the STEAM initiative. HB 548 (FY 2020) allocated $200K annually to develop and implement teacher professional development courses. The application guidance includes professional development activities that are culturally and linguistically responsive, and awards prioritized high-need districts.","In New Mexico, teachers with existing licensure in secondary education can obtain a computer science endorsement through one of six pathways: completing academic coursework, passing a licensure exam, work experience, professional development, industry certification, or subject-specific teaching experience.",,The New Mexico Public Education Department has a K–8 Computer Science Specialist and an Education Administrator in the Office of College and Career Readiness focused on high school computer science. ,,"In New Mexico, computer science can count as a mathematics or science credit for graduation, provided that a student has demonstrated competence in mathematics or science.",,
NV,Nevada,4688,2.5,261,83,-4427,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,NA,83542,391645095,53380,0,25%,0.30%,1996,37%,552,78,15,14,659,76,66%,14,353,19%,80,12,2,2,28%,1643,40%,472,66,13,12,62%,0,No,www.code.org/promote/NV,Clark County School District,Southern Nevada Regional Professional Development Program,none,20,5063,163,168,0,31,58,45 ,43 ,47,10,29,1,2,29,7,5,59,17,66,650000,2672,1934,1900,1395,894,1058,104,695221,14154,,,,,,,,,,,,,,Cindi Chang,cchang@doe.nv.gov,NA,NA,https://www.stemhub.nv.gov/csfornv,Codeye Woody,codeye@code.org,The Nevada Department of Education developed the Computer Science Strategic Plan in 2018. The plan includes a section dedicated to diversity and strategies to build toward more equitable outcomes. ,"Nevada adopted K–12 computer science standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","SB 313 (FY 2020 and 2021) allocated $700K and $933K, and SB 200 (FY 2018 and 2019) allocated $1M and $1.4M to expand computer science education. ","In Nevada, teachers with existing licensure can obtain a secondary endorsement in advanced computer science through academic coursework or passing the Praxis CS exam. Teachers can also obtain a K–12 Introductory Computer Science endorsement through academic coursework. Funding is available to offset the cost of certification.",SB 313 (2019) required training all preservice teachers in computer science and computer literacy. The bill also allowed the Nevada Board of Regents to apply for a grant from the computer science education fund to develop curriculum and standards for preservice computer science educators.,The Nevada Department of Education has a Computer Science Education Programs Professional.,"SB 200 (2018) required all high schools to make a computer science course available to all students by July 1, 2022, and required all students to receive instruction in computer education before 6th grade. Schools must make efforts to increase enrollment of female students, students with disabilities, and students from underrepresented racial and ethnic groups. The state publishes a biennial report which includes enrollment demographics on gender, race, and students with disabilities.","In Nevada, all students must earn one half-credit in computer education and technology for graduation with at least half of the instructional time dedicated to computer science and computational thinking. A student may take this half-credit in middle school but the course must include the high school standards in order to satisfy this graduation requirement. Students may count a full-year credit computer science course towards their fourth-year math or third-year science credit graduation requirement. Allowable courses include AP, CTE, or courses offered by a community college or university. ","A computer science course can count as a mathematics or science credit required for admission at institutions of higher education, which aligns with Nevada's high school graduation policy.","Nevada students are required to take a 1/2 credit in a computer education and technology course. Senate Bill 200 (2017) stated that “if the State Board prescribes a course in computer education and technology... the State Board shall adopt regulations prescribing the percentage of the instructional time for the course that must be dedicated to computer science and computational thinking....""  The State Board adopted and passed regulations perscribing at least 50% of instructional time must be computer science. This was codified into law by the Legislative Commission on September 27, 2018 and schools were given that school year to adjust their curriculum. "
NY,New York,21524,2.3,7522,48,-14002,No,Yes,Yes,Yes,Yes,Yes,No,No,Other,No,No,,,,NA,105768,2276546262,53170,0,26%,1.35%,14054,35%,2559,1365,63,24,4011,561,40%,67,4492,25%,512,207,8,2,19%,9562,40%,2047,1158,55,22,31%,70%,Yes,www.code.org/promote/NY,NYC Department of Education,Mouse,none,17,2736,319,234,50,122,23,21 ,20 ,46,18,18,1,0,34,12,6,48,17,49,3612000,26049,18163,17568,9364,8498,8086,3761,2152836,43514,,,,,,,,"New York has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,,NA,NA,NA,NA,NA,Amber Mariano Davis,amber@code.org,"The Board of Regents adopted the New York State (NYS) Learning Standards for Computer Science and Digital Fluency in December 2020, the result of a two-year statewide collaborative authoring, reviewing and revision process.","The New York State Board of Regents approved the K–12 Learning Standards for Computer Science and Digital Literacy in December 2020. The introduction to the standards describes how to address digital equity, English language learners, and students with disabilities, and standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","A 3003/D (FY 2024), A 3003/D (FY 2023), A 3003/S 2503 (FY 2022), A 9503/S 7503 (FY 2021), A 2003/S 1503 (FY 2020), and S 7504/A 9504 (FY 2019) allocated $6M annually (for an eventual total of $30M) to expand computer science education via the Smart Start program. The grantees should incorporate strategies for increasing participation in computer science by traditionally underrepresented groups, such as female students, students with differing abilities, English language learners/Multilingual learners, and/or Black/African American, Hispanic/Latino/Latina, or Native American/Alaskan students.","In New York, teachers with or without existing licensure can obtain a 7–12 certification by completing one of the following: approved state teacher preparation program pathway, academic coursework, or industry experience and pedagogical coursework. Any licensed teacher who teaches computer science before September 2022 will be eligible to continue teaching computer science in the same district for ten years. ",The New York State Education Department has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,"In October 2022, the Board of Regents approved the recommendation to include computer science under the umbrella of career and technical education (CTE) and created a Computer Science Association.",,"New York passed a permissive and encouraging policy to allow computer science to count as either a mathematics or science credit for graduation, but it is a district decision.",,
OH,Ohio,15069,2,1827,48,-13242,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,,,NA,86642,1305602844,48360,0,18%,0.95%,3540,26%,166,232,19,1,418,206,28%,28,1453,22%,51,61,9,1,15%,2087,29%,115,171,10,0,21%,65%,No,www.code.org/promote/OH,"Blanchester Local Schools, Canal Winchester Local Schools, Columbus City School District, Metro Early College High School, New Albany Plain Local Schools, Newark City Schools, Oak Hills Local School District, Reynoldsburg City School District, Strongsville School District, and Vermilion Local School District",Battelle Education,none,11,1936,199,135,16,32,19,23 ,21 ,45,19,5,1,0,58,4,5,34,33,17,1786000,13211,6122,6894,6512,4846,2546,1149,1467917,23482,,,,,,,,,,,No current state funding for CS PD,,,Debbie K Jackson,d.jackson1@csuohio.edu,NA,NA,NA,Codeye Woody,codeye@code.org,The Ohio Department of Education and Department of Higher Education developed and released a state plan for K–12 computer science. ,"Ohio adopted K–12 computer science standards and a model curriculum in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity. These standards will be updated by September 2022, as required by HB 110 (2021). ","HB 33 (FY 2024-25) allocated $8M to establish the ""Teach CS"" grant program to support the increasing number of existing teachers who qualify to teach computer science. Priority for grants may be given to education consortia that include economically disadvantaged schools in which there are limited computer science courses offered or where there is an unmet need for teachers credentialed to teach computer science courses. HB 166 (FY 2020) appropriated $1.5M for teachers to become credentialed in computer science. Awards prioritized educators assigned to schools with greater than 50% of students classified as economically disadvantaged.","In Ohio, teachers with existing licensure can obtain a K–12 supplemental teaching license through passing the state content exam; teachers can also earn an initial license in computer science. Temporary revisions to teaching requirements allow licensed 7–12 teachers who completed approved professional development to teach computer science until 2023. The state provided dedicated funding in FY 2020–2021 to offset the cost of computer science certification.",The Ohio Department of Higher Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. HB 110 (2021) required each educator preparation program and each educator licensure candidate to receive instruction in computer science and computational thinking. ,The Ohio Department of Education has a Computer Science Education Program Specialist.,,"In Ohio, a computer science course that addresses high school mathematics standards and focuses on algorithms for problem-solving can count as a mathematics credit for graduation. One credit of advanced computer science can also satisfy the requirement for one unit of algebra 2/math 3 or equivalent or one unit of advanced science (excluding biology or life sciences), and a coding course can satisfy foreign (world) language credit in schools that require it for graduation. ","An advanced computer science course can count towards the mathematics, science, or elective admission requirements, and a unit of computer coding can count towards foreign language requirements at state universities if the student applied the course towards their high school graduation requirements. ",
OK,Oklahoma,5269,2.5,671,62,-4598,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,,NA,76127,401112899,59070,0,19%,0.61%,483,31%,52,17,14,0,83,68,23%,8,172,24%,17,11,1,0,10%,311,36%,35,6,13,0,19%,67%,Other,www.code.org/promote/OK,no school districts in the state,Oklahoma Public School Resource Center (OPSRC),none,8,415,96,85,0,1,12,16 ,21 ,42,9,11,5,1,49,3,4,44,46,49,438000,2734,1636,1669,1097,1204,773,187,397688,8300,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Anthony Owen,anthony.owen@code.org,"CSforOK developed a strategic plan for expanding computer science education in 2020. The plan includes a section on equity and will monitor outcomes including increasing participation by female students, Black students, and Hispanic/Latino/Latina students.","Oklahoma adopted K–12 computer science standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","Although SB 593 (2019) authorized the Oklahoma State Department of Education to create a grant program for computer science professional learning and recommended $1M subject to authorization, no funds were appropriated for the program.","In Oklahoma, teachers with existing licensure can obtain a 9–12 certification through passing the state content exam; teachers can also earn an initial license in computer science. ","Oklahoma has competencies for licensure and certification in computer science, but no universities currently meet them.","The Oklahoma State Department of Education has a Director of Education Technology and Computer Science Education, and will soon hire a full-time Director of Computer Science Education.","SB 252 (2021) required all schools (elementary, middle, and high) to offer computer science by the 2024–2025 school year. Further, SB 593 (2019) directed the State Department of Education to develop a rubric for computer science programs in elementary, middle, and high schools to serve as a guide to schools for implementing quality computer science programs. ","In Oklahoma, an approved computer science course can count as a mathematics or computer technology/world language credit in the Core Diploma Pathway.","Two computer science credits can count towards the additional required units in required content areas for admissions at institutions of higher education, which aligns with Oklahoma's high school graduation policy.",
OR,Oregon,7193,1.9,1137,63,-6056,Other,No,No,No,No,Yes,No,No,Other,No,No,,,,NA,89697,645188507,55490,0,19%,0.88%,896,25%,81,12,3,3,99,53,26%,11,320,26%,21,1,2,0,12%,576,25%,60,11,1,3,20%,57%,Yes,www.code.org/promote/OR,Beaverton School District,AVID,none,7,848,57,27,0,0,18,22 ,16 ,40,5,18,1,1,52,6,6,36,33,50,943000,3172,1495,1372,1388,1173,1005,281,484086,10885,,,,,,,,"Oregon allows schools to count computer science for a core graduation requirement. The policy is not written down and publicly accessible, but we are working with the state to release public documentation.",,,,,,Joanna Goode,goodej@uoregon.edu,Jill Hubbard,jill.m.hubbard@gmail.com,NA,Codeye Woody,codeye@code.org,The Oregon Governor sent a letter to the Oregon Department of Education and Higher Education Coordinating Commission to begin the development of a statewide implementation plan for computer science education.,,"Although Oregon does not yet provide dedicated state funding towards professional development for computer science, the governor announced the use of $5M in federal funds (Governor's Emergency Education Relief) to ensure students across Oregon have access to computer science by the 2027-28 school year.",,,,,"Oregon passed a permissive and encouraging policy to allow computer science to count as a fourth science elective for graduation, but it is a district decision.",,
