school_name,school_code
Georgetown Visitation Preparatory School,90080
Howard D Woodson Senior High School,90086
KIPP DC: College Preparatory,90184
Washington Latin Public Charter School,90196
Thurgood Marshall Academy Public Charter High School,90210
Woodrow Wilson High School,90230
Santa Fe High School,100005
Apopka High School,100035
Score Academy Boca Raton,100046
Avon Park High School,100060
Braden River High School,100083
Score Academy Coral Springs,100084
Glades Central High School,100100
Boca Raton Christian High School,100118
Olympic Heights Community High School,100122
Saint John Paul II Academy,100123
Boca Raton Community High School,100131
Saint Andrew's School,100132
Spanish River Community High School,100136
Saint Stephens Episcopal School,100148
Brandon High School,100150
Branford High School,100155
Lakewood Ranch High School,100162
Central High School,100177
High School at Donna Klein Jewish Academy,100178
IMG Academy,100179
Flagler Palm Coast High School,100185
Nature Coast Technical High School,100189
West Boca Raton Community High School,100194
South Sumter High School,100195
Mariner High School,100217
Cedar Key School,100225
Pinecrest Preparatory Academy Charter High School,100233
East Ridge High School,100247
Calvary Christian High School,100248
North Broward Preparatory School,100249
Avant Garde Academy of Broward,100263
Countryside High School,100264
Clearwater High School,100265
South Lake High School,100270
Clewiston High School,100275
Cypress Creek High School,100285
Cooper City High School,100286
Coral Gables Senior High School,100289
Coral Springs High School,100299
J P Taravella High School,100301
Crescent City Junior Senior High School,100315
Atlantic Technical High School,100324
Monarch High School,100328
Dixie County High School,100330
Space Coast Junior-Senior High School,100331
Coral Glades High School,100332
William T McFatter Technical High School,100344
NSU University School,100347
Mainland High School,100355
Kids Community College Charter High School,100360
Deerfield Beach High School,100380
Walton High School,100390
Deland High School,100393
Divine Savior Academy,100413
Atlantic Community High School,100420
Pine Ridge High School,100422
American Heritage School Boca-Delray,100426
Dunedin High School,100428
Southwest Florida Christian Academy,100432
Lake Region High School,100436
Satellite High School,100440
Eustis High School,100445
Lake Brantley High School,100466
Cardinal Gibbons High School,100469
Western High School,100476
Hollywood Hills High School,100478
Boyd H Anderson High School,100479
Dillard High School,100480
Fort Lauderdale High School,100490
Westminster Academy,100492
Northeast High School,100494
Pine Crest School,100495
Nova High School,100496
Plantation High School,100497
Stranahan High School,100498
Bishop Verot High School,100508
Cypress Lake High School,100509
Riverdale High School,100510
Canterbury School,100511
Fort Myers High School,100515
Fort Pierce Westwood High School,100521
John Carroll High School,100527
W Travis Loften High School,100542
F W Buchholz High School,100543
Eastside High School,100544
P K Yonge School,100555
Clay High School,100585
Dunbar High School,100594
Gulf Breeze High School,100618
Haines City High School,100620
Treasure Coast High School,100646
Hawthorne Middle/High School,100655
Hialeah High School,100662
Hilliard Middle-Senior High School,100675
South Broward High School,100690
Sheridan Hills Christian School,100691
South Dade Senior High School,100700
Homestead Senior High School,100701
Citrus High School,100720
Allen D Nease High School,100729
Bishop Kenny High School,100740
First Coast High School,100741
Bolles School,100745
Edward H White High School,100752
Episcopal School of Jacksonville,100761
Stanton College Preparatory School,100775
Paxon School-Advanced Studies,100780
Providence School,100781
Sandalwood Senior High School,100787
Trinity Christian Academy,100788
William M Raines High School,100796
Samuel W Wolfson Senior High School,100799
D U Fletcher High School,100800
Hamilton County High School,100805
Bartram Trail High School,100809
Jupiter Christian School,100824
Jupiter Community Senior High School,100825
Keystone Heights Junior-Senior High School,100833
Mater Academy Charter High School,100838
Osceola County School for the Arts,100842
Key West High School,100845
Harmony High School,100847
Gateway High School,100856
Osceola High School,100860
Professional and Technical High School PATHS,100864
LaBelle High School,100865
Lake Mary Preparatory School,100881
Lake Mary High School,100883
Mckeel Academy Of Technology,100896
Santa Fe Catholic High School,100897
Lake Placid High School,100900
Lake Worth Christian School,100916
Trinity Christian Academy,100917
Santaluces Community High School,100918
Academy at the Lakes,100922
Land O'Lakes High School,100924
Largo High School,100925
Pinellas Park High School,100927
Seminole Senior High School,100928
Tohopekaliga High School,100935
Newsome High School,100957
Lyman High School,100960
Doral Academy Charter High School,100978
Lake Howell High School,100986
Miami Lakes Educational Center,100991
Marathon Middle High School,100993
Holy Trinity Episcopal Academy,101003
Felix Varela Senior High School,101004
West Shore Junior-Senior High School,101009
Neocity Academy,101010
Melbourne Central Catholic High School,101018
Florida Preparatory Academy,101020
Miami Country Day School,101032
Carrollton Sacred Heart School,101047
Christopher Columbus High School,101048
Belen Jesuit Preparatory School,101059
Miami Coral Park Senior High School,101067
Miami Jackson Senior High School,101068
Miami Senior High School,101075
Miami Southridge Senior High School,101087
Ransom Everglades Upper School,101095
Saint Brendan High School,101097
South Miami Senior High School,101101
Southwest Miami High School,101102
Westminster Christian School,101105
Our Lady of Lourdes Academy,101131
Miami Beach Senior High School,101140
Miami Springs Senior High School,101147
Middleburg High School,101152
Design and Architecture Senior High School,101154
Maritime And Science Technical Academy,101161
Robert Morgan Educational Center,101182
Montverde Academy,101185
Barbara Goleman High School,101191
Coral Reef Senior High School,101199
Community School-Naples,101206
Lely High School,101212
River Ridge High School,101219
Gulf High School,101220
Wendell Krinn Technical High School,101224
North Miami Senior High School,101235
North Miami Beach Senior High School,101236
Benjamin School,101239
Parrish Community High School,101255
Forest High School,101258
Okeechobee High School,101270
Monsignor Edward Pace High School,101271
St John's Country Day School,101275
Dr Phillips High School,101279
Bishop Moore Catholic High School,101285
Colonial High School,101287
Edgewater High School,101290
Lake Highland Preparatory School,101294
Evans High School,101297
University High School,101309
Oviedo High School,101315
Pahokee Senior High School,101320
Palatka High School,101330
Palm Beach Gardens High School,101341
Palmetto High School,101352
Bay High School,101355
A Crawford Mosley High School,101357
Rutherford High School,101361
Pensacola Catholic High School,101365
Escambia High School,101371
Pensacola High School,101375
Pine Forest High School,101381
South Plantation High School,101413
Plant City High School,101420
American Heritage School Plantation,101422
Durant Senior High School,101423
Charles W Flanagan High School,101424
Coconut Creek High School,101433
Port Charlotte High School,101436
Spruce Creek High School,101437
Charlotte High School,101450
Inlet Grove Community High School,101467
Faith Christian Academy,101474
Saint Cloud High School,101485
Navarre High School,101494
Canterbury School of Florida,101504
Boca Ciega Senior High School,101505
Dixie Hollins High School,101507
Gibbs Senior High School,101510
Ridgeview High School,101514
Lakewood Senior High School,101516
Northeast High School,101520
Northside Christian School,101521
Pembroke Pines Charter High School,101525
Riverview Senior High School,101528
Saint Petersburg High School,101530
David Posnack Jewish Day School,101532
Booker T Washington Senior High School,101536
Southeast High School,101543
Dr Michael M Krop Senior High School,101545
Pompano Beach High School,101550
J W Mitchell High School,101560
Seminole High School,101565
Pine View School,101577
Out of Door Academy,101579
Riverview High School,101583
Bayside High School,101592
Armwood High School,101596
Osceola Fundamental High School,101597
Choctawhatchee High School,101605
J R Arnold High School,101607
Miami Palmetto Senior High School,101623
Martin County High School,101635
Timber Creek High School,101641
Piper High School,101646
Maclay School,101648
West Port High School,101655
Olympia High School,101656
James Rickards High School,101663
SAIL High School,101678
Academy of the Holy Names,101680
Berkeley Preparatory School,101686
John Paul II Catholic High School,101690
Hillsborough High School,101705
Thomas Jefferson High School,101710
Alonso High School,101714
Jesuit High School,101715
King Senior High School,101717
Leto High School,101718
Cambridge Christian School,101723
Robinson Senior High School,101728
Tarpon Springs Senior High School,101735
Gaither Senior High School,101738
East Lake High School,101739
Walter L Sickles High School,101752
Titusville High School,101760
Middleton High School,101765
Freedom High School,101771
Bloomingdale Senior High School,101778
Venice High School,101780
South Walton High School,101791
Vero Beach High School,101795
Fleming Island High School,101798
Freedom High School,101801
Hardee Senior High School,101805
Everglades High School,101807
Wesley Chapel High School,101812
Sagemont School,101814
McArthur High School,101817
Forest Hill Community High School,101818
Kings Academy,101821
Villages Charter School,101833
Cardinal Newman High School,101835
Wellington High School,101839
Cypress Bay High School,101842
Somerset Academy High School,101843
Palm Beach Central High School,101844
John A Ferguson Senior High School,101846
Bishop McLaughlin Catholic High School,101850
Edgewood Junior Senior High School,101853
Foundation Academy,101878
West Orange High School,101885
Winter Park High School,101902
Winter Springs High School,101905
Zephyrhills High School,101915
Park Vista Community High School,101923
Deane Bozeman School,101930
Ocoee High School,101979
Hagerty High School,101981
Seminole Ridge Community High School,101994
Matanzas High School,102007
Shorecrest Preparatory School,102026
Yulee High School,102060
Dr Earl J Lennard High School,102061
Wiregrass Ranch High School,102067
Ronald W Reagan Doral Senior High School,102068
Doral Performing Arts and Entertainment Academy,102069
Viera High School,102070
Score Academy Palm Beach Gardens,102071
Westland Hialeah Senior High School,102095
First Baptist Academy,102101
Sunlake High School,102124
Mater Lakes Academy High School,102126
Wekiva High School,102127
Somerset Arts Conservatory,102138
Mater Performing Arts and Entertainment Academy,102152
Young Men's Preparatory Academy,102165
Ponte Vedra High School,102180
West Broward High School,102181
Tenoroc High School,102182
Hialeah Gardens High School,102183
Steinbrenner High School,102192
Strawberry Crest High School,102193
Archimedean Upper Conservatory,102207
Anclote High School,102218
Alonzo Tracy Mourning Senior High Biscayne Bay Campus,102221
River City Science Middle High School,102252
Oakleaf High School,102285
Orlando Science High School,102293
Creekside High School,102308
Atlantic Coast High School,102320
iPreparatory Academy,102333
Medical Academy for Science and Technology at Homestead,102335
Imagine School at North Port High School,102385
Riviera Preparatory School,102386
Jose Marti MAST 6-12 Academy,102398
Seminole County Virtual School,102417
Arthur & Polly Mays 6-12 Grade Conservatory Of Art,102432
Duval Charter Hs-Baymeadows,102436
Franklin Virtual High School,102457
Millennium 6-12 Collegiate Academy,102575
Cushman School,102576
Young Women's Preparatory Academy,102587
iMater Preparatory Academy High School,102595
Q.I. Roberts JR-SR High School,102597
Sheridan Technical High School,102601
MAST at FIU Biscayne Bay Campus,102607
Carrollwood Day School,102619
Crossroad Academy,102620
Palm Beach Maritime Academy High School,102626
Pasco E-School,102630
Itech @ Thomas Edison Educational Center,102666
Columbia School,102805
Fulton Science Academy Private School,110007
Adairsville High School,110010
Alpharetta High School,110058
Milton High School,110060
Mount Pisgah Christian School,110062
Alliance Academy for Innovation of Cumming,110088
BEST Academy 6-12,110111
Athens Academy,110113
Coretta Scott King Young Women's Leadership Academy,110143
Chattahoochee High School,110146
Frederick Douglass High School,110164
Henry W Grady High School,110170
Maynard Jackson High School,110180
Mount Vernon Presbyterian School,110189
Mill Springs Academy,110203
North Atlanta High School,110205
Pace Academy,110217
Georgia Virtual School,110225
Saint Pius X Catholic High School,110226
The Westminster Schools,110256
Cherokee Bluff High School,110270
Charles R Drew Charter School,110271
Academy of Richmond County,110275
Aquinas High School,110277
Augusta Preparatory Day School,110278
Butler High School,110280
A R Johnson Health Science and Engineering Magnet High School,110281
Cross Creek High School,110286
Lucy Craft Laney High School,110295
Westminster Schools of Augusta,110302
Westside High School,110303
Atlanta Classical Academy,110304
McClure Health Science High School,110326
Paul Duke Stem High School,110338
Appling County High School,110365
Bethlehem Christian Academy,110369
North Oconee High School,110401
Bowdon High School,110415
Jackson County Comprehensive High School,110425
Frederica Academy,110474
North Gwinnett High School,110508
Calhoun High School,110550
Creekview High School,110591
Carrollton High School,110603
Chamblee Charter High School,110650
Banneker High School,110794
Woodward Academy,110797
Brookstone School,110822
Columbus High School,110825
Hardaway High School,110828
Saint Anne Pacelli Catholic School,110832
Shaw High School,110834
Commerce High School,110845
Rockdale County High School,110860
Salem High School,110861
Alcovy High School,110897
Eastside High School,110898
Newton High School,110905
Forsyth Central High School,110920
North Forsyth High School,110921
Lambert High School,110927
West Forsyth High School,110929
Forsyth Virtual Academy,110931
Denmark High School,111000
Madison County High School,111005
Decatur High School,111045
Coffee High School,111100
Alexander High School,111104
Chapel Hill High School,111107
Douglas County High School,111110
Gwinnett School of Mathematics Science and Technology,111140
Northview High School,111148
Brandon Hall School,111153
Elbert County Comprehensive High School,111210
Evans High School,111255
Creekside High School,111265
Fayette LIFE Academy,111272
Landmark Christian School,111273
Fayette County High School,111275
Flowery Branch High School,111281
Chestatee High School,111371
Gainesville High School,111385
Lakeview Academy,111388
Riverside Military Academy,111405
South Effingham High School,111444
George Walton Academy,111455
Lake Oconee Academy,111496
Harris County High School,111545
Harlem High School,111565
Hiram High School,111608
Mill Creek High School,111653
Pickens High School,111695
Jefferson High School,111700
Elite Scholars Academy,111722
Cornerstone Preparatory Academy,111733
North Cobb Christian School,111737
Kennesaw Mountain High School,111739
LaGrange Academy,111763
Discovery High School,111798
Mountain View High School,111800
Archer High School,111802
Central Gwinnett High School,111805
Berkmar High School,111825
Providence Christian Academy,111832
Lithia Springs High School,111836
Grayson High School,111852
Luella High School,111854
Johns Creek High School,111866
Pebblebrook High School,111925
Stratford Academy,111961
Morgan County High School,111965
Walker School,111986
Walton High School,111987
Marietta High School,111990
Kell High School,111992
Mount Paran Christian School,111996
Pope High School,111998
Wheeler High School,112010
Ola High School,112048
Metter High School,112080
Cambridge High School,112129
Jasper County High School,112160
Morrow High School,112177
Newnan High School,112250
Greater Atlanta Christian School,112278
Meadowcreek High School,112279
Norcross High School,112280
Gwinnett Online Campus,112284
McIntosh High School,112360
McEachern High School,112435
Richmond Hill High School,112525
Ringgold High School,112535
Rome High School,112608
Ridgeland High School,112615
Blessed Trinity Catholic High School,112618
Centennial High School,112623
Roswell High School,112625
Saint Francis High School,112629
Woodville Tompkins Technical And Career High School,112692
Savannah Arts Academy,112696
Savannah Christian Preparatory School,112698
Windsor Forest High School,112718
Trinity Christian School,112721
East Coweta High School,112723
Model High School,112725
Scholars Guild Academy,112730
Campbell High School,112745
Brookwood High School,112754
South Gwinnett High School,112755
Effingham County High School,112791
Woodland High School,112827
Stockbridge High School,112830
Community Christian School,112842
Lanier High School,112859
Peachtree Ridge High School,112866
Brookwood School,112970
Sandy Creek High School,113052
Villa Rica High School,113130
Washington-Wilkes Comprehensive High School,113185
Oconee County High School,113190
"Flint River Academy, Inc",113295
River Ridge High School,113303
Etowah High School,113306
Woodstock High School,113309
Maui High School,120000
Aiea High School,120001
James Campbell High School,120003
Saint Josephs High School,120020
Henry J Kaiser High School,120038
Iolani School,120040
Kamehameha Schools: Kapalama Campus,120055
Pres William Mckinley High School,120070
Mid Pacific Institute,120075
Punahou School,120085
"St. Andrew's School, The Priory",120100
Molokai High School,120130
James B Castle High School,120155
Kapolei High School,120161
Island Pacific Academy,120162
Konawaena High School,120165
Kea'Au High School,120167
Kohala High School,120170
Kealakehe High School,120174
Lanai High and Elementary School,120180
Kauai High School,120195
Mililani High School,120197
Seabury Hall,120198
Hanalani Schools: Upper School,120214
Leilehua High School,120215
King Kekaulike High School,120218
Waialua High School,120220
Waipahu High School,120245
Hawaii Technology Academy Pcs,120246
Idaho Virtual Academy,130028
Bishop Kelly High School,130041
Borah High School,130043
Vision Public Charter School,130078
Wood River High School,130270
Bonneville Online School,130288
McCall-Donnelly High School,130380
Centennial High School,130389
Mountain Home High School,130420
Bennett Mountain High School,130422
Nampa High School,130440
Skyview High School,130443
Madison Senior High School,130535
Twin Falls High School,130635
Horizon Science Academy - Southwest,140017
Harry D Jacobs High School,140027
Antioch Community High School,140070
John Hersey High School,140097
Saint Viator High School,140098
East Aurora High School,140170
Waubonsie Valley High School,140184
Metea Valley High School,140187
Illinois Virtual School,140188
Barrington Community High School,140205
Bartlett High School,140213
Fenton High School,140290
J Sterling Morton West High School,140303
Dwight D Eisenhower High School,140345
Bolingbrook High School,140367
Intrinsic Schools - Downtown Campus,140368
College Preparatory School-America,140402
Buffalo Grove High School,140447
Thornton Fractional North High School,140475
Glenbard North High School,140534
Dundee-Crown High School,140536
Cary-Grove Community High School,140563
Centennial High School,140593
ASPIRA Early College High School,140624
Lane Technical High School,140640
Chicago Military Academy Bronzeville,140689
Chicago International Charter School: Northtown Academy,140691
Chicago Vocational High School,140735
Ogden International High School,140748
Emil G Hirsch Metropolitan High School,140800
Martin L King High School,140825
Johnson College Prep,140827
Francis W Parker School,140830
Gage Park High School,140835
DePaul College Prep,140850
Holy Trinity High School,140875
Hubbard High School,140877
Hancock College Preparatory High School,140899
Jones College Preparatory,140905
Kenwood Academy,140917
Back Of The Yards Ib High School,140940
Intrinsic High School,140984
ITW David Speer Academy,140991
George Westinghouse College Prep,141001
Noble Street College Prep,141009
Eric Solorio Academy High School,141042
Mother Mcauley Library Arts High School,141044
Alcott High School,141074
Phoenix Military Academy,141078
Ridgewood High School,141097
Lincoln Park High School,141100
"Infinity Math, Science and Technology High School at Little Village Lawndale High School Campus",141141
Noble Street Charter School: Pritzker College Prep,141239
Gwendolyn Brooks College Preparatory Academy,141297
Mather High School,141307
Thomas Kelly College Preparatory,141315
Northside College Preparatory High School,141342
Horizon Science Acad-Mckinley Park,141374
Marian Catholic High School,141393
J Sterling Morton East High School,141410
Hinsdale South High School,141428
Crete-Monee High School,141505
Crystal Lake Central High School,141515
Crystal Lake South High School,141517
Prairie Ridge High School,141519
Deerfield High School,141570
Maine East High School,141595
Thornridge High School,141618
Tri-Valley High School,141635
Dunlap High School,141645
East Saint Louis Senior High School,141725
Edwardsville Senior High School,141735
Larkin High School,141772
Elk Grove High School,141778
York Community High School,141805
Elmwood Park High School,141815
Evanston Township High School,141860
Evergreen Park Community High School,141865
Prairie Central High School,141870
Proviso Mathematics and Science Academy,141939
East Leyden High School,141960
Galesburg High School,142000
Geneva Community High School,142020
Glenbard South High School,142073
Willows Academy,142074
Glenbard West High School,142075
Glenbrook South High School,142078
Warren Township High School,142175
Hampshire High School,142185
Harvard High School,142210
Thornton Township High School,142215
Highland Park High School,142275
Hillsboro High School,142280
Proviso West High School,142286
Hinsdale Central High School,142300
Hoffman Estates High School,142301
Homewood Flossmoor High School,142307
Huntley High School,142320
Hutsonville High School,142330
Jacksonville High School,142350
Joliet Township High School West,142373
Lyons Township High School North,142483
Woodlands Academy Sacred Heart,142510
Lake Forest High School,142520
Lakes Community High School,142524
Lake Forest Academy,142525
Lake Zurich Senior High School,142530
Thornton Fractional South High School,142547
Lemont Township High School,142590
Libertyville High School,142620
Lockport Township High School-East,142655
Romeoville High School,142657
Glenbard East High School,142662
Montini Catholic High School,142663
Mahomet-Seymour High School,142720
Metamora High School,142890
Olympia High School,142942
Morton High School,143010
Carmel Catholic High School,143096
Mundelein High School,143097
Neuqua Valley High School,143108
Sangamon Valley High School,143186
Normal Community High School,143200
Normal Community West High School,143201
Glenbrook North High School,143215
West Leyden High School,143223
H L Richards High School,143228
Oak Lawn Community High School,143230
Oak Park And River Forest High School,143245
Rich Central Campus High School,143293
Carl Sandburg High School,143325
Oswego High School,143330
Oswego East High School,143331
James B Conant High School,143343
Palatine High School,143345
William Fremd High School,143347
Alan B Shepard High School,143356
Amos Alonzo Stagg High School,143357
Maine South High School,143377
Peoria Notre Dame High School,143421
Limestone Community High School,143425
Peoria Christian School,143434
Peoria High School,143435
Richwoods High School,143452
Plainfield East High School,143499
Plano High School,143500
Pleasant Plains High School,143515
Adlai E Stevenson High School,143550
Richmond-Burton Community High School,143630
Southland College Prep Charter High School,143634
Riverside-Brookfield Township High School,143655
Rockford Christian High School,143724
Triad High School,143810
Schaumburg Christian School,143856
Niles West High School,143926
Niles North High School,143927
Thornwood High School,143939
Sycamore High School,144065
Victor J Andrew High School,144117
Vandalia Community High School,144200
Vernon Hills High School,144214
Wauconda High School,144310
Waukegan High School,144322
Wheeling High School,144387
Williamsfield High School,144395
Regina Dominican High School,144407
Winnebago High School,144425
North Shore Country Day School,144435
Woodstock High School,144470
Woodstock North High School,144479
Yorkville High School,144505
Zion-Benton Township High School,144515
Central Noble High School,150020
Oak Farm Montessori School,150031
Hamilton Heights High School,150075
Dekalb High School,150115
Legacy Christian School,150133
Batesville High School,150145
Bloomington High School South,150215
Brownsburg High School,150335
Carmel High School,150445
Eastern Hancock High School,150495
Excel Center - Meadows,150544
Cloverdale High School,150575
Delphi Community High School,150795
Portage High School,150865
Thomas A Edison Junior-Senior High School,150870
Elkhart High School West,150916
Edgewood High School,150920
Mater Dei High School,150970
Fishers High School,151041
Hamilton Southeastern High School,151045
Carroll Junior-Senior High School,151055
Gibson Southern High School,151075
Homestead High School,151103
R Nelson Snider High School,151107
Wayne High School,151113
Andrean High School,151225
Mississinewa High School,151275
Center Grove High School,151390
Hammond Academy Of Science And Technology,151449
Highland High School,151528
Hauser High School,151565
Arsenal Technical High School,151645
Avon High School,151647
Roncalli High School,151651
Brebeuf Jesuit Preparatory School,151653
Cardinal Ritter High School,151658
Cathedral High School,151660
Crispus Attucks High School,151665
George Washington Community High School,151681
North Central High School,151717
Park Tudor School,151720
Irvington Preparatory Academy,151729
Shortridge International Baccalaureate High School,151732
Southport High School,151752
Victory College Prep,151753
Jasper High School,151790
East Noble High School,151815
Lewis Cass Junior-Senior High School,152100
Eastbrook Senior High School,152198
Michigan City High School,152288
Northridge High School,152295
Milan High School,152310
Union High School,152355
Adams Central High School,152369
Twin Lakes High School,152400
Morristown Junior-Senior High School,152440
Burris Laboratory School,152470
Muncie Central High School,152475
Munster High School,152489
Northwood High School,152495
Brown County High School,152500
Christian Academy of Indiana,152504
Pike High School,152510
Noblesville High School,152615
Wood Memorial High School,152665
Oldenburg Academy,152680
Plymouth High School,152885
Richmond High School,152965
Western High School,153095
Perry Central Junior Senior High School,153105
Lake Central High School,153112
Seymour High School,153175
John Adams High School,153260
Saint Joseph High School,153265
Speedway High School,153295
Owen Valley Community High School,153300
Tell City High School,153405
Indian Creek High School,153485
Union City Junior Senior High School,153520
Switzerland County High School,153595
John Glenn High School,153655
Franklin Central High School,153665
Warsaw Community High School,153690
Washington High School,153700
West Lafayette Junior-Senior High School,153745
Whiting High School,153810
Zionsville Community High School,153900
Ankeny High School,160160
Ankeny Centennial High School,160162
Belle Plaine Senior High School,160345
Marquette Catholic Schools,160352
Cedar Falls High School,160660
John F Kennedy Senior High School,160673
Prairie High School,160686
George Washington High School,160703
Rivermont Collegiate,161105
Decorah High School,161125
Abraham Lincoln High School,161180
Central Campus High School,161185
North High School,161205
Wahlert High School,161307
Fort Madison High School,161675
West Senior High School,162172
Johnston High School,162220
Lone Tree High School,162605
Mount Pleasant High School,163055
Mount Vernon High School,163065
New Hampton High School,163155
Moc-Floyd Valley High School,163335
Remsen Saint Marys High School,163710
Sergeant Bluff-Luton High School,163955
West High School,164040
East High School,164045
Bishop Heelan Catholic High School,164050
North High School,164056
Solon High School,164085
Spencer High School,164095
Spirit Lake High School,164105
Roland-Story High School,164175
Tipton Community High School,164295
Tripoli Middle Senior High School,164325
Valley High School,164625
Midland Middle High School,164765
Derby High School,170765
De Soto High School,170770
Hillsboro Middle High School,171350
Bishop Miege High School,171532
Sumner Academy of Arts and Science,171550
Wyandotte High School,171560
Saint James Academy,171720
Olathe South High School,172222
Blue Valley North High School,172294
Blue Valley Northwest High School,172296
Blue Valley Southwest High School,172302
Seaman High School,172920
Washburn Rural High School,172930
Northeast Magnet High School,173183
Kapaun Mount Carmel Catholic High School,173190
Wichita High School East,173206
Wichita High School Southeast,173208
Wichita High School South,173211
The Learning Center,180002
Campbell County High School,180010
Frederick Douglass High School,180011
Ignite Institute Academy,180024
Floyd County School Of Innovation,180028
Boyd County High School,180060
Barbourville High School,180105
Nelson County High School,180133
Ballard Memorial High School,180150
Belfry High School,180175
Marshall County High School,180200
Berea Community High School,180205
Madison Southern High School,180211
Great Crossing High School,180252
Meade County High School,180275
Campbellsville High School,180370
Adair County High School,180500
Corbin High School,180503
Beechwood High School,180530
Villa Madonna Academy,180585
Harrison County High School,180630
Danville High School,180645
Metcalfe County High School,180725
John Hardin High School,180743
Eminence High School,180760
Fern Creek High School,180815
Fleming County High School,180830
Fort Knox Middle/High School,180850
Highlands High School,180855
The Frankfort Christian Academy,180864
Barren County High School,180990
Central Hardin High School,180995
Green County High School,181020
Breckinridge County High School,181050
Christian County High School,181207
Hopkinsville High School,181210
Caverna Senior High School,181235
Martin County High School,181260
Garrard County High School,181330
Anderson County High School,181350
Grayson County High School,181395
Hancock County High School,181410
Bryan Station High School,181417
Henry Clay High School,181425
Lafayette Senior High School,181430
Paul Laurence Dunbar High School,181440
Sayre School,181443
Tates Creek Senior High School,181444
Casey County High School,181448
South Laurel High School,181485
North Laurel High School,181486
Ballard High School,181509
Assumption High School,181510
Brown School,181513
Central High School,181520
DuPont Manual High School,181525
Kentucky Country Day School,181575
Louisville Male High School,181580
Saint Xavier High School,181610
Seneca High School,181612
Phoenix School of Discovery,181644
Clay County High School,181690
Mason County High School,181755
Wayne County High School,181845
Rowan County Senior High School,181855
Murray High School,181935
Apollo High School,182033
Bath County High School,182070
Paducah Tilghman High School,182085
Johnson Central High School,182111
Bourbon County High School,182125
Pike County Central High School,182170
Madison Central High School,182278
Elliott County High School,182370
Allen County Scottsville High School,182380
Martha Layne Collins High School,182400
Bullitt Central High School,182410
North Bullitt High School,182412
Pulaski County High School,182455
Southwestern High School,182462
Washington County High School,182485
Lincoln County High School,182495
Valley High School,182575
Morgan County High School,182665
Einstein Charter High School at Sarah Towles Reed,190017
Albany High School,190035
Bolton High School,190040
Kenner Discovery Health Sci Acdmy - Vintage Campus,190046
Beau Chene High School,190115
Baton Rouge Magnet High School,190179
Broadmoor High School,190183
Central High School,190205
Episcopal High School,190207
McKinley High School,190215
Liberty High School,190222
Tara High School,190242
LSU Laboratory School,190245
Woodlawn High School,190250
Carencro High School,190420
Saint Paul's School,190590
Denham Springs Senior High School,190655
Ferriday High School,190900
French Settlement High School,190983
Dutchtown High School,190993
East Ascension High School,191045
Thomas Jefferson High School,191122
Patrick F Taylor Science and Technology Academy,191161
Fisher Middle High School,191443
LaGrange High School,191460
Washington-Marion Magnet High School,191495
Doyle High School,191585
Metairie Park Country Day School,191782
Saint Martin's Episcopal School,191784
Haynes Academy For Advanced Studies,191793
Academy of the Sacred Heart,191985
Benjamin Franklin High School,192006
Magnet Academy For Cultural Arts,192047
Louise S McGehee School,192080
Frederick A Douglass High School,192092
New Orleans Charter Science And Mathematics High School,192112
North Central High School,192320
Plaquemine High School,192390
Ponchatoula High School,192425
Port Barre High School,192440
Rosepine High School,192580
Saint Amant High School,192601
West Feliciana High School,192615
Caddo Parish Magnet High School,192679
C E Byrd High School,192680
Loyola College Preparatory School,192690
Springfield High School,192765
North Desoto High School,192795
East Iberville High School,192825
Vidalia High School,192900
Vinton High School,192930
Walker High School,192945
Live Oak High School,192965
Edward Little High School,200035
Bangor High School,200060
Caribou High School,200225
Falmouth High School,200278
Hampden Academy,200425
Spruce Mountain High School,200505
Jonesport-Beals High School,200510
Mattanawcook Academy,200580
Monmouth Academy,200670
Mount Desert Island High School,200683
Old Town High School,200755
Orono High School,200767
Maine Central Institute,200795
Poland Regional High School,200797
Presque Isle High School,200835
Skowhegan High School,200915
Seacoast Christian School,200932
Erskine Academy,200945
Sacopee Valley High School,200948
Windham High School,200970
Winslow High School,201080
Westbrook Regional Vocational Center,201094
Aberdeen High School,210000
Northern Garrett High School,210005
Broadneck High School,210011
Saint Mary's High School,210015
New Covenant Christian School Upper School,210029
Bais Yaakov School for Girls,210033
Concordia Preparatory School,210036
Baltimore Polytechnic Institute,210038
Boys' Latin School of Maryland,210040
Bryn Mawr School,210050
Carver Vocational Technical Senior High School 454,210060
One Schoolhouse,210061
Digital Harbor High School 416,210067
Chesapeake High School,210071
Eastern Technical High School,210079
Kenwood High School,210105
Lansdowne High School,210107
Mercy High School,210112
Mergenthaler Vocational Technical Senior High School 410,210115
Milford Mill Academy,210125
Crofton High School,210130
Notre Dame Preparatory School,210145
Overlea High School,210147
"Parkville High School and Center for Mathematics, Science, and Computer Science",210155
Patterson Senior High School 405,210160
Chesapeake Math And IT Academy South,210161
Pikesville High School,210176
Roland Park Country School,210180
Sparrows Point High School,210212
Western Senior High School 407,210220
Western School for Technology and Environmental Science,210221
Bel Air High School,210230
Harford Technical High School,210231
John Carroll School,210233
C Milton Wright High School,210234
Patterson Mill Middle High School,210239
High Point High School,210240
Worcester Preparatory School,210248
Bethesda-Chevy Chase High School,210250
Stone Ridge School of the Sacred Heart,210252
Landon School,210260
Walt Whitman High School,210271
Boonsboro High School,210280
