Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.44,0.35,0.10,0.37,0.12,0.09,0.12,13
M,0.50,0.41,0.15,0.66,0.28,0.14,0.22,11
I,0.36,0.28,0.10,0.22,0.08,0.04,0.09,7
I,0.39,0.31,0.10,0.25,0.09,0.06,0.09,14
M,0.39,0.30,0.09,0.31,0.14,0.06,0.09,9
M,0.50,0.42,0.17,0.69,0.25,0.14,0.25,13
I,0.36,0.28,0.11,0.23,0.10,0.05,0.09,10
I,0.34,0.26,0.10,0.19,0.08,0.06,0.07,8
F,0.51,0.43,0.14,0.85,0.28,0.16,0.29,19
I,0.40,0.30,0.10,0.27,0.13,0.03,0.09,10
F,0.41,0.33,0.11,0.36,0.16,0.08,0.12,10
F,0.56,0.46,0.19,0.71,0.28,0.13,0.28,9
M,0.57,0.44,0.19,0.98,0.33,0.14,0.39,13
M,0.57,0.46,0.19,0.93,0.35,0.16,0.38,16
M,0.61,0.50,0.18,1.10,0.48,0.23,0.38,12
F,0.57,0.46,0.15,0.82,0.37,0.16,0.26,18
M,0.73,0.57,0.22,1.89,0.70,0.47,0.58,16
F,0.68,0.54,0.16,1.41,0.59,0.32,0.42,16
F,0.67,0.56,0.20,1.44,0.58,0.35,0.36,17
F,0.57,0.49,0.16,0.92,0.41,0.22,0.26,11
F,0.65,0.55,0.18,1.29,0.57,0.30,0.33,14
M,0.58,0.47,0.14,0.84,0.35,0.17,0.24,11
F,0.64,0.54,0.18,1.22,0.51,0.26,0.39,15
I,0.36,0.28,0.11,0.20,0.07,0.05,0.08,9
I,0.42,0.31,0.11,0.30,0.12,0.06,0.10,10
F,0.53,0.41,0.14,0.71,0.29,0.15,0.24,11
M,0.38,0.29,0.10,0.27,0.12,0.06,0.08,11
F,0.59,0.47,0.17,0.99,0.39,0.22,0.27,12
I,0.24,0.19,0.07,0.07,0.03,0.02,0.03,6
I,0.22,0.17,0.06,0.05,0.02,0.01,0.02,5
I,0.26,0.20,0.07,0.07,0.03,0.02,0.03,6
I,0.18,0.13,0.05,0.02,0.01,0.00,0.01,5
F,0.67,0.55,0.19,1.39,0.54,0.30,0.40,12
M,0.66,0.53,0.20,1.39,0.57,0.27,0.41,13
F,0.68,0.55,0.21,1.74,0.60,0.31,0.63,17
M,0.68,0.56,0.20,1.44,0.55,0.27,0.47,21
F,0.53,0.44,0.14,0.78,0.31,0.17,0.22,9
F,0.52,0.41,0.12,0.65,0.29,0.14,0.18,10
I,0.43,0.34,0.12,0.36,0.15,0.06,0.10,9
F,0.52,0.41,0.12,0.63,0.26,0.14,0.18,11
F,0.55,0.42,0.16,0.77,0.27,0.15,0.28,10
M,0.53,0.42,0.18,0.74,0.26,0.14,0.26,17
F,0.47,0.35,0.12,0.42,0.16,0.09,0.13,9
M,0.67,0.54,0.18,1.35,0.50,0.25,0.42,17
M,0.74,0.59,0.23,1.76,0.64,0.34,0.58,21
M,0.66,0.55,0.19,1.32,0.53,0.26,0.46,16
F,0.70,0.59,0.19,1.81,0.71,0.32,0.48,29
M,0.58,0.40,0.16,0.93,0.36,0.24,0.30,17
M,0.57,0.47,0.13,0.85,0.38,0.18,0.24,15
F,0.58,0.46,0.15,1.00,0.43,0.21,0.26,19
M,0.63,0.48,0.15,1.01,0.42,0.24,0.31,12
F,0.59,0.47,0.14,0.91,0.38,0.16,0.32,13
M,0.55,0.45,0.13,0.92,0.38,0.24,0.29,11
F,0.63,0.52,0.15,1.24,0.52,0.31,0.36,15
M,0.54,0.42,0.14,0.81,0.35,0.18,0.24,11
F,0.57,0.46,0.17,1.06,0.44,0.22,0.29,14
M,0.59,0.46,0.15,1.07,0.48,0.19,0.29,14
M,0.58,0.46,0.13,0.92,0.36,0.18,0.29,13
F,0.66,0.51,0.16,1.29,0.53,0.29,0.41,11
M,0.66,0.53,0.18,1.26,0.49,0.26,0.42,15
M,0.63,0.50,0.20,1.37,0.59,0.22,0.37,17
F,0.63,0.50,0.15,0.95,0.34,0.22,0.31,15
F,0.64,0.52,0.18,1.25,0.42,0.26,0.48,12
F,0.61,0.49,0.17,1.01,0.44,0.21,0.30,19
F,0.62,0.53,0.16,1.04,0.43,0.23,0.35,11
M,0.56,0.45,0.18,0.87,0.33,0.20,0.31,10
F,0.58,0.44,0.18,0.85,0.37,0.16,0.25,12
F,0.62,0.52,0.23,1.18,0.38,0.27,0.40,23
F,0.62,0.47,0.23,1.12,0.38,0.21,0.36,15
F,0.60,0.51,0.19,1.13,0.44,0.26,0.36,13
F,0.63,0.49,0.19,1.17,0.44,0.23,0.42,17
M,0.60,0.47,0.18,1.11,0.49,0.25,0.32,15
M,0.56,0.46,0.24,0.84,0.33,0.16,0.31,12
M,0.59,0.46,0.23,1.06,0.38,0.22,0.37,15
M,0.56,0.44,0.18,0.89,0.36,0.20,0.25,11
I,0.56,0.45,0.16,0.87,0.30,0.21,0.28,16
I,0.68,0.53,0.19,1.11,0.44,0.25,0.34,10
F,0.46,0.35,0.14,0.52,0.22,0.13,0.14,10
F,0.49,0.38,0.15,0.67,0.25,0.18,0.21,10
M,0.31,0.22,0.09,0.15,0.06,0.04,0.05,6
F,0.28,0.20,0.07,0.08,0.03,0.02,0.03,5
M,0.27,0.20,0.08,0.10,0.04,0.02,0.03,6
M,0.40,0.29,0.12,0.28,0.11,0.06,0.08,9
M,0.28,0.20,0.08,0.09,0.03,0.02,0.03,5
M,0.33,0.23,0.09,0.15,0.06,0.03,0.05,4
F,0.35,0.25,0.09,0.20,0.08,0.06,0.06,6
M,0.21,0.15,0.05,0.04,0.02,0.01,0.01,3
F,0.36,0.27,0.09,0.19,0.08,0.04,0.06,5
I,0.37,0.26,0.12,0.22,0.09,0.04,0.07,9
M,0.20,0.14,0.06,0.04,0.01,0.01,0.01,5
M,0.24,0.16,0.06,0.05,0.03,0.01,0.02,4
M,0.18,0.13,0.04,0.02,0.01,0.01,0.01,4
M,0.16,0.11,0.04,0.02,0.01,0.00,0.01,3
F,0.57,0.45,0.16,0.73,0.28,0.16,0.24,14
F,0.57,0.45,0.16,0.97,0.40,0.26,0.26,12
M,0.39,0.30,0.10,0.24,0.09,0.06,0.09,9
I,0.53,0.42,0.19,0.75,0.30,0.16,0.21,20
F,0.46,0.36,0.13,0.46,0.19,0.11,0.13,13
I,0.47,0.37,0.12,0.47,0.18,0.11,0.16,12
F,0.44,0.34,0.11,0.38,0.17,0.09,0.11,9
I,0.47,0.37,0.14,0.50,0.21,0.12,0.15,10
I,0.47,0.38,0.13,0.45,0.19,0.08,0.16,11
I,0.52,0.41,0.14,0.58,0.20,0.15,0.18,11
M,0.29,0.23,0.08,0.12,0.04,0.03,0.04,7
M,0.28,0.21,0.07,0.09,0.03,0.02,0.03,5
F,0.38,0.29,0.12,0.27,0.09,0.07,0.09,10
F,0.50,0.38,0.14,0.60,0.24,0.14,0.18,15
F,0.44,0.36,0.12,0.42,0.16,0.09,0.13,11
M,0.42,0.33,0.12,0.29,0.10,0.06,0.11,15
M,0.45,0.35,0.12,0.36,0.16,0.07,0.12,8
F,0.38,0.29,0.11,0.26,0.10,0.05,0.09,10
M,0.32,0.25,0.08,0.16,0.06,0.04,0.05,11
M,0.26,0.20,0.07,0.08,0.03,0.02,0.03,8
M,0.21,0.16,0.05,0.04,0.02,0.01,0.02,7
F,0.57,0.45,0.16,0.80,0.36,0.16,0.23,12
I,0.56,0.43,0.18,0.88,0.37,0.20,0.26,11
I,0.65,0.52,0.16,1.16,0.50,0.20,0.33,17
I,0.62,0.49,0.16,0.99,0.41,0.20,0.35,13
I,0.56,0.44,0.17,0.80,0.34,0.17,0.25,12
I,0.48,0.37,0.12,0.51,0.21,0.13,0.16,13
I,0.49,0.39,0.13,0.59,0.29,0.14,0.12,9
I,0.50,0.39,0.15,0.63,0.26,0.17,0.16,10
I,0.53,0.41,0.15,0.80,0.31,0.21,0.26,14
F,0.66,0.50,0.17,1.19,0.46,0.30,0.37,12
F,0.66,0.53,0.17,1.33,0.52,0.26,0.44,13
I,0.52,0.40,0.15,0.66,0.27,0.11,0.22,13
F,0.44,0.34,0.11,0.36,0.15,0.08,0.12,8
I,0.52,0.40,0.12,0.66,0.27,0.18,0.17,13
F,0.48,0.35,0.12,0.45,0.17,0.09,0.16,11
F,0.55,0.42,0.15,0.73,0.28,0.16,0.22,11
F,0.47,0.36,0.13,0.55,0.20,0.13,0.19,14
M,0.35,0.26,0.07,0.18,0.07,0.04,0.06,10
I,0.49,0.36,0.13,0.58,0.25,0.13,0.17,12
I,0.44,0.33,0.13,0.41,0.17,0.11,0.10,12
M,0.28,0.21,0.08,0.11,0.04,0.03,0.03,7
F,0.41,0.32,0.12,0.39,0.17,0.10,0.10,11
I,0.45,0.35,0.14,0.47,0.21,0.11,0.13,16
I,0.45,0.35,0.14,0.44,0.20,0.09,0.12,14
F,0.59,0.46,0.16,1.07,0.38,0.23,0.42,20
F,0.57,0.44,0.14,0.95,0.38,0.20,0.31,17
I,0.61,0.48,0.15,0.97,0.41,0.20,0.35,10
F,0.61,0.48,0.14,1.13,0.53,0.24,0.35,11
I,0.56,0.43,0.14,0.92,0.40,0.20,0.26,10
F,0.59,0.44,0.18,0.98,0.41,0.25,0.27,10
I,0.58,0.45,0.15,0.89,0.38,0.21,0.26,11
F,0.63,0.48,0.18,1.37,0.50,0.30,0.52,17
F,0.63,0.49,0.18,1.23,0.56,0.25,0.37,11
I,0.55,0.43,0.15,0.81,0.38,0.17,0.25,14
F,0.65,0.53,0.19,1.46,0.66,0.34,0.44,19
I,0.46,0.36,0.14,0.49,0.22,0.13,0.12,13
F,0.41,0.31,0.10,0.36,0.17,0.07,0.11,11
I,0.50,0.39,0.13,0.67,0.28,0.16,0.20,11
I,0.52,0.43,0.17,0.68,0.28,0.17,0.20,10
F,0.55,0.41,0.15,0.83,0.31,0.19,0.25,13
M,0.45,0.34,0.14,0.46,0.16,0.08,0.15,14
F,0.41,0.31,0.12,0.31,0.14,0.06,0.10,13
I,0.51,0.40,0.15,0.75,0.29,0.17,0.24,13
F,0.37,0.29,0.12,0.25,0.11,0.06,0.08,9
I,0.53,0.41,0.18,0.87,0.36,0.21,0.21,18
F,0.66,0.52,0.18,1.51,0.53,0.30,0.42,19
M,0.54,0.42,0.15,0.70,0.26,0.15,0.24,12
I,0.58,0.46,0.18,0.85,0.30,0.18,0.30,13
F,0.55,0.43,0.14,0.71,0.26,0.19,0.23,9
I,0.61,0.47,0.14,0.94,0.34,0.20,0.32,13
I,0.61,0.50,0.15,1.05,0.37,0.23,0.36,12
F,0.56,0.45,0.20,0.98,0.31,0.22,0.34,16
I,0.54,0.42,0.15,0.93,0.40,0.20,0.25,17
F,0.39,0.32,0.11,0.29,0.12,0.06,0.08,10
F,0.39,0.30,0.10,0.27,0.11,0.06,0.09,13
I,0.47,0.35,0.12,0.49,0.20,0.11,0.17,11
I,0.52,0.39,0.14,0.56,0.20,0.11,0.22,12
I,0.43,0.35,0.13,0.43,0.16,0.08,0.15,13
M,0.35,0.27,0.09,0.20,0.08,0.05,0.06,9
I,0.49,0.37,0.13,0.46,0.18,0.11,0.14,10
M,0.37,0.29,0.10,0.23,0.07,0.07,0.08,10
M,0.35,0.27,0.09,0.18,0.06,0.04,0.07,12
F,0.44,0.35,0.17,0.41,0.15,0.08,0.15,12
M,0.20,0.15,0.05,0.03,0.01,0.01,0.01,4
M,0.33,0.24,0.08,0.16,0.05,0.04,0.06,9
I,0.50,0.37,0.13,0.48,0.19,0.07,0.17,18
I,0.45,0.35,0.15,0.53,0.21,0.10,0.17,15
M,0.42,0.35,0.14,0.39,0.13,0.07,0.15,13
F,0.47,0.36,0.14,0.43,0.15,0.10,0.15,12
M,0.32,0.24,0.09,0.17,0.07,0.05,0.05,7
M,0.31,0.23,0.08,0.13,0.05,0.03,0.04,9
M,0.24,0.17,0.06,0.05,0.02,0.01,0.02,7
M,0.35,0.26,0.08,0.17,0.06,0.04,0.05,10
I,0.49,0.38,0.14,0.67,0.22,0.13,0.20,18
F,0.50,0.39,0.12,0.68,0.29,0.14,0.20,12
F,0.50,0.39,0.11,0.50,0.18,0.11,0.17,17
I,0.47,0.36,0.11,0.50,0.21,0.12,0.14,15
F,0.53,0.41,0.16,0.66,0.27,0.11,0.23,12
F,0.43,0.34,0.10,0.32,0.12,0.06,0.13,10
F,0.38,0.31,0.10,0.28,0.13,0.05,0.09,8
I,0.53,0.42,0.15,0.94,0.38,0.19,0.27,21
M,0.34,0.27,0.09,0.18,0.08,0.05,0.07,10
I,0.48,0.37,0.12,0.49,0.22,0.12,0.13,9
F,0.43,0.34,0.12,0.39,0.16,0.10,0.14,7
M,0.46,0.37,0.13,0.47,0.19,0.09,0.16,10
I,0.47,0.36,0.13,0.52,0.20,0.11,0.17,9
M,0.36,0.30,0.10,0.21,0.07,0.05,0.08,9
M,0.36,0.27,0.09,0.17,0.05,0.04,0.06,8
M,0.38,0.24,0.10,0.26,0.11,0.05,0.08,7
M,0.36,0.26,0.09,0.19,0.08,0.05,0.06,6
I,0.44,0.35,0.12,0.49,0.20,0.11,0.16,14
F,0.51,0.40,0.13,0.57,0.22,0.14,0.20,13
M,0.33,0.24,0.09,0.17,0.08,0.04,0.05,7
I,0.62,0.49,0.18,1.18,0.47,0.27,0.39,13
F,0.59,0.45,0.16,0.90,0.36,0.16,0.32,19
M,0.33,0.26,0.10,0.19,0.07,0.05,0.06,7
M,0.45,0.34,0.13,0.37,0.16,0.08,0.11,9
I,0.45,0.33,0.12,0.35,0.12,0.08,0.11,11
M,0.33,0.22,0.08,0.11,0.05,0.03,0.04,6
M,0.48,0.38,0.15,0.78,0.22,0.13,0.17,9
I,0.46,0.35,0.12,0.49,0.19,0.11,0.16,11
F,0.48,0.36,0.13,0.45,0.17,0.08,0.14,9
M,0.26,0.18,0.07,0.08,0.03,0.01,0.03,5
I,0.34,0.25,0.09,0.17,0.06,0.04,0.06,6
I,0.47,0.35,0.13,0.47,0.18,0.10,0.15,11
M,0.31,0.23,0.08,0.13,0.05,0.02,0.05,7
F,0.37,0.28,0.11,0.23,0.09,0.05,0.08,10
M,0.30,0.22,0.08,0.13,0.05,0.03,0.04,7
F,0.56,0.44,0.17,0.97,0.34,0.23,0.30,17
F,0.62,0.52,0.17,1.14,0.43,0.22,0.42,16
I,0.58,0.49,0.20,1.32,0.53,0.25,0.41,18
F,0.59,0.48,0.19,0.96,0.41,0.16,0.33,11
I,0.65,0.53,0.18,1.63,0.60,0.34,0.53,18
I,0.54,0.45,0.17,0.78,0.31,0.16,0.30,11
F,0.42,0.34,0.13,0.37,0.15,0.09,0.12,10
F,0.38,0.31,0.11,0.28,0.10,0.06,0.09,12
I,0.45,0.36,0.12,0.41,0.11,0.07,0.16,19
F,0.40,0.30,0.10,0.22,0.08,0.05,0.08,10
M,0.46,0.35,0.12,0.48,0.18,0.14,0.16,11
F,0.49,0.38,0.15,0.61,0.22,0.14,0.18,15
M,0.55,0.43,0.16,0.92,0.28,0.24,0.34,13
F,0.45,0.35,0.15,0.54,0.18,0.12,0.18,13
M,0.48,0.39,0.15,0.62,0.24,0.11,0.22,14
F,0.50,0.38,0.16,0.66,0.24,0.14,0.21,17
F,0.53,0.41,0.17,0.81,0.24,0.17,0.24,19
M,0.49,0.39,0.15,0.57,0.23,0.12,0.17,21
F,0.49,0.39,0.15,0.79,0.24,0.14,0.24,23
F,0.52,0.40,0.18,0.64,0.16,0.11,0.25,22
M,0.54,0.42,0.15,0.74,0.26,0.17,0.25,12
F,0.50,0.38,0.12,0.59,0.19,0.15,0.19,11
F,0.45,0.38,0.17,0.82,0.25,0.19,0.27,23
F,0.37,0.28,0.10,0.22,0.09,0.03,0.08,8
I,0.37,0.28,0.10,0.23,0.09,0.05,0.07,7
M,0.49,0.37,0.14,0.57,0.20,0.14,0.18,10
F,0.44,0.33,0.12,0.39,0.15,0.09,0.12,7
M,0.54,0.41,0.19,0.83,0.32,0.17,0.29,16
M,0.51,0.40,0.14,0.65,0.25,0.17,0.19,10
M,0.57,0.44,0.19,0.91,0.34,0.23,0.26,15
F,0.54,0.40,0.15,0.80,0.33,0.21,0.21,13
F,0.54,0.41,0.13,0.93,0.26,0.14,0.35,16
M,0.53,0.40,0.17,0.73,0.28,0.21,0.20,11
M,0.59,0.44,0.15,0.96,0.37,0.24,0.30,11
M,0.50,0.38,0.15,0.64,0.25,0.15,0.19,10
I,0.26,0.19,0.08,0.09,0.03,0.02,0.03,5
F,0.43,0.33,0.12,0.39,0.15,0.11,0.11,11
M,0.38,0.29,0.12,0.28,0.12,0.07,0.09,9
I,0.17,0.11,0.02,0.02,0.01,0.00,0.01,4
I,0.32,0.23,0.09,0.13,0.04,0.04,0.04,7
I,0.16,0.11,0.05,0.02,0.01,0.00,0.01,4
M,0.28,0.21,0.10,0.12,0.05,0.03,0.03,5
F,0.43,0.34,0.12,0.44,0.16,0.11,0.14,13
F,0.40,0.32,0.11,0.35,0.12,0.09,0.12,16
M,0.39,0.29,0.11,0.29,0.12,0.07,0.09,12
F,0.48,0.39,0.14,0.54,0.19,0.14,0.17,14
F,0.45,0.33,0.11,0.45,0.18,0.10,0.12,9
M,0.40,0.30,0.12,0.32,0.12,0.06,0.11,12
M,0.40,0.30,0.13,0.42,0.19,0.09,0.12,9
M,0.42,0.33,0.14,0.42,0.15,0.10,0.14,10
M,0.32,0.25,0.09,0.20,0.06,0.04,0.08,11
F,0.35,0.26,0.09,0.21,0.08,0.04,0.08,10
M,0.36,0.30,0.13,0.28,0.09,0.06,0.10,10
I,0.30,0.23,0.09,0.11,0.04,0.02,0.03,7
I,0.33,0.25,0.08,0.18,0.06,0.04,0.06,7
M,0.38,0.30,0.10,0.25,0.10,0.05,0.08,11
I,0.28,0.21,0.06,0.11,0.05,0.03,0.03,7
M,0.36,0.27,0.09,0.20,0.07,0.05,0.07,8
M,0.35,0.26,0.08,0.19,0.08,0.04,0.06,9
I,0.28,0.20,0.07,0.10,0.05,0.02,0.03,7
I,0.29,0.21,0.07,0.10,0.04,0.02,0.04,8
I,0.25,0.19,0.06,0.08,0.04,0.01,0.02,6
I,0.18,0.13,0.04,0.03,0.01,0.01,0.01,4
I,0.15,0.10,0.03,0.02,0.00,0.00,0.01,2
I,0.16,0.11,0.03,0.02,0.01,0.01,0.01,3
M,0.56,0.46,0.16,1.06,0.39,0.23,0.29,13
M,0.56,0.44,0.15,1.09,0.42,0.21,0.44,15
M,0.53,0.41,0.13,0.99,0.39,0.24,0.30,15
M,0.47,0.36,0.08,0.49,0.19,0.13,0.16,11
F,0.49,0.36,0.11,0.50,0.16,0.11,0.20,17
M,0.40,0.31,0.09,0.30,0.11,0.07,0.10,10
F,0.48,0.38,0.11,0.53,0.22,0.12,0.16,12
M,0.51,0.40,0.13,0.77,0.27,0.16,0.26,13
F,0.52,0.40,0.12,0.65,0.26,0.20,0.17,15
M,0.53,0.40,0.13,0.83,0.24,0.18,0.28,11
M,0.55,0.42,0.13,0.88,0.37,0.17,0.23,13
M,0.52,0.40,0.12,0.82,0.30,0.18,0.27,15
M,0.51,0.38,0.13,0.66,0.23,0.18,0.22,13
M,0.53,0.43,0.12,0.87,0.28,0.18,0.29,18
M,0.51,0.39,0.13,0.66,0.26,0.18,0.18,10
M,0.52,0.39,0.12,0.67,0.24,0.17,0.21,12
F,0.52,0.41,0.13,0.64,0.24,0.17,0.21,12
M,0.54,0.41,0.14,0.86,0.29,0.15,0.32,14
M,0.45,0.35,0.09,0.38,0.14,0.07,0.13,10
M,0.53,0.44,0.21,0.84,0.32,0.22,0.25,14
F,0.36,0.27,0.09,0.21,0.08,0.06,0.06,8
F,0.54,0.42,0.15,0.74,0.28,0.19,0.22,14
F,0.52,0.41,0.14,0.82,0.28,0.18,0.26,17
M,0.53,0.42,0.13,0.84,0.28,0.19,0.27,20
F,0.53,0.42,0.13,1.00,0.34,0.23,0.27,17
F,0.66,0.52,0.20,1.68,0.67,0.48,0.45,17
M,0.52,0.39,0.14,0.66,0.25,0.20,0.16,9
M,0.54,0.42,0.13,0.81,0.30,0.18,0.28,14
M,0.70,0.52,0.18,1.52,0.58,0.41,0.39,15
F,0.51,0.39,0.11,0.61,0.19,0.15,0.20,13
M,0.49,0.36,0.12,0.55,0.22,0.16,0.14,10
F,0.61,0.46,0.17,1.12,0.35,0.30,0.32,13
F,0.58,0.46,0.17,1.14,0.37,0.30,0.28,13
M,0.65,0.52,0.18,1.48,0.53,0.27,0.53,20
M,0.62,0.51,0.19,1.53,0.69,0.37,0.35,13
M,0.62,0.53,0.16,1.14,0.37,0.24,0.37,20
F,0.61,0.50,0.19,1.44,0.47,0.27,0.41,15
M,0.57,0.44,0.16,1.12,0.48,0.23,0.27,13
M,0.57,0.43,0.12,1.06,0.35,0.17,0.31,15
M,0.59,0.41,0.15,1.26,0.44,0.20,0.33,15
F,0.55,0.44,0.16,0.95,0.31,0.18,0.34,16
F,0.54,0.44,0.14,0.96,0.24,0.22,0.30,17
M,0.64,0.51,0.19,1.61,0.62,0.36,0.47,14
F,0.61,0.47,0.15,1.15,0.40,0.30,0.32,14
M,0.55,0.45,0.15,0.98,0.34,0.19,0.30,11
F,0.59,0.45,0.13,1.13,0.38,0.23,0.32,13
M,0.35,0.27,0.10,0.20,0.07,0.05,0.07,9
F,0.55,0.43,0.16,0.79,0.29,0.23,0.23,11
F,0.53,0.43,0.17,0.95,0.35,0.24,0.28,17
F,0.53,0.46,0.17,0.98,0.32,0.28,0.30,11
I,0.49,0.38,0.14,0.52,0.20,0.12,0.17,8
M,0.39,0.28,0.12,0.27,0.10,0.08,0.09,8
M,0.46,0.34,0.14,0.46,0.17,0.16,0.12,9
M,0.49,0.38,0.14,0.76,0.25,0.17,0.19,10
M,0.53,0.41,0.17,0.73,0.19,0.17,0.31,11
M,0.51,0.39,0.15,0.68,0.24,0.18,0.20,15
M,0.49,0.38,0.14,0.64,0.23,0.14,0.20,13
M,0.47,0.35,0.14,0.58,0.20,0.15,0.19,15
F,0.47,0.36,0.15,0.54,0.17,0.14,0.20,15
M,0.56,0.41,0.17,0.93,0.35,0.24,0.30,13
M,0.51,0.39,0.15,0.64,0.25,0.15,0.22,12
M,0.52,0.44,0.15,0.88,0.29,0.21,0.26,10
I,0.39,0.28,0.13,0.24,0.10,0.04,0.09,6
I,0.22,0.16,0.06,0.05,0.02,0.02,0.02,5
M,0.55,0.42,0.18,1.04,0.33,0.23,0.29,15
F,0.52,0.39,0.13,0.58,0.20,0.13,0.18,9
M,0.50,0.39,0.14,0.71,0.21,0.14,0.26,12
F,0.51,0.39,0.16,0.64,0.25,0.20,0.16,9
F,0.60,0.47,0.17,0.89,0.31,0.25,0.26,12
F,0.57,0.47,0.16,0.89,0.31,0.26,0.26,10
F,0.49,0.38,0.14,0.56,0.19,0.13,0.17,10
M,0.47,0.37,0.18,0.51,0.19,0.13,0.16,9
M,0.58,0.45,0.17,0.92,0.33,0.23,0.26,12
M,0.58,0.47,0.16,1.03,0.32,0.26,0.36,12
M,0.52,0.41,0.15,0.70,0.22,0.16,0.23,15
M,0.53,0.41,0.16,0.72,0.28,0.17,0.21,11
M,0.44,0.34,0.11,0.39,0.16,0.10,0.12,9
M,0.52,0.42,0.16,0.75,0.26,0.16,0.29,11
F,0.43,0.35,0.11,0.37,0.13,0.08,0.12,11
M,0.46,0.34,0.14,0.50,0.17,0.12,0.19,10
M,0.45,0.34,0.13,0.35,0.12,0.11,0.12,10
M,0.43,0.33,0.13,0.44,0.15,0.09,0.16,9
I,0.37,0.28,0.10,0.22,0.09,0.05,0.07,7
M,0.52,0.38,0.14,0.66,0.29,0.21,0.16,10
M,0.41,0.31,0.12,0.32,0.12,0.09,0.10,7
I,0.28,0.21,0.07,0.10,0.04,0.03,0.03,6
F,0.48,0.40,0.13,0.76,0.21,0.18,0.24,15
F,0.44,0.34,0.13,0.42,0.15,0.12,0.13,10
F,0.52,0.41,0.12,0.81,0.29,0.18,0.24,12
M,0.51,0.41,0.14,0.88,0.27,0.17,0.29,12
F,0.49,0.37,0.13,0.68,0.17,0.13,0.21,21
I,0.24,0.18,0.06,0.07,0.03,0.01,0.02,6
I,0.26,0.19,0.06,0.09,0.04,0.02,0.02,5
I,0.32,0.24,0.09,0.17,0.07,0.03,0.05,7
I,0.33,0.25,0.08,0.17,0.08,0.03,0.05,7
I,0.34,0.25,0.08,0.18,0.07,0.04,0.06,6
I,0.35,0.27,0.09,0.21,0.08,0.06,0.06,6
I,0.35,0.25,0.07,0.18,0.07,0.05,0.05,6
I,0.36,0.30,0.09,0.27,0.12,0.06,0.07,7
I,0.37,0.28,0.14,0.24,0.11,0.04,0.07,7
I,0.37,0.28,0.14,0.22,0.10,0.05,0.06,6
I,0.38,0.28,0.10,0.14,0.09,0.06,0.06,7
I,0.39,0.29,0.10,0.31,0.14,0.06,0.09,6
I,0.39,0.30,0.10,0.29,0.12,0.06,0.09,7
I,0.40,0.29,0.10,0.32,0.14,0.08,0.08,7
I,0.40,0.29,0.10,0.30,0.13,0.08,0.08,6
I,0.40,0.31,0.10,0.31,0.13,0.06,0.09,6
I,0.41,0.33,0.10,0.39,0.21,0.07,0.11,6
I,0.42,0.32,0.11,0.37,0.18,0.08,0.11,7
M,0.42,0.31,0.10,0.33,0.16,0.05,0.09,6
I,0.43,0.33,0.10,0.40,0.12,0.06,0.09,6
I,0.44,0.37,0.12,0.50,0.24,0.08,0.15,9
I,0.45,0.34,0.10,0.49,0.27,0.09,0.11,7
I,0.45,0.33,0.10,0.38,0.18,0.10,0.09,7
I,0.45,0.35,0.13,0.55,0.25,0.14,0.14,8
M,0.47,0.38,0.12,0.58,0.27,0.09,0.17,8
I,0.48,0.37,0.13,0.55,0.23,0.12,0.17,9
F,0.48,0.37,0.14,0.64,0.29,0.11,0.18,8
I,0.49,0.36,0.11,0.50,0.22,0.10,0.15,9
M,0.49,0.39,0.13,0.61,0.31,0.10,0.18,8
F,0.50,0.41,0.13,0.76,0.34,0.13,0.21,9
M,0.50,0.40,0.13,0.60,0.27,0.13,0.17,9
M,0.51,0.44,0.14,0.83,0.34,0.19,0.24,8
M,0.53,0.40,0.13,0.76,0.34,0.14,0.23,8
M,0.54,0.41,0.13,0.89,0.48,0.19,0.20,9
F,0.54,0.42,0.14,0.81,0.37,0.17,0.21,11
F,0.55,0.44,0.14,0.92,0.43,0.20,0.24,10
F,0.55,0.43,0.13,0.92,0.40,0.18,0.28,8
M,0.55,0.45,0.15,1.01,0.41,0.20,0.29,10
F,0.55,0.45,0.15,0.88,0.36,0.18,0.28,10
M,0.56,0.44,0.15,0.97,0.50,0.17,0.24,9
M,0.57,0.45,0.16,1.06,0.47,0.24,0.27,10
M,0.57,0.46,0.15,0.95,0.39,0.22,0.27,9
M,0.57,0.44,0.13,0.75,0.35,0.18,0.19,10
F,0.58,0.47,0.14,0.96,0.44,0.18,0.27,9
M,0.59,0.48,0.17,1.08,0.45,0.24,0.31,9
M,0.59,0.46,0.13,1.10,0.46,0.21,0.33,12
F,0.60,0.48,0.15,1.11,0.50,0.23,0.33,10
F,0.60,0.48,0.16,1.21,0.52,0.30,0.32,8
F,0.60,0.48,0.16,1.14,0.55,0.23,0.27,6
F,0.60,0.47,0.14,1.11,0.52,0.24,0.31,12
M,0.60,0.48,0.18,1.34,0.55,0.29,0.36,11
F,0.60,0.48,0.16,1.21,0.65,0.17,0.32,10
M,0.60,0.50,0.18,1.29,0.61,0.28,0.34,11
F,0.61,0.48,0.18,1.38,0.61,0.23,0.40,10
M,0.61,0.46,0.16,1.10,0.42,0.30,0.33,9
F,0.62,0.50,0.18,1.38,0.56,0.33,0.29,12
F,0.62,0.52,0.15,1.34,0.63,0.26,0.35,10
M,0.62,0.51,0.15,1.30,0.55,0.33,0.32,9
