activity,free time,personality,element,school minutes,make build,meet people,club
Play an instrument,170,Hang out with others,Water,33,Disagree,Strongly Agree,Band Club
Play an instrument,80,Keep to myself,Metal,20,Disagree,Strongly Disagree,Band Club
Draw a picture or doodle,88,Hang out with others,Water,37,Strongly Disagree,Neutral,Band Club
[science thing],131,Hang out with others,Fire,15,Strongly Agree,Disagree,Art Club
[science thing],146,Keep to myself,Metal,10,Strongly Agree,Disagree,Art Club
Play an instrument,152,Keep to myself,Water,57,Neutral,Strongly Disagree,Band Club
[science thing],98,Hang out with others,Water,58,Strongly Disagree,Agree,Band Club
Cook something from a new recipe,136,Keep to myself,Fire,9,Disagree,Neutral,Band Club
Cook something from a new recipe,59,Keep to myself,Earth,41,Agree,Strongly Agree,Band Club
[science thing],70,Hang out with others,Fire,30,Disagree,Disagree,Band Club
Cook something from a new recipe,141,Keep to myself,Water,29,Neutral,Disagree,Band Club
Cook something from a new recipe,89,Keep to myself,Earth,22,Strongly Agree,Neutral,Art Club
Play an instrument,162,Hang out with others,Water,24,Disagree,Disagree,Band Club
Cook something from a new recipe,159,Hang out with others,Fire,51,Strongly Agree,Agree,Band Club
Go for a walk,86,Keep to myself,Metal,36,Agree,Strongly Agree,Band Club
Play an instrument,107,Keep to myself,Wind,24,Strongly Disagree,Strongly Agree,Band Club
Cook something from a new recipe,117,Keep to myself,Metal,42,Disagree,Neutral,Band Club
Play an instrument,100,Keep to myself,Metal,40,Neutral,Strongly Disagree,Band Club
Draw a picture or doodle,30,Hang out with others,Earth,16,Neutral,Disagree,Band Club
Draw a picture or doodle,98,Hang out with others,Wind,24,Strongly Disagree,Strongly Agree,Band Club
Go for a walk,49,Keep to myself,Metal,51,Strongly Agree,Neutral,Band Club
Cook something from a new recipe,94,Keep to myself,Metal,36,Strongly Disagree,Strongly Agree,Band Club
Play an instrument,75,Hang out with others,Metal,24,Agree,Strongly Disagree,Band Club
Draw a picture or doodle,112,Hang out with others,Water,42,Agree,Neutral,Band Club
Draw a picture or doodle,111,Keep to myself,Fire,40,Strongly Agree,Disagree,Band Club
Draw a picture or doodle,154,Keep to myself,Earth,16,Strongly Disagree,Disagree,Band Club
