Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,0.28,0.38,0,0.08,0.75,81,75,7.8,69,Rockstar San Diego,E
Drawn to Life: The Next Chapter,Wii,2009,Puzzle,THQ,0.28,0.39,0,0.08,0.75,58,22,6,8,Planet Moon Studios,E
PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.26,0.19,0.27,0.04,0.75,60,18,7,27,Creatures Inc.,E
DJ Hero 2,PS3,2010,Misc,Activision,0.47,0.19,0,0.1,0.75,86,46,7.8,22,FreeStyleGames,T
WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,THQ,0.41,0.2,0,0.14,0.75,72,9,6,9,Yuke's,T
LEGO Batman 2: DC Super Heroes,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.41,0.28,0,0.06,0.75,72,6,5.2,25,TT Games,E10+
SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games,0.35,0.23,0.07,0.09,0.75,81,53,6.7,150,Project Soul,T
Shark Tale,PS2,2004,Action,Activision,0.37,0.29,0,0.1,0.75,69,30,6.5,6,Edge of Reality,E
Zone of the Enders,PS2,2001,Shooter,Konami Digital Entertainment,0.3,0.24,0.13,0.08,0.75,78,21,7.4,49,KCEJ,M
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75,82,56,7.2,386,Konami,E
Tony Hawk's Underground 2,XB,2004,Sports,Activision,0.48,0.24,0,0.03,0.75,83,55,7.8,12,Neversoft Entertainment,T
Madden NFL 06,PSP,2005,Sports,Electronic Arts,0.69,0,0,0.06,0.75,75,23,7.9,16,EA Tiburon,E
Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.21,0.46,0,0.08,0.75,62,24,7.6,14,Ubisoft,E10+
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75,81,22,7.9,27,Capcom,T
MVP 06 NCAA Baseball,PS2,2006,Sports,Electronic Arts,0.62,0.02,0,0.1,0.75,76,27,9,18,EA Canada,E
Turok,X360,2008,Action,Touchstone,0.46,0.2,0.01,0.07,0.75,69,63,7.1,120,Propaganda Games,M
Coded Arms,PSP,2005,Shooter,Konami Digital Entertainment,0.28,0.29,0,0.17,0.75,59,42,6.5,61,Konami,T
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,0.38,0.03,0.3,0.04,0.75,80,47,6.9,106,Square Enix,E10+
The Lord of the Rings: Conquest,PS3,2009,Action,Electronic Arts,0.38,0.25,0,0.11,0.74,54,45,7.1,57,Pandemic Studios,T
Band Hero,PS3,2009,Misc,Activision,0.41,0.23,0,0.11,0.74,76,45,5.7,9,Neversoft Entertainment,E10+
Burnout,PS2,2001,Racing,Acclaim Entertainment,0.36,0.28,0,0.1,0.74,79,25,7.7,33,Criterion Games,E
Spectrobes,DS,2007,Role-Playing,Disney Interactive Studios,0.66,0.02,0,0.06,0.74,63,37,7.9,31,Jupiter Corporation,E
The Godfather II,PS3,2009,Action,Electronic Arts,0.41,0.21,0.01,0.1,0.74,67,53,7.2,50,EA Redwood Shores,M
Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,0.67,0.01,0,0.06,0.74,70,19,8.8,31,JGI Entertainment,M
Need for Speed: Shift,PSP,2009,Racing,Electronic Arts,0.16,0.37,0.01,0.21,0.74,69,11,6.5,31,EA Bright Light,E
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74,91,30,7.9,915,From Software,T
Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.14,0.48,0,0.12,0.74,80,20,7.4,771,Ubisoft Montreal,M
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.1,0.74,79,39,6.8,179,Radical Entertainment,M
Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,0.61,0.1,0,0.03,0.74,84,53,7.4,40,Rockstar San Diego,E10+
Resident Evil: Revelations,PS3,2013,Action,Capcom,0.14,0.29,0.22,0.09,0.74,74,30,7.2,204,Capcom,M
Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,Ubisoft,0.42,0.19,0,0.13,0.74,60,20,7.1,31,Ubisoft Montreal,T
Red Faction: Guerrilla,PS3,2009,Shooter,THQ,0.33,0.27,0.02,0.12,0.74,85,56,8.1,136,Volition Inc.,M
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77,28,6.7,82,Project Aces,T
Unreal Championship,XB,2002,Shooter,Atari,0.59,0.12,0,0.03,0.74,83,29,8.2,24,Digital Extremes,M
Crysis 2,PC,2011,Action,Electronic Arts,0.16,0.45,0,0.13,0.74,86,42,6.8,1594,Crytek,M
Tales of Vesperia,X360,2008,Role-Playing,Atari,0.32,0.17,0.19,0.05,0.74,79,67,8.2,264,Bandai Namco Games,T
MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.67,0,0,0.07,0.74,87,36,7.8,114,SCEA San Diego Studios,E
LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82,8,8,71,TT Games,E10+
Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0,0,0.05,0.74,49,18,6.3,4,TOSE,E
Sword of Mana,GBA,2003,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,72,31,8.3,25,Brownie Brown,E
Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,Activision,0.49,0.15,0,0.09,0.73,74,48,7.3,51,Vicarious Visions,T
Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.33,0.34,0,0.06,0.73,85,45,5.9,3926,BioWare,M
Resonance of Fate,PS3,2010,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,72,42,8,136,Tri-Ace,T
Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,0.17,0.41,0,0.15,0.73,55,24,6.9,19,Eurocom Entertainment Software,T
Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,0.22,0.37,0,0.14,0.73,79,30,6.6,7,EA Salt Lake,E
Classic NES Series: Donkey Kong,GBA,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,55,15,4.8,4,Nintendo,E
Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,0.73,76,10,8.9,20,Natsume,E
WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,THQ,0.49,0.17,0,0.06,0.73,78,11,7.7,9,Yuke's,T
Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,76,5,8,15,syn Sophia,E
Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,0.73,79,50,6.3,268,Square Enix,T
Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,0.54,0.16,0,0.03,0.73,80,30,8.7,32,Oddworld Inhabitants,T
Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,86,47,7.7,180,Arc System Works,T
Brink,PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,72,39,5.8,168,Splash Damage,T
NHL 11,X360,2010,Sports,Electronic Arts,0.61,0.07,0,0.05,0.73,88,49,7.7,71,Electronic Arts,E10+
NCAA Football 07,X360,2006,Sports,Electronic Arts,0.67,0,0,0.06,0.73,79,43,6.9,20,EA Sports,E
Full Spectrum Warrior,XB,2004,Strategy,THQ,0.54,0.16,0,0.03,0.73,84,67,8.7,27,Pandemic Studios,M
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0,0.12,0.73,71,70,7,87,TT Games,E10+
Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86,55,9,86,Namco,E
Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.38,0.29,0,0.06,0.73,75,6,6.6,26,Ubisoft,E10+
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0,0.12,0.73,80,53,7.1,65,Traveller's Tales,E10+
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,74,23,7.1,83,"CyberConnect2, Racjin",T
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,Codemasters,0.36,0.28,0,0.09,0.73,64,17,8.7,13,Dearsoft,E
James Bond 007: Agent Under Fire,GC,2002,Shooter,Electronic Arts,0.56,0.15,0,0.02,0.72,74,16,6.8,25,Electronic Arts,T
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.43,0.01,0.25,0.04,0.72,65,15,7,22,TOSE,E
Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,Ubisoft,0.52,0.19,0,0.01,0.72,73,13,7.5,12,Ubisoft,E10+
Ultimate Spider-Man,PS2,2005,Action,Activision,0.6,0.02,0,0.1,0.72,74,52,7.9,54,Treyarch,T
Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.23,0.42,0,0.08,0.72,65,9,5.2,5,Electronic Arts,E
Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0,0.07,0.72,76,71,4.2,3742,Creative Assembly,T
NBA Live 08,PS2,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68,10,6.6,9,EA Canada,E
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,0.28,0.15,0.22,0.07,0.72,74,45,6.7,155,"Square Enix, Tri-Ace",T
Dead to Rights,XB,2002,Shooter,Electronic Arts,0.53,0.17,0,0.03,0.72,73,39,8.9,16,Namco,M
Indiana Jones and the Staff of Kings,Wii,2009,Action,Activision,0.36,0.29,0,0.07,0.72,55,32,7,28,Artificial Mind and Movement,T
Tiger Woods PGA Tour 07,PS2,2006,Sports,Electronic Arts,0.6,0.02,0,0.1,0.72,79,33,6,8,EA Redwood Shores,E
Major League Baseball 2K7,X360,2007,Sports,Spike,0.67,0,0,0.06,0.72,79,31,7.1,34,Kush Games,E
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83,56,8.1,169,Atlus,M
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0,0,0.14,0.72,83,17,7.7,205,SCEA San Diego Studios,E
X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0,0.05,0.72,72,12,8.4,18,Paradox Development,T
Kirby: Canvas Curse,DS,2005,Platform,Nintendo,0.36,0,0.32,0.03,0.72,86,48,8.2,87,HAL Labs,E
Madden NFL 10,Wii,2009,Sports,Electronic Arts,0.62,0.04,0,0.06,0.72,77,23,7.2,24,EA Tiburon,E
MLB 09: The Show,PS3,2009,Sports,Sony Computer Entertainment,0.66,0,0,0.06,0.72,90,27,8.1,61,SCEA San Diego Studios,E
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,74,16,6.4,161,2K Australia,M
Madden NFL 11,Wii,N/A,Sports,Unknown,0.68,0,0,0.04,0.72,75,6,5.4,7,EA Tiburon,E
Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,0.51,0.19,0,0.01,0.72,82,20,8.6,11,Realism Ltd,E
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.21,0.46,0,0.05,0.72,93,32,9.3,10665,CD Projekt Red Studio,M
F1 2011,X360,2011,Racing,Codemasters,0.11,0.5,0.01,0.09,0.72,84,61,7.1,54,Codemasters,E
Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72,66,10,8.5,37,Bandai,T
MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0,0,0.06,0.72,91,33,8.3,107,SCEA,E
MX vs. ATV Reflex,X360,2009,Racing,THQ,0.52,0.14,0,0.06,0.72,75,47,6.6,30,Rainbow Studios,E
Blur,PS3,2010,Racing,Activision,0.22,0.36,0.02,0.12,0.72,81,58,8.2,86,Bizarre Creations,E10+
Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0,0,0.72,87,46,8.3,1467,EA DICE,M
DiRT 3,X360,2011,Racing,Codemasters,0.23,0.4,0.01,0.08,0.72,87,81,7.1,166,Codemasters,T
The Lord of the Rings: The Two Towers,XB,2002,Action,Electronic Arts,0.45,0.24,0,0.03,0.71,79,17,8.1,18,Stormfront Studios,T
Madden NFL 2003,XB,2002,Sports,Electronic Arts,0.67,0.02,0,0.03,0.71,92,16,8.3,16,EA Tiburon,E
Skate,X360,2007,Sports,Electronic Arts,0.62,0.03,0,0.06,0.71,86,59,8.4,137,EA Black Box,T
XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.27,0.36,0,0.08,0.71,89,57,8.2,2235,Firaxis Games,M
Ben 10: Protector of Earth,PSP,2007,Action,D3Publisher,0.23,0.3,0,0.18,0.71,60,4,7.2,23,High Voltage Software,E10+
Virtua Fighter 4: Evolution,PS2,2003,Fighting,Sega,0.35,0.27,0,0.09,0.71,93,30,9,48,Sega,T
Crysis,PC,2007,Shooter,Electronic Arts,0,0.69,0,0.02,0.71,91,56,8,1970,Crytek,M
Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39,10,7,47,Capcom,M
The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.62,0.04,0,0.06,0.71,66,8,4,5,Full Fat,E
Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,Atari,0.55,0.14,0,0.02,0.71,73,30,7.8,23,"Pipeworks Software, Inc.",T
Silent Hill 3,PS2,2003,Action,Konami Digital Entertainment,0.35,0.27,0,0.09,0.71,85,41,8.8,315,KCET,M
Spyro: Enter the Dragonfly,GC,2002,Platform,Universal Interactive,0.55,0.14,0,0.02,0.71,48,13,5.1,24,Equinoxe,E
Power Rangers: Dino Thunder,PS2,2004,Action,THQ,0.35,0.27,0,0.09,0.71,49,6,6.2,5,Pacific Coast Power & Light,E
Madden NFL 08,PSP,2007,Sports,Electronic Arts,0.6,0.04,0,0.07,0.71,75,10,6.8,8,EA Tiburon,E
Madden NFL 09,PSP,2008,Sports,Electronic Arts,0.65,0,0,0.06,0.71,68,8,6.5,4,EA Tiburon,E
NBA Live 09,X360,2008,Sports,Electronic Arts,0.5,0.14,0,0.07,0.71,77,32,7.4,14,EA Canada,E
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73,54,7.8,117,Dimps Corporation,T
Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,0.18,0.07,0.41,0.04,0.71,59,31,7.3,49,"Koei, Omega Force",T
NCAA Football 09,X360,2008,Sports,Electronic Arts,0.65,0,0,0.05,0.71,83,24,7.7,26,EA Tiburon,E
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0,0.03,0.71,77,41,7.9,16,"id Software, Nerve Software",M
SSX,X360,2012,Sports,Electronic Arts,0.38,0.26,0,0.06,0.7,82,65,6.4,186,EA Canada,E
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.7,65,43,5.9,21,"Eighting, Genius Sonority Inc.",T
Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.22,0,0.07,0.7,50,44,5.5,182,Reality Pump,M
Tony Hawk's Underground,GC,2003,Sports,Activision,0.54,0.14,0,0.02,0.7,89,19,8.5,24,Neversoft Entertainment,T
Spider-Man 2,PSP,2005,Action,Activision,0.35,0.21,0,0.14,0.7,67,43,6.9,8,Vicarious Visions,T
NCAA Football 08,X360,2007,Sports,Electronic Arts,0.65,0,0,0.05,0.7,81,30,7.8,44,EA Sports,E
Skylanders: Trap Team,WiiU,2014,Action,Activision,0.38,0.26,0,0.06,0.7,86,4,7.1,18,Toys for Bob,E10+
Star Wars: Obi-Wan,XB,2001,Action,Activision,0.52,0.16,0,0.02,0.7,58,28,5.9,14,LucasArts,T
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78,51,8.4,79,Capcom,T
Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,0.34,0.27,0,0.09,0.7,73,33,8.3,19,Namco,T
Catherine,PS3,2011,Adventure,Deep Silver,0.3,0.14,0.2,0.06,0.7,79,61,8.1,372,Atlus,M
SplashDown,PS2,2001,Racing,Atari,0.34,0.27,0,0.09,0.7,84,22,8.2,11,Rainbow Studios,E
Jade Empire,XB,2005,Role-Playing,Microsoft Game Studios,0.48,0.19,0,0.03,0.7,89,84,8.6,113,BioWare,M
Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,68,60,7,158,Tri-Ace,T
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78,61,7.5,91,TT Games,E10+
NHL 12,X360,2011,Sports,Electronic Arts,0.55,0.1,0,0.05,0.7,86,56,7,72,Electronic Arts,E10+
Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0,0.01,0.7,92,28,9,95,Intelligent Systems,E
NASCAR 2001,PS2,2000,Racing,Electronic Arts,0.34,0.27,0,0.09,0.7,66,16,6.6,9,EA Sports,E
Mafia,PS2,2004,Action,Illusion Softworks,0.34,0.27,0,0.09,0.7,65,30,7.6,62,Illusion Softworks,M
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0,0.12,0.05,0.7,66,35,6.4,16,"SCEA, Sims",E
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,58,16,8.1,49,Bandai,T
MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,0.64,0,0,0.05,0.7,85,33,8.7,76,SCEA San Diego Studios,E
TimeSplitters 2,PS2,2002,Shooter,Eidos Interactive,0.34,0.27,0,0.09,0.7,90,33,8.8,127,Free Radical Design,T
Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,0.42,0.22,0,0.06,0.7,43,18,3.3,25,Kalypso,T
Driver: San Francisco,X360,2011,Racing,Ubisoft,0.25,0.37,0,0.07,0.7,80,63,7.6,130,Ubisoft Reflections,T
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,73,8,7.5,39,Nintendo,E
James Bond 007: Blood Stone,PS3,2010,Shooter,Activision,0.18,0.36,0.02,0.13,0.7,65,49,7.4,45,Bizarre Creations,T
Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,0.26,0,0.26,0.17,0.69,65,19,7.5,27,Kojima Productions,T
LEGO Rock Band,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.41,0.22,0,0.06,0.69,70,15,6.8,6,TT Fusion,E10+
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,0.54,0.13,0,0.02,0.69,89,37,7.4,34,Bungie Software,M
Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,0.58,0.02,0,0.09,0.69,77,41,8.6,74,Midway Studios - Los Angeles,M
MotionSports,X360,2010,Sports,Ubisoft,0.38,0.25,0,0.06,0.69,40,30,4.4,9,Ubisoft Milan,T
MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0.64,0,0,0.05,0.69,68,22,8.1,7,Rainbow Studios,E
Mario Pinball Land,GBA,2004,Misc,Nintendo,0.5,0.18,0,0.01,0.69,62,35,4.9,11,Fuse Games Limited,E
Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,0.53,0.14,0,0.02,0.69,65,16,6.3,15,Pyramid,T
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0,0.06,0.69,76,65,7.4,438,PopCap,E10+
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.46,0.17,0,0.07,0.69,75,18,5.8,175,Ghost Games,E10+
The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,0.31,0.3,0,0.07,0.69,50,12,3.3,4,Full Fat,E
Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,0.53,0.14,0,0.02,0.69,77,14,8.3,27,Eurocom Entertainment Software,E
Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75,49,7.6,120,Ubisoft Montreal,T
The Lord of the Rings: The Return of the King,GC,2003,Action,Electronic Arts,0.53,0.14,0,0.02,0.69,84,23,8.5,21,Hypnos Entertainment,T
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.28,0.32,0,0.09,0.69,77,56,6.1,173,The Sims Studio,T
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.17,0.39,0,0.13,0.69,82,37,7.7,55,2K Czech,E
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0.34,0.26,0,0.09,0.68,78,44,8.7,54,Black Isle Studios,T
Shark Tale,GBA,2004,Action,Activision,0.49,0.18,0,0.01,0.68,63,8,9,4,Vicarious Visions,E
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.25,0,0.1,0.68,81,28,7.3,20,Gaijin Entertainment,T
Test Drive Unlimited 2,X360,N/A,Racing,Atari,0.3,0.31,0,0.07,0.68,68,61,6.4,87,Eden,T
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,0.62,0.04,0,0.02,0.68,89,22,8.8,24,Electronic Arts,E
MX vs. ATV Untamed,X360,2007,Racing,THQ,0.55,0.08,0,0.06,0.68,70,43,7.1,17,Rainbow Studios,E
The Last Remnant,X360,2008,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,66,49,6.9,122,Square Enix,M
NCAA Football 2005,XB,2004,Sports,Electronic Arts,0.63,0.02,0,0.03,0.68,89,29,8,12,EA Sports,E
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85,46,8.8,172,Sanzaru Games,E10+
Naruto: Clash of Ninja,GC,2003,Fighting,Tomy Corporation,0.53,0.14,0,0.02,0.68,72,21,8.1,20,Tomy Corporation,T
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0,0.11,0.68,67,41,7.1,178,Rebellion,M
Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0.57,0.02,0,0.09,0.68,85,46,8.5,111,Ubisoft Montreal,M
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82,42,8.6,12,Clap Hanz,E
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82,8,8.4,162,Konami,T
Iron Man,PS3,2008,Action,Sega,0.32,0.25,0,0.11,0.68,42,27,6.2,45,Secret Level,T
FIFA Soccer 06,XB,2005,Sports,Electronic Arts,0.29,0.38,0,0.01,0.68,80,39,7.5,22,EA Canada,E
Fight Night 2004,XB,2004,Fighting,Electronic Arts,0.51,0.15,0,0.02,0.68,85,47,8.7,20,EA Sports,T
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76,24,8.9,81,CyberConnect2,T
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.34,0.28,0,0.06,0.68,79,18,7.8,397,MachineGames,M
Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0,0,0.05,0.68,69,7,6.8,5,Rainbow Studios,E
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.33,0,0.33,0.02,0.67,82,6,8.8,37,HAL Labs,E10+
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,0.49,0.16,0,0.02,0.67,84,38,8.8,33,Nerve Software,M
RIFT,PC,2011,Role-Playing,Unknown,0.44,0.16,0,0.07,0.67,84,59,7.3,561,Trion Worlds,T
Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60,33,7,40,Treyarch,T
Mass Effect,PC,2008,Role-Playing,Electronic Arts,0,0.59,0,0.08,0.67,89,45,8.6,2386,"BioWare, Demiurge Studios",M
The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0,0.06,0.67,79,24,7.3,430,Tango Gameworks,M
Armored Core 3,PS2,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74,23,9,33,From Software,T
Star Wars: Republic Commando,XB,2005,Shooter,Activision,0.48,0.17,0,0.02,0.67,78,54,8.9,89,LucasArts,T
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71,31,7.1,98,TT Games,E10+
Turok,PS3,2008,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67,38,6,39,Propaganda Games,M
Terraria,X360,2013,Action,505 Games,0.35,0.27,0,0.06,0.67,81,39,7.2,139,Engine Software,T
Red Steel,Wii,2006,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63,54,6.8,121,Ubisoft Paris,T
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.23,0,0.1,0.67,86,42,7.7,127,Epic Games,M
Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,0.31,0,0.34,0.02,0.67,68,8,7.1,11,"RED Entertainment, Artdink",E
The Sims 3,DS,2010,Simulation,Electronic Arts,0.38,0.22,0,0.06,0.67,73,9,6.4,20,Exient Entertainment,E
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,N/A,Action,Disney Interactive Studios,0.48,0.18,0,0.01,0.67,66,7,6.8,5,Amaze Entertainment,E
NFL Street,XB,2004,Sports,Electronic Arts,0.49,0.15,0,0.02,0.66,81,38,8.8,9,EA Tiburon,E
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66,77,41,7.2,25,Square Enix,E10+
Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0.59,0.03,0,0.05,0.66,62,12,7.2,11,Now Production,E
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0,0.1,0.66,67,26,6.9,9,Ubisoft,T
WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,0.33,0.2,0,0.14,0.66,78,13,8.1,21,Yuke's,T
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65,46,6.3,43,Codemasters,E
Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,0.55,0.02,0,0.09,0.66,65,6,6.6,17,Page 44 Studios,T
The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.33,0,0.13,0.66,80,35,7.7,107,Starbreeze,M
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,0.32,0.25,0,0.08,0.66,61,21,7.9,9,989 Sports,E
Darkstone,PS,2001,Role-Playing,Electronic Arts,0.37,0.25,0,0.04,0.66,58,10,8.3,12,Delphine Software International,T
