Loneliness,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera
Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Neutral
Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral
Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree
Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree
Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree
Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree
Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree
Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree
Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree
Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral
Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree
Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree
Neutral,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Agree
Disagree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree
Disagree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree
Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree
Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree
Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree
Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral
Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral
Neutral,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Disagree
Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree
Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral
Neutral,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree
Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree
Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree
Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree
Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree
Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree
Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Disagree
Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree
Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral
Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree
Disagree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral
Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral
Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree
Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree
Neutral,Strongly Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree
Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral
Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral
Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral
Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral
Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree
Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Disagree
Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Disagree
Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree
Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Agree
Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree
Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral
Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree
Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Disagree
Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Agree
Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree
Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Disagree
Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree
Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Disagree
Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree
Strongly Disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral
Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree
Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree
Disagree,Strongly Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree
Neutral,Strongly Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral
Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree
Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral
Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree
Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral
Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree
Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree
Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree
Neutral,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral
Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree
Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral
Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree
Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree
Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree
Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree
Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree
Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree
Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree
Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree
Neutral,Strongly Agree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral
Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree
Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree
Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree
Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree
Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree
