Month,DayofMonth,DayOfWeek,DepTime,TimeOfDay,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
October,18,Monday,836,Morning,HA,SFO,HNL,2398,N
May,26,Thursday,1727,Afternoon,UA,DEN,ONT,819,N
August,14,Sunday,830,Morning,WN,SAT,HOU,192,N
June,2,Wednesday,2124,Evening,DL,ATL,BHM,134,Y
August,8,Monday,1559,Afternoon,MQ,CMH,ORD,296,N
November,12,Sunday,1741,Afternoon,WN,OAK,BUR,325,N
June,30,Wednesday,2201,Evening,EV,ATL,GNV,300,N
May,12,Thursday,1120,Morning,EV,MCO,GSO,534,N
November,19,Friday,732,Morning,OO,ORD,SPI,174,N
February,7,Sunday,900,Morning,WN,PHX,ONT,325,N
July,9,Friday,1320,Afternoon,DH,IAD,CHS,441,Y
June,24,Friday,705,Morning,US,ONT,PHX,325,N
August,19,Thursday,1645,Afternoon,WN,PHX,SAN,304,N
February,25,Friday,1240,Afternoon,OO,FAT,SLC,501,N
December,16,Thursday,1239,Afternoon,XE,BTR,IAH,253,Y
November,1,Monday,1108,Morning,EV,ATL,ILM,377,N
February,17,Thursday,813,Morning,AA,ORD,PSP,1652,N
September,21,Wednesday,848,Morning,NW,MEM,MSP,700,Y
April,26,Tuesday,2110,Evening,MQ,JFK,RDU,426,N
February,19,Sunday,1104,Morning,MQ,BMI,ORD,116,N
July,18,Sunday,1157,Morning,UA,ORD,LAS,1515,N
January,16,Sunday,1435,Afternoon,YV,CLT,IAD,321,N
February,9,Tuesday,1219,Afternoon,CO,DEN,EWR,1605,N
March,28,Sunday,1636,Afternoon,AA,SAT,DFW,247,N
December,22,Thursday,1719,Afternoon,XE,LIT,EWR,1069,Y
December,22,Thursday,722,Morning,XE,RDU,IAH,1043,N
June,16,Thursday,1110,Morning,B6,IAD,BOS,413,N
January,9,Sunday,2152,Evening,UA,ORD,EWR,719,Y
September,14,Wednesday,2108,Evening,WN,PIT,MCO,834,Y
April,25,Monday,1544,Afternoon,AA,ORD,AUS,978,N
May,6,Thursday,743,Morning,OH,CVG,IAD,388,N
August,27,Friday,639,Morning,DL,MSY,ATL,425,N
April,18,Sunday,851,Morning,UA,IAH,DEN,861,N
March,26,Sunday,1217,Afternoon,XE,IAH,ELP,667,N
March,16,Wednesday,2120,Evening,WN,PDX,GEG,279,Y
September,14,Wednesday,1406,Afternoon,OO,SMF,SFO,86,N
May,3,Monday,1600,Afternoon,WN,PHX,LAS,256,N
August,3,Tuesday,710,Morning,NW,MKE,DTW,238,N
July,22,Friday,1250,Afternoon,YV,SEA,LAS,866,N
July,28,Wednesday,1612,Afternoon,AA,MIA,MCO,193,N
June,5,Sunday,1547,Afternoon,MQ,ALB,ORD,723,N
January,27,Thursday,1332,Afternoon,MQ,OMA,ORD,416,N
September,9,Friday,949,Morning,AA,TUL,DFW,237,N
December,4,Sunday,742,Morning,DL,CVG,BOS,752,N
December,25,Sunday,1155,Morning,WN,MDW,FLL,1166,Y
July,28,Wednesday,1923,Evening,MQ,ORD,CMI,135,N
September,20,Monday,1313,Afternoon,NW,MSP,CLT,930,N
May,11,Tuesday,1915,Evening,AA,DFW,BHM,597,N
March,13,Sunday,930,Morning,WN,STL,SLC,1156,N
March,7,Sunday,2117,Evening,XE,IAH,CRP,201,N
February,18,Friday,1425,Afternoon,WN,SAT,DAL,248,Y
February,7,Sunday,926,Morning,UA,IAD,ORD,589,N
December,26,Monday,715,Morning,MQ,IND,MIA,1021,N
December,27,Tuesday,1535,Afternoon,EV,ATL,GNV,300,Y
November,20,Sunday,1855,Evening,XE,EWR,CHS,628,N
January,24,Monday,807,Morning,OO,TUS,SLC,601,N
August,1,Sunday,1723,Afternoon,UA,PHX,DEN,602,N
February,15,Tuesday,1241,Afternoon,FL,ATL,PHL,665,N
February,5,Friday,754,Morning,AA,MIA,DTW,1145,N
June,18,Friday,706,Morning,MQ,MIA,CLT,650,N
November,5,Friday,1056,Morning,OO,PSC,DEN,853,Y
January,28,Thursday,1300,Afternoon,AA,SFO,MIA,2585,N
February,17,Wednesday,1144,Morning,US,DCA,CLT,331,N
April,15,Thursday,1137,Morning,OH,IAD,CVG,388,N
July,16,Sunday,2001,Evening,US,PHX,SAN,304,Y
November,23,Wednesday,1540,Afternoon,US,CLT,MYR,156,N
February,22,Tuesday,1135,Morning,WN,SEA,OAK,671,N
May,16,Sunday,1750,Afternoon,EV,CVG,CLE,221,N
December,6,Tuesday,1753,Afternoon,DL,MCO,LAX,2217,N
July,10,Sunday,554,Night,DL,RDU,ATL,356,N
March,8,Tuesday,1913,Evening,CO,IAH,DFW,224,N
August,2,Tuesday,1715,Afternoon,HA,HNL,LIH,102,N
August,11,Thursday,1649,Afternoon,WN,DEN,BNA,1013,N
January,30,Sunday,1401,Afternoon,TZ,LAS,HNL,2762,N
December,19,Monday,2156,Evening,B6,PBI,JFK,1028,Y
October,16,Sunday,1006,Morning,US,PHX,PDX,1009,N
July,29,Thursday,1054,Morning,MQ,BOS,DCA,399,N
August,26,Thursday,1214,Afternoon,XE,MIA,CLE,1080,Y
May,24,Tuesday,1303,Afternoon,CO,MCO,IAH,853,N
April,25,Sunday,630,Morning,US,PHL,CLT,448,N
March,22,Monday,1422,Afternoon,XE,PHL,CLE,363,N
June,9,Wednesday,1850,Evening,OH,LGA,RDU,431,Y
August,16,Monday,1426,Afternoon,FL,TPA,CAK,894,N
December,17,Friday,1749,Afternoon,NW,DTW,MHT,609,Y
November,26,Friday,733,Morning,B6,MCO,JFK,944,N
May,23,Sunday,930,Morning,WN,PHX,RDU,1891,N
August,1,Monday,1310,Afternoon,US,CLT,DEN,1337,N
December,22,Wednesday,2150,Evening,WN,OAK,ONT,361,Y
February,11,Friday,1154,Morning,OO,PSP,LAX,110,N
May,8,Sunday,1217,Afternoon,AA,DFW,SJC,1438,N
October,6,Thursday,601,Morning,OH,HPN,CVG,597,N
October,31,Monday,700,Morning,NW,MSP,LGA,1020,N
August,20,Sunday,2127,Evening,WN,SJC,PHX,621,N
January,28,Thursday,705,Morning,WN,ABQ,DAL,580,N
November,7,Sunday,2328,Evening,UA,SEA,ORD,1721,N
March,30,Tuesday,1643,Afternoon,MQ,DFW,CRP,354,N
May,1,Sunday,2128,Evening,WN,SAN,PHX,304,N
May,22,Sunday,1626,Afternoon,DL,CVG,ORD,264,N
December,20,Tuesday,1127,Morning,YV,ORD,LAN,179,Y
December,21,Wednesday,1503,Afternoon,AQ,HNL,LIH,102,N
February,14,Sunday,1121,Morning,MQ,ORD,RIC,642,N
March,16,Tuesday,1728,Afternoon,DL,BDL,ATL,859,Y
July,19,Tuesday,1820,Evening,YV,PSP,PHX,261,N
April,16,Friday,905,Morning,CO,EWR,MCO,938,N
August,31,Tuesday,1956,Evening,HA,LIH,HNL,102,N
November,26,Sunday,1648,Afternoon,EV,ATL,FAY,331,N
February,23,Tuesday,1800,Evening,WN,LAX,OAK,337,N
February,2,Tuesday,1100,Morning,AS,SFO,SEA,679,N
February,28,Sunday,1507,Afternoon,WN,LAS,OAK,407,Y
October,27,Thursday,2038,Evening,MQ,DFW,SPS,113,N
March,24,Wednesday,1102,Morning,UA,SFO,DFW,1464,N
March,30,Tuesday,804,Morning,MQ,HSV,DFW,603,N
June,5,Sunday,1958,Evening,AS,SEA,SJC,697,Y
January,8,Friday,1100,Morning,OH,BHM,LGA,866,N
May,3,Tuesday,1155,Morning,NW,BOS,DTW,632,N
July,27,Tuesday,1305,Afternoon,HP,PHX,OAK,646,N
August,11,Wednesday,1358,Afternoon,US,CLT,DCA,331,N
November,21,Monday,1508,Afternoon,XE,CAE,IAH,878,N
November,9,Wednesday,1743,Afternoon,AA,LAX,OGG,2486,N
January,31,Monday,627,Morning,MQ,CLT,ORD,599,N
April,8,Friday,1547,Afternoon,CO,FLL,IAH,965,Y
December,30,Thursday,712,Morning,OO,LNK,DEN,423,N
September,26,Monday,650,Morning,F9,DEN,LAS,629,N
April,8,Friday,1347,Afternoon,OO,GJT,DEN,212,N
July,28,Thursday,1808,Evening,XE,BUF,CLE,192,Y
November,13,Sunday,1344,Afternoon,FL,MSP,MCO,1310,Y
August,8,Monday,1024,Morning,WN,MDW,CLE,307,N
December,9,Friday,1359,Afternoon,OH,DCA,CVG,411,N
April,6,Wednesday,1810,Evening,DL,ATL,CVG,373,N
July,7,Thursday,1652,Afternoon,OO,ONT,SFO,363,Y
January,2,Sunday,646,Morning,NW,BUF,DTW,240,Y
March,15,Tuesday,1713,Afternoon,DL,BHM,ATL,134,N
January,16,Sunday,1949,Evening,MQ,RDU,LGA,431,N
April,12,Monday,1243,Afternoon,OO,LAX,COS,833,N
February,10,Thursday,1402,Afternoon,AA,LGA,ORD,733,N
September,1,Wednesday,1444,Afternoon,UA,DEN,SFO,967,N
June,29,Tuesday,2045,Evening,WN,SMF,LAS,397,N
March,9,Tuesday,1804,Evening,NW,BNA,MSP,695,N
January,3,Monday,650,Morning,TZ,PHX,DEN,602,N
June,14,Monday,1105,Morning,OH,BOS,CVG,752,N
February,27,Sunday,1051,Morning,OH,CVG,PHL,507,N
June,6,Sunday,1353,Afternoon,FL,ATL,DCA,547,N
March,29,Monday,1409,Afternoon,NW,DCA,MSP,931,N
May,13,Thursday,1115,Morning,WN,OAK,BUR,325,Y
July,31,Sunday,2017,Evening,AS,SJC,SEA,697,Y
June,28,Monday,1100,Morning,WN,DAL,ABQ,580,N
July,20,Tuesday,1948,Evening,UA,SNA,SFO,372,N
November,26,Friday,2002,Evening,OO,ORD,COS,911,N
October,22,Sunday,1914,Evening,NW,MSP,LGA,1020,Y
September,16,Friday,611,Morning,TZ,MDW,LGA,725,N
November,28,Sunday,902,Morning,NW,RDU,DTW,501,N
November,7,Monday,1630,Afternoon,YV,ORD,ROC,528,Y
October,25,Tuesday,1017,Morning,CO,SFO,CLE,2161,N
September,10,Friday,957,Morning,AA,DFW,ORD,802,N
October,26,Wednesday,858,Morning,YV,PHX,ICT,870,N
November,1,Tuesday,1901,Evening,WN,BWI,RDU,255,N
November,4,Friday,1044,Morning,UA,TPA,DEN,1506,N
October,12,Wednesday,1824,Evening,WN,ABQ,HOU,759,N
January,6,Wednesday,1942,Evening,CO,HNL,IAH,3904,N
November,7,Monday,1041,Morning,OO,PHX,SLC,507,N
March,21,Monday,2150,Evening,WN,SLC,BOI,291,Y
October,19,Wednesday,1940,Evening,US,PHX,BUR,369,N
April,6,Wednesday,929,Morning,MQ,DSM,ORD,299,N
February,27,Sunday,1651,Afternoon,CO,EWR,MCO,938,Y
June,19,Sunday,1649,Afternoon,MQ,AMA,DFW,313,Y
January,20,Wednesday,1250,Afternoon,WN,BHM,MCO,478,Y
September,18,Sunday,1946,Evening,MQ,ATL,ORD,606,N
April,2,Sunday,1815,Evening,OO,PDX,SLC,630,N
June,8,Tuesday,1215,Afternoon,EV,ATL,CSG,83,N
April,7,Wednesday,1913,Evening,XE,IAH,CHS,925,N
February,17,Thursday,657,Morning,UA,ORD,MSP,334,N
December,1,Wednesday,935,Morning,FL,BWI,RSW,919,N
September,7,Tuesday,1539,Afternoon,NW,SFO,HNL,2398,Y
September,1,Thursday,1421,Afternoon,WN,TUL,DAL,237,N
April,5,Monday,1850,Evening,MQ,EWR,BOS,200,N
February,27,Sunday,1432,Afternoon,NW,MEM,VPS,369,Y
March,9,Tuesday,648,Morning,MQ,SAN,LAX,109,N
March,10,Thursday,1057,Morning,DL,BHM,ATL,134,N
December,26,Monday,2139,Evening,CO,CLE,IAH,1091,Y
September,28,Wednesday,1543,Afternoon,AA,MCO,ORD,1005,Y
July,24,Sunday,1254,Afternoon,MQ,ORD,CMI,135,N
June,14,Monday,1714,Afternoon,MQ,DFW,CLL,164,N
June,10,Thursday,621,Morning,XE,ALB,CLE,424,N
December,5,Monday,943,Morning,OO,ORD,COS,911,N
July,30,Friday,1036,Morning,EV,ATL,HSV,151,Y
September,20,Monday,2049,Evening,UA,ORD,PHL,678,N
March,30,Wednesday,1440,Afternoon,WN,PHX,PIT,1813,N
September,8,Wednesday,1353,Afternoon,EV,ATL,MSP,906,N
June,10,Friday,1826,Evening,FL,MSY,ATL,425,Y
November,14,Sunday,2045,Evening,WN,MDW,IND,162,N
September,16,Friday,2005,Evening,YV,IAD,RDU,224,Y
August,21,Sunday,1211,Afternoon,MQ,CRP,DFW,354,N
February,20,Sunday,1035,Morning,XE,IAD,CLE,288,N
September,22,Thursday,2150,Evening,YV,SAT,LAS,1069,N
May,22,Sunday,1434,Afternoon,HA,OGG,SEA,2640,N
October,12,Tuesday,1328,Afternoon,NW,AZO,DTW,113,N
August,29,Monday,1913,Evening,OO,PDX,SEA,129,N
May,19,Thursday,1720,Afternoon,WN,LAX,SJC,308,N
June,21,Monday,1849,Evening,XE,BUF,CLE,192,N
September,17,Sunday,810,Morning,WN,HOU,JAN,359,N
November,18,Thursday,1816,Evening,MQ,ROC,ORD,528,Y
October,6,Wednesday,1914,Evening,AA,STL,DFW,551,N
August,10,Tuesday,1650,Afternoon,WN,TPA,JAX,180,N
January,24,Monday,2002,Evening,WN,PHX,SLC,507,N
August,17,Wednesday,1457,Afternoon,B6,MCO,BOS,1121,Y
August,16,Monday,1941,Evening,DL,ATL,DEN,1199,Y
March,24,Thursday,1804,Evening,DL,TLH,ATL,223,N
May,15,Sunday,808,Morning,EV,ATL,GPT,352,N
April,8,Thursday,1638,Afternoon,MQ,ORD,MEM,491,Y
August,23,Monday,1921,Evening,US,FLL,LGA,1076,N
July,14,Thursday,2152,Evening,OO,ORD,BTV,763,Y
November,17,Thursday,1237,Afternoon,UA,MCI,DEN,533,N
May,8,Sunday,853,Morning,US,LGA,DCA,214,N
October,29,Friday,1652,Afternoon,DH,EWR,IAD,213,N
December,27,Monday,2045,Evening,WN,AUS,BWI,1342,Y
November,1,Monday,1741,Afternoon,UA,BWI,ORD,622,N
September,6,Monday,1000,Morning,OO,SFO,SNA,372,Y
August,13,Sunday,1600,Afternoon,OH,SCE,CVG,383,N
July,1,Thursday,700,Morning,NW,MSP,DTW,528,N
December,6,Tuesday,1202,Afternoon,EV,ATL,BTR,449,N
May,21,Sunday,1003,Morning,UA,SFO,ORD,1846,N
April,20,Wednesday,1404,Afternoon,CO,PHX,IAH,1009,Y
February,25,Friday,2351,Evening,NW,PHX,DTW,1671,N
December,4,Sunday,1441,Afternoon,FL,ATL,LGA,761,Y
January,2,Sunday,1907,Evening,MQ,DFW,CLL,164,N
September,1,Wednesday,2130,Evening,WN,BNA,MCI,491,N
June,6,Sunday,1140,Morning,B6,PBI,JFK,1028,N
May,18,Wednesday,1858,Evening,MQ,ORD,GRR,137,Y
April,17,Sunday,1559,Afternoon,B6,JFK,LGB,2465,N
December,29,Wednesday,832,Morning,NW,MEM,MSP,700,N
May,24,Tuesday,1948,Evening,OO,SAN,LAX,109,N
December,3,Sunday,1342,Afternoon,NW,DTW,TPA,983,N
June,9,Thursday,1055,Morning,OH,CVG,PHL,507,N
October,6,Wednesday,1048,Morning,OH,BGR,CVG,906,N
June,30,Thursday,1640,Afternoon,AA,DFW,ELP,551,N
December,11,Sunday,933,Morning,CO,IAH,DCA,1208,N
June,13,Monday,605,Morning,OH,RIC,CVG,413,N
May,26,Thursday,858,Morning,YV,PHX,ICT,870,N
November,30,Tuesday,755,Morning,OH,HSV,DCA,613,N
January,3,Monday,911,Morning,UA,ORD,PHX,1440,Y
February,19,Friday,1035,Morning,MQ,ORD,MSN,109,N
August,20,Friday,800,Morning,HP,SNA,LAS,226,N
January,21,Thursday,935,Morning,DL,LGA,CVG,585,N
June,17,Thursday,22,Night,NW,LAX,DTW,1979,N
August,1,Sunday,1840,Evening,XE,EWR,RIC,278,N
December,2,Thursday,1313,Afternoon,AA,MCO,SJU,1189,N
February,27,Sunday,1604,Afternoon,WN,CMH,STL,410,N
August,18,Wednesday,641,Morning,US,IAD,CLT,321,N
May,22,Sunday,1849,Evening,XE,GSP,EWR,594,Y
June,8,Wednesday,1310,Afternoon,WN,SAN,SMF,480,N
March,16,Tuesday,1119,Morning,MQ,RDU,LGA,431,Y
September,26,Monday,652,Morning,MQ,TXK,DFW,181,N
March,10,Wednesday,1415,Afternoon,MQ,BOS,RDU,612,N
January,14,Friday,2039,Evening,US,PHL,RDU,336,Y
April,14,Wednesday,1645,Afternoon,OO,ORD,LNK,466,N
March,5,Sunday,1610,Afternoon,WN,MHT,PHL,290,N
June,13,Monday,1905,Evening,AS,SEA,LAS,866,N
May,28,Sunday,1104,Morning,WN,OAK,LAX,337,N
April,19,Monday,1401,Afternoon,UA,OAK,DEN,957,N
March,25,Thursday,1903,Evening,OO,SBA,SJC,234,N
August,8,Monday,600,Morning,OH,CAK,ATL,528,N
April,1,Friday,1533,Afternoon,US,PIT,PHL,267,N
June,12,Sunday,748,Morning,AS,KTN,SEA,680,N
March,2,Wednesday,1055,Morning,WN,MCO,BWI,787,N
November,19,Friday,1004,Morning,OO,DEN,SLC,391,N
August,19,Friday,1437,Afternoon,CO,IAH,PDX,1825,N
September,11,Sunday,1956,Evening,DL,ATL,LAS,1747,Y
May,20,Friday,1229,Afternoon,DL,CVG,HNL,4433,Y
May,30,Sunday,1319,Afternoon,MQ,DFW,JAN,408,N
July,4,Sunday,1419,Afternoon,AS,SEA,LGB,965,N
April,20,Wednesday,728,Morning,AA,SAN,JFK,2446,N
September,15,Thursday,550,Night,YV,MFR,PHX,854,N
November,21,Monday,1247,Afternoon,WN,DEN,PHX,602,N
September,8,Wednesday,531,Night,HP,SEA,PHX,1107,N
February,25,Friday,526,Night,DL,DFW,ATL,732,N
August,13,Friday,1730,Afternoon,CO,AUS,IAH,140,Y
November,16,Wednesday,1606,Afternoon,US,CLT,RDU,130,N
March,2,Tuesday,1111,Morning,AA,SJU,MIA,1045,N
November,19,Sunday,1315,Afternoon,UA,SAT,ORD,1041,N
November,9,Wednesday,2116,Evening,WN,LBB,DAL,293,Y
February,26,Friday,1752,Afternoon,FL,MSY,ATL,425,N
June,7,Tuesday,1928,Evening,MQ,SAN,LAX,109,N
December,18,Sunday,1010,Morning,HP,BWI,PHX,1999,N
September,22,Thursday,1616,Afternoon,WN,AUS,HOU,148,N
October,9,Sunday,1251,Afternoon,FL,MKE,ATL,669,N
January,3,Monday,1323,Afternoon,AS,CDV,ANC,160,N
March,17,Wednesday,2229,Evening,DL,ATL,CLE,554,Y
August,5,Thursday,1944,Evening,US,MCO,PHL,861,Y
February,18,Thursday,1217,Afternoon,HA,HNL,LIH,102,N
December,24,Sunday,1145,Morning,DL,TPA,BDL,1111,N
November,29,Monday,1826,Evening,NW,MSP,GFK,284,Y
April,2,Friday,1534,Afternoon,AA,OKC,DFW,175,N
September,12,Sunday,838,Morning,DH,IAD,IND,476,N
March,27,Sunday,1108,Morning,AA,DFW,IND,762,N
January,18,Monday,1519,Afternoon,DL,BHM,ATL,134,N
October,14,Friday,1256,Afternoon,HA,HNL,SMF,2462,N
February,3,Thursday,2145,Evening,EV,ATL,CHA,106,N
October,20,Wednesday,1850,Evening,MQ,JAN,DFW,408,N
February,3,Thursday,708,Morning,NW,MSP,LAS,1300,N
August,31,Wednesday,1005,Morning,WN,OAK,SLC,588,N
July,22,Thursday,852,Morning,MQ,SJT,DFW,228,N
February,17,Wednesday,2357,Evening,CO,PHX,EWR,2133,N
August,17,Wednesday,558,Night,UA,LGA,ORD,733,N
April,4,Monday,1314,Afternoon,AA,ORD,LGA,733,Y
March,12,Sunday,2205,Evening,YV,PHL,CAE,522,Y
February,9,Tuesday,1948,Evening,US,DCA,MCO,759,N
August,9,Tuesday,1358,Afternoon,OO,MEM,DEN,872,N
September,16,Thursday,2130,Evening,US,CLT,MYR,156,N
December,25,Sunday,756,Morning,B6,JFK,RSW,1074,N
June,19,Sunday,1854,Evening,UA,DEN,CLE,1201,N
December,11,Sunday,1028,Morning,WN,FLL,ISP,1093,Y
April,16,Sunday,2246,Evening,OO,CLE,ORD,316,Y
February,10,Wednesday,1355,Afternoon,OO,EUG,DEN,997,N
December,31,Friday,650,Morning,WN,RDU,TPA,587,N
July,26,Tuesday,632,Morning,WN,SAT,DAL,248,N
November,1,Monday,1239,Afternoon,HP,SEA,LAS,866,N
May,14,Friday,1604,Afternoon,NW,DCA,DTW,405,N
August,13,Friday,1745,Afternoon,XE,BWI,EWR,169,N
September,11,Sunday,1722,Afternoon,OO,LAS,PSP,173,N
March,3,Thursday,1721,Afternoon,OO,TWF,SLC,175,N
October,13,Wednesday,1326,Afternoon,EV,ATL,PIT,526,N
September,11,Sunday,1333,Afternoon,OO,FAT,DEN,844,Y
October,13,Thursday,1455,Afternoon,MQ,ORD,ICT,588,Y
August,19,Friday,1548,Afternoon,WN,BWI,BHM,682,N
August,20,Sunday,1127,Morning,DL,CMH,ATL,446,N
January,1,Sunday,1840,Evening,WN,SLC,SEA,689,Y
October,26,Tuesday,555,Night,AA,SAT,DFW,247,N
October,20,Thursday,729,Morning,US,PIT,BOS,496,N
January,17,Sunday,831,Morning,MQ,LGA,DCA,214,Y
August,22,Sunday,1027,Morning,OO,MFR,SFO,329,N
March,16,Wednesday,1458,Afternoon,DL,CVG,BWI,430,N
August,7,Sunday,1729,Afternoon,MQ,SBA,LAX,89,Y
September,4,Sunday,623,Morning,OO,ORD,SYR,607,N
June,13,Monday,1423,Afternoon,MQ,ORD,JFK,740,N
December,8,Wednesday,655,Morning,WN,HOU,AUS,148,N
September,13,Monday,815,Morning,WN,CMH,BNA,338,N
January,7,Friday,1907,Evening,CO,EWR,PBI,1024,N
January,11,Tuesday,1805,Evening,WN,SDF,PHX,1506,N
May,12,Thursday,1659,Afternoon,F9,DEN,MCI,533,N
June,1,Wednesday,1034,Morning,AA,LGA,ORD,733,N
November,28,Sunday,1112,Morning,MQ,GRK,DFW,134,N
September,1,Thursday,2059,Evening,DL,SLC,SEA,689,N
January,20,Wednesday,639,Morning,XE,BFL,IAH,1428,N
October,28,Thursday,1030,Morning,EV,XNA,ATL,589,N
October,3,Sunday,1757,Afternoon,FL,MCO,DAY,808,N
March,20,Sunday,1130,Morning,WN,PHX,SJC,621,N
November,27,Sunday,1630,Afternoon,UA,SEA,DEN,1024,N
May,1,Sunday,819,Morning,AA,SEA,JFK,2421,N
March,9,Tuesday,915,Morning,MQ,BDL,RDU,532,N
April,9,Sunday,1241,Afternoon,AA,DFW,BDL,1471,N
March,18,Thursday,1438,Afternoon,US,DCA,MCO,759,N
July,15,Friday,1615,Afternoon,AS,BET,ANC,399,Y
September,29,Thursday,1234,Afternoon,XE,EWR,MHT,209,N
August,31,Tuesday,2051,Evening,AA,DFW,OKC,175,N
August,10,Tuesday,621,Morning,DH,BUF,IAD,284,N
August,12,Thursday,1410,Afternoon,WN,LAS,SAT,1069,N
October,8,Sunday,1124,Morning,DL,SLC,GEG,546,N
September,3,Sunday,1834,Evening,OO,BIS,DEN,517,N
February,5,Sunday,1949,Evening,WN,RSW,ISP,1101,Y
January,6,Thursday,2004,Evening,FL,ATL,MCO,403,N
October,26,Tuesday,1137,Morning,MQ,DFW,LBB,282,N
February,9,Tuesday,1659,Afternoon,CO,DEN,EWR,1605,N
March,20,Sunday,1653,Afternoon,DL,SLC,BOS,2105,N
December,24,Friday,1534,Afternoon,DL,STT,ATL,1599,N
July,22,Thursday,1126,Morning,EV,HKY,ATL,225,N
December,17,Sunday,1010,Morning,OO,SMX,LAX,135,N
August,2,Monday,605,Morning,DL,BDL,CVG,661,N
February,25,Thursday,934,Morning,XE,IAH,GRK,166,N
October,9,Sunday,2200,Evening,AS,SEA,ANC,1449,N
January,25,Monday,700,Morning,WN,AUS,PHX,872,N
June,3,Friday,1925,Evening,WN,BNA,FLL,793,Y
September,2,Thursday,2142,Evening,EV,ATL,PIT,526,Y
August,20,Friday,1050,Morning,WN,ISP,BNA,803,N
December,23,Thursday,1149,Morning,XE,IAH,HRL,295,N
August,4,Wednesday,36,Night,AA,RNO,DFW,1345,N
July,27,Wednesday,1618,Afternoon,AA,MIA,BOS,1258,N
August,29,Sunday,915,Morning,AA,DEN,LAX,862,N
February,23,Tuesday,635,Morning,WN,PHX,HOU,1020,N
August,21,Sunday,1028,Morning,MQ,GRR,ORD,137,N
March,21,Sunday,808,Morning,NW,SDF,DTW,306,N
September,18,Sunday,1453,Afternoon,MQ,ORD,MSN,109,Y
January,28,Friday,2043,Evening,US,PHL,BOS,280,N
May,12,Thursday,1926,Evening,XE,DFW,CLE,1021,Y
June,30,Thursday,1814,Evening,WN,OAK,SAN,446,N
April,30,Sunday,2047,Evening,US,LAS,LAX,236,N
August,20,Sunday,935,Morning,MQ,LGA,CLT,544,N
October,27,Thursday,759,Morning,DL,SMF,ATL,2092,Y
February,11,Thursday,1458,Afternoon,XE,SDF,IAH,788,N
December,13,Tuesday,1723,Afternoon,MQ,DFW,SPS,113,N
December,16,Thursday,1147,Morning,WN,SNA,PHX,338,N
July,26,Tuesday,710,Morning,US,SYR,PHL,228,N
April,14,Thursday,616,Morning,NW,MCI,DTW,629,N
January,28,Friday,1845,Evening,OH,JFK,RDU,426,N
May,6,Thursday,1858,Evening,XE,IAH,MLU,262,N
February,7,Sunday,924,Morning,XE,SAT,IAH,191,N
March,17,Wednesday,1825,Evening,AA,SJU,BDL,1666,N
June,11,Friday,1855,Evening,WN,SMF,ONT,389,N
September,19,Monday,2158,Evening,TZ,HNL,LAS,2762,N
April,17,Sunday,1452,Afternoon,DL,ATL,CMH,446,N
June,28,Monday,2234,Evening,DL,ATL,IAD,533,N
September,2,Thursday,725,Morning,CO,EWR,LAS,2227,N
November,26,Sunday,1007,Morning,NW,MSP,MCI,393,N
March,30,Wednesday,1634,Afternoon,CO,TUL,IAH,429,N
November,13,Sunday,840,Morning,WN,ALB,BWI,288,N
October,24,Monday,1412,Afternoon,WN,HOU,DEN,883,N
November,19,Friday,1250,Afternoon,AA,STL,MCO,880,N
March,1,Monday,637,Morning,OO,RDD,SFO,199,N
April,18,Sunday,1200,Afternoon,AA,BOS,LAX,2611,N
April,8,Thursday,1038,Morning,XE,IAH,GSO,986,N
January,6,Wednesday,1452,Afternoon,XE,EWR,MSN,799,Y
September,17,Friday,828,Morning,OO,SFO,MFR,329,N
July,28,Thursday,2106,Evening,DL,SLC,OAK,588,N
October,4,Tuesday,914,Morning,CO,MSY,IAH,305,Y
November,10,Wednesday,1639,Afternoon,OO,BOI,SLC,291,N
May,24,Monday,2110,Evening,EV,ATL,AEX,500,N
December,11,Sunday,1055,Morning,US,SAV,CLT,213,N
December,11,Sunday,729,Morning,WN,ORF,MDW,704,N
December,30,Friday,901,Morning,US,PHL,BOS,280,Y
May,29,Sunday,2130,Evening,OO,SLC,IDA,188,N
May,9,Sunday,1303,Afternoon,US,PNS,CLT,488,Y
February,28,Monday,1810,Evening,FL,BOS,BWI,370,Y
January,16,Sunday,1052,Morning,AA,DFW,XNA,281,N
June,10,Thursday,1305,Afternoon,MQ,DAY,DFW,861,N
December,7,Tuesday,1008,Morning,OO,SLC,TUL,926,N
February,14,Sunday,1500,Afternoon,WN,HOU,DAL,239,N
December,3,Sunday,1035,Morning,AA,DFW,MIA,1121,N
May,14,Friday,1711,Afternoon,TZ,MDW,LGA,725,N
December,22,Thursday,645,Morning,WN,LAX,MDW,1750,Y
November,24,Thursday,755,Morning,US,PHL,LAS,2176,N
November,23,Tuesday,1057,Morning,XE,GSP,EWR,594,N
January,4,Monday,719,Morning,EV,SBN,ATL,566,Y
June,19,Sunday,1630,Afternoon,WN,LAS,MDW,1521,N
February,27,Sunday,1100,Morning,WN,PHX,CLE,1737,N
September,7,Wednesday,58,Night,CO,ANC,SEA,1449,N
January,22,Sunday,1404,Afternoon,OO,LAX,BFL,109,N
March,16,Tuesday,1002,Morning,DL,SLC,BWI,1864,N
