Category,Description,Ash,Beta Carotene,Carbohydrate,Cholesterol,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat: Monosaturated Fat,Fat: Polysaturated Fat,Fat: Saturated Fat,Fat: Total Lipid,Major Minerals: Calcium,Major Minerals: Copper,Major Minerals: Iron,Major Minerals: Magnesium,Major Minerals: Phosphorus,Major Minerals: Potassium,Major Minerals: Sodium,Major Minerals: Zinc,Vitamins: Vitamin A - IU,Vitamins: Vitamin A - RAE,Vitamins: Vitamin B12,Vitamins: Vitamin B6,Vitamins: Vitamin C,Vitamins: Vitamin E,Vitamins: Vitamin K
Soup,"Soup,Pepperpot,Cnd,Cond",2.75,0,7.66,8,0.400000006,84,0,0,0.5,1,5.19,0,0.039,0,0,0.043,80.62,1.64,0.29,1.68,3.78,19,0.1,0.73,4,34,124,792,1,706,35,0.14,0.05,1.1,0.07,0
Soup,"Soup,Crm Of Potato,Cnd,Cond",2.21,4,9.14,5,0.400000006,59,5,0,0.3,0.43,1.39,19,0.029,1.9,1.690000057,0.028,85.39,0.44,0.33,0.97,1.88,16,0.2,0.38,1,37,109,637,0.5,68,19,0.04,0.03,0,0.07,1.1
Campbell'S Red & White,"Campbell'S Red & White,Chick Alphabet Soup,Cond",2.5,0,8.73,8,0.800000012,56,0,0,0,0,3.17,0,0,0,1.590000033,0,84.4,0,0,0.397,1.19,0,0,0.29,0,0,0,524,0,595,0,0,0,0,0,0
Soup,"Soup,Scotch Broth,Cnd,Cond",2.3,0,7.73,4,1,66,0,0,0.3,0.95,4.05,0,0.037,2.2,0,0.015,83.78,0.63,0.45,0.91,2.14,12,0.2,0.68,3,45,130,716,1.3,1779,89,0.22,0.06,0.7,0.06,0
Soup,"Soup,Crm Of Shrimp,Cnd,Cond",2.26,0,6.53,13,0.200000003,72,0,0,0.3,0.34,2.22,30,0.022,4.5,0,0.015,84.85,1.19,0.15,2.58,4.14,14,0.1,0.42,7,26,47,685,0.6,126,32,0.47,0.03,0,0,0
Campbell Soup Company,"Campbell Soup Company,Campbell'S Red&White,Chick Broth,Cond",0.62,0,0.81,4,0,16,0,0,0,0,0.81,0,0,0,0.810000002,0,95.9,0,0,0,0.81,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0
Campbell Soup,"Campbell Soup,Campbell'S Red & White,Chick Gumbo Soup,Cond",3.28,0,7.94,4,0.800000012,48,0,0,0,0,1.59,0,0,0,1.590000033,0,86.4,0,0,0.397,0.79,16,0,0,0,0,0,690,0,79,0,0,0,0,0,0
Soup,"Soup,Stockpot,Cnd,Cond",2.34,0,8.95,3,0,78,0,0,0.2,0.95,3.79,0,0.04,0,0,0.034,81.89,0.79,1.37,0.67,3.04,17,0.1,0.68,3,42,185,816,0.9,3100,155,0,0.07,1.6,0,0
Soup,"Soup,Tomato Bf W/ Noodle,Cnd,Cond",2.08,0,16.87,3,1.200000048,112,0,0,0.2,1.49,3.55,0,0.071,4,0,0.067,74.08,1.38,0.54,1.27,3.42,14,0.1,0.89,6,45,176,731,0.6,425,21,0.15,0.07,0,0.62,0
Campbell'S Red & White,"Campbell'S Red & White,Chick Noodle Soup,Cond",1.98,0,6.35,12,0.800000012,48,0,0,0,0,2.38,0,0,0,0.790000021,0,87.7,0,0,0.397,1.59,0,0,1.59,0,0,0,706,0,3,0,0,0,0,0,0
Soup,"Soup,Tomato Rice,Cnd,Cond",2.03,248,17.08,1,1.299999952,93,3,17183,0.3,0.822,1.64,2,0.039,1.8,5.900000095,0.048,77.13,0.47,1.05,0.4,2.12,18,0.1,0.62,4,26,257,635,0.4,421,23,0,0.06,11.5,1.73,3
Soup,"Soup,Turkey,Chunky,Cnd,Rts",1.47,0,5.96,4,0,57,0,0,0.1,1.52,4.33,0,0.045,0,0,0.015,86.37,0.75,0.46,0.52,1.87,21,0.1,0.81,10,44,153,391,0.9,3032,152,0.9,0.13,2.7,0,0
Soup,"Soup,Turkey Noodle,Cnd,Cond",2.06,97,6.88,4,0.600000024,55,44,0,0.2,1.112,3.11,3,0.051,8.9,0.409999996,0.059,86.37,0.64,0.39,0.44,1.59,9,0.1,0.75,4,38,60,650,0.46,197,13,0.13,0.03,0.1,0.14,4.4
Soup,"Soup,Turkey Veg,Cnd,Cond",1.95,961,7.05,1,0.5,60,50,301,0.2,0.82,2.52,8,0.032,4.3,1.090000033,0.024,86.01,1.08,0.55,0.73,2.47,14,0.1,0.62,3,33,143,739,0.5,1987,106,0.14,0.04,0,0.34,4.3
Soup,"Soup,Chunky Veg,Cnd,Rts",1.5,1198,7.92,0,0.5,51,124,2953,0.2,0.5,1.46,0,0.027,2.9,1.830000043,0.03,87.58,0.66,0.58,0.23,1.54,23,0.1,0.68,3,30,165,359,1.3,2449,122,0,0.08,2.5,0.53,8.1
Soup,"Soup,Vegetarian Veg,Cnd,Cond",2.02,1500,9.78,0,0.5,59,160,1930,0.375,0.747,1.72,0,0.037,3.5,3.130000114,0.044,84.91,0.68,0.59,0.24,1.58,17,0.1,0.88,6,28,171,672,0.38,2842,142,0,0.045,1.2,1.17,4.2
Soup,"Soup,Pea,Grn,Cnd,Cond,Prep W/ Eq Volume H2O",1.28,1,9.88,0,1.899999976,62,0,0,0.245,0.462,3.2,3,0.025,3.6,3.190000057,0.04,84.55,0.372,0.142,0.524,1.09,12,0.146,0.73,15,47,71,344,0.64,12,3,0,0.02,0.6,0.09,0.2
Soup,"Soup,Chunky Bf,Cnd,Rts",1.49,536,10.08,6,0.600000024,66,36,1325,0.1,1.127,3.97,0,0.063,2.5,0.670000017,0.024,83.34,0.465,0.047,0.554,1.11,13,0.1,0.97,2,50,140,359,1.1,1088,54,0.26,0.055,2.9,0.28,3.1
Soup,"Soup,Veg Bf,Cnd,Cond",2.25,1618,8.11,4,1.600000024,63,92,364,0.25,0.823,4.45,0,0.039,2.2,0.889999986,0.029,83.69,0.64,0.09,0.68,1.51,13,0.145,0.89,5,32,138,631,1.23,3104,155,0.25,0.06,1.9,0.48,5.6
Soup,"Soup,Veg W/ Bf Broth,Cnd,Cond",2.06,831,10.7,1,1.299999952,66,35,29,0.275,0.789,2.42,0,0.037,2.2,1.639999986,0.042,83.27,0.45,0.64,0.36,1.56,14,0.125,0.79,5,32,157,661,0.65,1707,85,0,0.046,1.9,0.12,2.3
Soup,"Soup,Bf Broth Or Bouillon,Pdr,Dry",48.22,0,23.65,10,0,238,0,0,0.459,4.467,15.97,0,0.243,27.6,16.70999908,0.07,3.27,3.616,0.332,4.32,8.89,60,0,1,51,320,446,16982,0,0,0,1,0.2,0,2.17,3.2
Soup,"Soup,Beef Broth,Cubed,Dry",59.3,0,16.1,4,0,170,0,0,0.386,3.3,17.3,0,0.24,27.6,14.51000023,0.2,3.3,1.67,0.16,1.99,4,60,0,2.23,50,225,403,24000,0.21,1,0,1,0.2,0,0,0
Soup,"Soup,Bf Noodle,Dry,Mix",22.06,1026,48.64,13,2.700000048,324,537,893,0.7,5.574,17.93,5,0.494,36,5.099999905,0.988,4.97,2.71,1.33,2.07,6.39,48,0.3,2.68,76,320,656,8408,0.81,1984,103,0.02,0.275,4,0.6,137.2
Soup,"Soup,Chick Broth Or Bouillon,Dry",49.18,0,18.01,13,0,267,0,0,0.15,2.46,16.66,0,0.43,28,17.36000061,0.1,2.27,5.36,4.48,3.43,13.88,187,0,1.03,56,166,309,18586,0.09,2,0,0.3,0.1,1.1,0.46,0
Soup,"Soup,Chick Broth Cubes,Dry",54.7,0,23.5,13,0,198,0,0,0.377,3.9,14.6,0,0.38,27.9,0,0.19,2.5,1.92,1.62,1.2,4.7,190,0,1.87,56,191,374,24000,0.2,2,0,0.3,0.1,1,0.09,0
Campbell'S Red & White,"Campbell'S Red & White,Chick Noodleo'S Soup,Cond",2.32,0,9.52,8,0.800000012,63,0,0,0,0,3.17,0,0,0,1.590000033,0,83,0,0,0.794,1.98,0,0,0.57,0,0,254,492,0,595,0,0,0,0,0,0
Campbell Company,"Campbell Company,Campbell'S Red & White,Chick Veg Soup,Cond",1.72,0,11.9,4,1.600000024,63,0,0,0,0,2.38,0,0,0,2.380000114,0,83.2,0,0,0.397,0.79,16,0,0.29,0,0,0,706,0,1984,0,0,0,0,0,0
Campbell Soup Company,"Campbell Soup Company,Campbell'S Red & White,Bf Broth,Cond",0.69,0,0.81,0,0,12,0,0,0,0,2.42,0,0,0,0.810000002,0,94.9,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0
Soup,"Soup,Onion,Dry,Mix",23.31,9,65.07,0,6.599999905,293,27,0,0.665,1.472,7.48,0,0.274,5,4.650000095,0.279,3.79,0.067,0.164,0.089,0.34,143,0.353,1.25,60,211,721,8031,1.12,15,1,0,0.582,3.4,0.13,1.4
Campbell Soup Company,"Campbell Soup Company,Campbells Red & White,Bf Consomme,Cond",0.65,0,0.81,0,0,16,0,0,0,0,3.23,0,0,0,0.810000002,0,93.5,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0
Soup,"Soup,Tomato Veg,Dry,Mix",19.54,774,59.9,3,3,325,285,893,0.98,4.625,11.73,0,0.266,22.6,3.769999981,0.34,3.73,1.91,0.5,2.32,5.09,46,0.19,3.71,115,173,605,6722,0.98,1557,78,0,0.3,35.3,0.48,25
Soup,"Soup,Crm Of Veg,Dry,Pdr",12.9,5620,52.1,2,3,446,920,2,0.8,2.2,8,0,0.45,20.7,17.51000023,5.18,2.9,10.73,6.29,6.03,24.1,134,0.4,2.6,48,228,408,4957,1.6,11996,600,0.5,0.1,16.6,2.41,32.9
Sauce,"Sauce,Chs,Dry,Pdr",14.12,19,33.66,51,1.100000024,448,0,0,0.01,0.324,22.69,62,0.476,13.6,25.12999916,0.16,4.09,8.44,3.66,12.05,25.44,795,0.02,0.42,44,597,519,4110,2.5,238,64,0.8,0.1,1,0.07,0.6
Campbell'S Red & White,"Campbell'S Red & White,Batman Fun Shapes Soup,Cond",2.4,0,7.94,4,0.800000012,56,0,0,0,0,2.38,0,0,0,0.790000021,0,85.7,0,0,0.397,1.59,0,0,0.29,0,0,0,460,0,397,0,0,0,0,0,0
Sauce,"Sauce,Teriyaki,Rts",10.43,0,15.56,0,0.100000001,89,0,0,0,1.27,5.93,0,0.07,1.1,14.10000038,0.03,67.69,0,0,0,0.02,25,0.1,1.7,61,154,225,3833,0.1,0,0,0,0.1,0,0,0
Gravy,"Gravy,Au Jus,Canned",1.6,0,2.5,0,0,16,0,0,0.2,0.9,1.2,0,0.06,0.4,0,0.02,94.5,0.08,0.01,0.1,0.2,4,0.1,0.6,2,30,81,50,1,0,0,0.1,0.01,1,0,0
Gravy,"Gravy,Au Jus,Dry",30.94,0,47.49,4,0,313,0,0,0.268,4.087,9.2,0,0.324,6.2,0,0.472,2.74,4.683,0.23,2.026,9.63,140,0.12,9.3,56,153,279,11588,0.7,10,0,0.32,0.174,1,0,0
Gravy,"Gravy,Bf,Cnd,Rts",1.6,0,4.81,3,0.400000006,53,1,0,0.2,0.66,3.75,1,0.036,1,0.209999993,0.032,87.48,0.962,0.08,1.153,2.36,6,0.1,0.7,2,30,81,560,1,3,1,0.1,0.01,0,0.02,0.1
Campbell Soup,"Campbell Soup,Campbell'S Red & White,Bean W/ Bacon Soup,Cond",0.89,0,19.53,4,6.300000191,133,0,0,0,0,6.25,0,0,0,3.130000114,0,70.2,0.781,0.391,1.172,3.13,78,0,0,0,0,0,672,0,391,0,0,0,2.8,0,0
Gravy,"Gravy,Brown,Dry",15.27,0,59.38,3,2,367,0,0,0.412,3.7,10.74,8,0.39,6.1,0,0.18,5,4.452,0.405,3.319,9.61,132,0.19,1.72,34,203,262,4843,1.11,27,8,0.7,0.1,0.3,0,0
Gravy,"Gravy,Chick,Cnd,Rts",1.6,0,5.42,2,0.400000006,79,1,0,0.2,0.443,1.93,1,0.043,0.8,0.779999971,0.017,85.34,2.55,1.5,1.41,5.71,20,0.1,0.47,2,29,109,577,0.8,3,1,0.1,0.01,0,0.13,0.2
Gravy,"Gravy,Chicken,Dry",13.06,0,62.09,19,0,381,0,0,0.219,4.018,11.27,27,0.634,5.2,0,0.249,3.85,4.648,1.877,2.92,9.73,146,0.112,1.33,40,249,404,4152,1.39,308,38,0.48,0.202,0.6,0,0
Gravy,"Gravy,Mushroom,Canned",1.56,0,5.47,0,0.400000006,50,0,0,0.3,0.671,1.26,0,0.063,1.9,0,0.033,89,1.17,1.02,0.4,2.71,7,0.1,0.66,2,15,106,570,0.7,0,0,0,0.02,0,0,0
Gravy,"Gravy,Mushroom,Dry,Pdr",18,1,64.66,3,4.800000191,328,9,0,0.4,3.7,10,0,0.4,5.3,3.25999999,0.2,3.34,1.31,0.14,2.36,4,230,0.535,1,34,203,262,6580,1.54,1,0,0.7,0.1,7,0.15,0.2
Gravy,"Gravy,Onion,Dry,Mix",16,0,67.64,2,6,322,0,0,0.4,3.7,9,0,0.4,6.1,0,0.2,4.36,0.9,0.14,1.86,3,280,0.17,1,34,203,262,4186,0.88,0,0,0.7,0.1,7,0,0
Gravy,"Gravy,Pork,Dry,Pdr",14.59,2,63.57,10,2.400000095,367,10,0,0.311,2.27,8.78,34,0.283,6.1,24.72999954,0.16,4.43,3.881,0.454,4.29,8.63,139,0.154,3.94,34,188,235,5356,1.06,117,34,0.51,0.086,1.4,0.26,0.4
Gravy,"Gravy,Turkey,Cnd,Rts",1.6,0,5.1,2,0.400000006,51,1,0,0.2,1.3,2.6,0,0.08,0.6,0.209999993,0.02,88.6,0.9,0.49,0.62,2.1,4,0.1,0.7,2,29,109,577,0.8,0,0,0.1,0.01,0,0.05,0
Gravy,"Gravy,Turkey,Dry",12.61,0,65.12,14,0,367,0,0,0.219,2.77,10.42,7,0.45,5.2,0,0.211,4.67,2.575,2.196,1.975,7.19,146,0.133,3.29,44,254,428,4392,1.26,35,8,0.58,0.204,0.2,0,0
Gravy,"Gravy,Unspec Type,Dry",17,0,58,4,0,344,0,0,0.4,3.7,13,0,0.432,6.1,0,0.2,4,3.15,1.62,2.86,8,150,0.1,1,45,203,262,5730,1.4,0,0,0.7,0.1,7,0,0
Soup,"Soup,Chick Noodle,Dry,Mix",10.8,9,62.32,74,3.200000048,377,43,0,0.468,4.88,15.42,8,0.381,32.4,1.899999976,0.575,4.94,2.263,1.39,1.947,6.51,55,0.286,2.44,38,195,306,3643,1.65,44,8,0.75,0.236,0,0.33,0.1
Sauce,"Sauce,Mole Poblano,Dry Mix,Single Brand",5.12,9,41.7,0,10.10000038,571,0,0,1.137,2.544,7.48,0,0.573,0,0,0.136,4.12,0,0,0,41.58,302,0.684,5.71,127,254,602,1164,2.5,15,1,0,0.752,0,0,0
Sauce,"Sauce,Sofrito,Prep From Recipe",3.88,0,5.46,0,1.700000048,237,0,0,0.191,2.918,12.8,0,0.212,0,0,0.284,59.66,0,0,0,18.2,20,0.165,0.94,25,139,401,1145,1.41,0,0,0,0.364,20.4,0,0
Usda Commodity,"Usda Commodity,Spaghetti Sau,Meatless,Cnd",2.1,0,8.7,0,0,48,0,0,0,0.73,1.2,0,0.12,0,4.699999809,0.03,87.1,0.21,0.51,0.162,0.9,20,0,0.9,13,25,292,590,0.21,335,17,0,0.06,3.9,0,0
Campbell Company,"Campbell Company,Campbell'S Red & White,Bf Noodle Soup,Cond",3.69,0,6.35,8,0.800000012,56,0,0,0,0,3.17,0,0,0,0.790000021,0,85.2,0,0,0.397,1.59,0,0,0.57,0,0,0,651,0,0,0,0,0,0,0,0
Campbell,"Campbell,Campbell'S Red & White,Bf W/ Veg & Barley Soup,Cond",2.34,0,11.9,8,2.400000095,71,0,0,0,0,3.97,0,0,0,1.590000033,0,80.6,0.397,0,0.794,1.19,0,0,0.57,0,0,0,706,0,992,0,0,0,0,0,0
Soup,"Soup,Bf Mushroom,Cnd,Cond",2.3,0,5.2,5,0.200000003,61,0,0,0.3,0.9,4.6,0,0.06,0,0,0.02,85.5,1,0.1,1.2,2.4,4,0.2,0.7,7,29,126,709,1.1,0,0,0.16,0.04,0,0,0
Soup,"Soup,Chick Mushroom,Cnd,Cond",1.2,3,7.6,8,0.200000003,109,1,0,0.1,1.3,3.5,8,0.09,2.9,1.309999943,0.02,80.4,3.21,1.85,1.92,7.3,23,0.04,0.7,7,22,126,661,0.8,33,9,0.05,0.04,0,0.64,1.1
Sauce,"Sauce,Barbecue",3.11,139,36.25,0,0.600000024,150,0,4431,0.225,0.487,0,0,0.032,1.3,26.05999947,0.01,60.34,0.074,0.17,0,0.29,12,0.079,0.21,12,17,208,1119,0.13,235,12,0,0.041,0.7,0.66,1.8
Sauce,"Sauce,Plum,Ready-To-Serve",1.56,26,42.81,0,0.699999988,184,0,0,0.114,1.014,0.89,0,0.084,0.4,0,0.018,53.71,0.24,0.588,0.153,1.04,12,0.078,1.43,12,22,259,538,0.19,43,2,0,0.078,0.5,0,0
Sauce,"Sauce,Pizza,Cnd,Rts",1.3,0,8.67,3,2,54,0,0,0.221,1.421,2.18,0,0.053,0,1.75,0.061,86.71,0.461,0.099,0.46,1.15,54,0.137,0.9,21,50,354,185,0.25,667,0,0.02,0.136,11.3,0,0
Soup,"Soup,Tomato Bisque,Cnd,Cond",2.49,0,18.47,4,0.800000012,96,0,0,0.2,0.894,1.76,4,0.055,0,0,0.051,75.32,0.53,0.87,0.42,1.95,31,0.1,0.64,7,47,325,685,0.46,562,32,0,0.07,4.6,0,0
Soup,"Soup,Tomato,Cnd,Cond",1.91,235,13.41,0,1.200000048,60,90,10920,0.119,1.032,1.61,0,0.063,5.1,8.109999657,0.039,82.5,0.179,0.189,0.155,0.56,13,0.159,1.11,14,29,229,551,0.25,392,20,0,0.086,12.9,0.34,3.2
Sauce,"Sauce,Salsa,Rts",2.17,175,6.26,0,1.600000024,27,0,10515,0.121,0.075,1.54,0,0.032,0.9,3.059999943,0.022,89.88,0.025,0.115,0.03,0.16,27,0.132,0.46,15,31,297,600,0.37,292,15,0,0.175,1.9,1.18,4.5
Sauce,"Sauce,Homemade,White,Thin",1.45,12,7.4,8,0.100000001,105,1,0,0.024,0.261,3.77,56,0.184,3.3,4.769999981,0.055,80.66,2.67,1.586,2.152,6.73,126,0.013,0.21,15,101,163,328,0.42,208,57,0.3,0.041,0.8,0.16,0.5
Sauce,"Sauce,Homemade,White,Med",1.47,20,9.17,7,0.200000003,147,1,0,0.043,0.402,3.84,88,0.185,4.1,4.360000134,0.069,74.89,4.42,2.862,2.854,10.63,118,0.016,0.33,14,98,156,354,0.41,327,90,0.28,0.04,0.8,0.28,0.9
Sauce,"Sauce,Homemade,White,Thick",1.47,26,11.61,6,0.300000012,186,2,0,0.067,0.589,3.99,114,0.19,5.2,3.960000038,0.088,69.1,5.851,3.914,3.416,13.83,111,0.021,0.5,14,96,149,373,0.4,424,117,0.26,0.038,0.7,0.37,1.2
Sauce,"Sauce,Rts,Pepper Or Hot",7.39,91,1.75,0,0.300000012,11,121,0,0.049,0.254,0.51,0,0.082,0,1.25999999,0.036,89.98,0.03,0.196,0.052,0.37,8,0.028,0.48,5,11,144,2643,0.11,162,8,0,0.157,74.8,0.12,2.4
Sauce,"Sauce,Rts,Pepper,Tabasco",1.98,919,0.8,0,0.600000024,12,10,0,0.107,0.178,1.29,0,0.084,0.5,0.129999995,0.032,95.17,0.061,0.401,0.106,0.76,12,0.075,1.16,12,23,128,633,0.16,1640,82,0,0.154,4.5,0.01,0.2
Soup,"Soup,Stock,Beef,Home-Prepared",0.7,0,1.2,0,0,13,1,0,0,0.872,1.97,0,0.091,1.2,0.540000021,0.033,95.89,0.043,0.005,0.035,0.09,8,0.05,0.27,7,31,185,198,0.17,0,0,0,0.055,0,0.01,0.1
Soup,"Soup,Stock,Chick,Home-Prepared",0.63,0,3.53,3,0,36,1,0,0,1.584,2.52,1,0.085,2.2,1.580000043,0.035,92.15,0.582,0.213,0.321,1.2,3,0.054,0.21,4,27,105,143,0.14,3,1,0,0.061,0.2,0.03,0.2
Soup,"Soup,Stock,Fish,Home-Prepared",0.74,0,0,1,0,17,0,0,0.052,1.186,2.26,2,0.076,1,0,0.033,96.96,0.236,0.138,0.203,0.81,3,0.058,0.01,7,56,144,156,0.06,6,2,0.69,0.037,0.1,0.17,0
Sauce,"Sauce,Hoisin,Rts",4.98,4,44.08,3,2.799999952,220,45,0,0.254,1.17,3.31,0,0.217,1.8,27.26000023,0.004,44.23,0.963,1.698,0.568,3.39,32,0.128,1.01,24,38,119,1615,0.32,6,0,0,0.062,0.4,0.28,0.5
Sauce,"Sauce,Oyster,Rts",7.49,0,10.92,0,0.300000012,51,0,0,0.053,1.474,1.35,0,0.124,4.4,0,0.01,80,0.073,0.066,0.043,0.25,32,0.147,0.18,4,22,54,2733,0.09,0,0,0.41,0.016,0.1,0,0
Soup,"Soup,Minestrone,Cnd,Red Na,Rts",1.26,349,9,0,2.400000095,50,90,6359,0,0.64,2,0,0.04,2.1,2.130000114,0.06,87.3,0.28,0.25,0.14,0.8,20,0.083,0.72,13,34,186,215,0.32,665,33,0,0.06,5.7,0.7,5.8
Usda Commodity,"Usda Commodity,Salsa",1.6,0,7,0,1.399999976,36,0,0,0,1.08,1.5,0,0.03,0.4,0,0.05,89.7,0.016,0.107,0.029,0.2,12,0.096,2.24,16,30,270,430,0.17,550,28,0,0.149,4,0,0
Sauce,"Sauce,Fish,Ready-To-Serve",20.22,0,3.64,0,0,35,0,0,0.233,2.313,5.06,4,0.057,9.1,3.640000105,0.012,71.07,0.002,0.003,0.003,0.01,43,0.05,0.78,175,7,288,7720,0.2,12,4,0.48,0.396,0.5,0,0
Soup,"Soup,Shark Fin,Rest-Prep",0.87,0,3.8,2,0,46,0,0,0.024,0.493,3.2,0,0.039,0,0,0.027,90.13,0.583,0.341,0.501,2,10,0.108,0.94,7,21,53,501,0.82,0,0,0.19,0.026,0.1,0,0
Soup,"Soup,Crm Of Mushroom,Cnd,Cond,Red Na",1.69,0,8.1,3,0.600000024,52,0,0,0.059,0.17,1.21,2,0.192,1.8,2.130000114,0.042,87.26,0.44,0.56,0.53,1.69,13,0.22,0.48,5,51,374,383,0.36,8,2,0.02,0.04,0,0.16,0.4
Soup,"Soup,Chick Broth,Cnd,Less/Reduced Na",0.89,0,0.38,0,0,7,0,0,0.062,0.686,1.36,0,0.014,0,0.219999999,0.002,97.32,0,0,0,0,8,0.035,0.26,1,18,85,231,0.08,0,0,0.06,0.006,0.4,0.01,0
Sauce,"Sauce,Teriyaki,Rts,Red Na",8.4,0,15.58,0,0.100000001,89,0,0,0,1.27,5.93,0,0.07,0.8,14.10000038,0.03,69.7,0,0,0,0.02,25,0.1,1.7,61,154,225,1778,0.1,1,0,0,0.1,0,0,0
Soup,"Soup,Bean&Ham,Cnd,Red Na,Prep W/H2O Or Rts",1.21,349,13.66,2,4,74,36,915,0.228,0.324,4.19,0,0.029,4.3,3.170000076,0.056,79.91,0.415,0.269,0.252,1.03,38,0.082,1.02,19,13,158,187,0.53,702,35,0.03,0.046,1.1,0.39,5.1
Split Pea Soup,"Split Pea Soup,Cnd,Red Na,Prep W/ H2O Or Ready-To Serve",1,313,11.83,2,1.899999976,71,1286,7,0.2,0.457,3.85,0,0.029,0.3,5.059999943,0.07,82.4,0.37,0.168,0.3,0.92,17,0.11,0.77,14,54,183,166,0.4,552,28,0.01,0.073,0,0.2,36.1
Split Pea W/ Ham Soup,"Split Pea W/ Ham Soup,Cnd,Red Na,Prep W/ H2O Or Rts",1,201,11.4,3,1.899999976,68,18,0,0.198,0.695,4,0,0.038,0.3,1.570000052,0.083,82.8,0.282,0.135,0.294,0.7,16,0.1,0.7,14,54,204,196,0.49,415,21,0.03,0.048,1,0.06,2.6
Soup,"Soup,Chick Broth,Cnd,Rts",0.7,0,0.4,0,0.400000006,7,0,0,0.046,0.505,1,0,0.01,0,0,0.001,97.8,0.045,0.021,0.029,0.1,6,0.027,0.2,1,13,80,158,0.07,0,0,0.04,0.005,7,0,0
Campbell Soup Company,"Campbell Soup Company,Healthy Request,Crm Of Chick Soup,Cond",1.09,0,9.68,4,0.800000012,65,0,0,0,0,1.61,0,0,0,1.610000014,0,85.6,0.403,0.403,0.806,2.02,0,0,0,0,0,306,371,0,403,0,0,0,0,0,0
Soup,"Soup,Crm Of Asparagus,Cnd,Prep W/ Eq Volume Milk",1.55,0,6.61,9,0.300000012,65,0,0,0.153,0.355,2.55,16,0.111,0,0,0.041,86,0.84,0.9,1.34,3.3,70,0.056,0.35,8,62,145,420,0.37,242,25,0.2,0.026,1.6,0,0
Soup,"Soup,Chick Veg W/Potato&Chs,Chunky,Rts",1.31,186,5.2,7,0.300000012,65,33,54,0,0.346,1.16,0,0.017,3.7,0.639999986,0.015,87.9,1.605,0.974,1.636,4.46,15,0.04,0.16,5,19,73,416,0.16,375,19,0.02,0.042,4,0.06,2.3
Campbell'S Red&White,"Campbell'S Red&White,98% Fat Free Crm Of Broccoli Soup,Cond",2.11,0,8.06,4,1.600000024,56,0,0,0,0,1.61,0,0,0,0.810000002,0,86.6,0,0,0.403,1.61,16,0,0,0,0,0,565,0,81,0,0,0,0,0,0
Soup,"Soup,Crm Of Celery,Cnd,Prep W/ Eq Volume Milk",1.49,0,5.86,13,0.300000012,66,0,0,0.102,0.176,2.29,44,0.1,1.9,0,0.03,86.46,0.99,1.07,1.59,3.91,75,0.062,0.28,9,61,125,407,0.08,186,46,0.2,0.026,0.6,0,0
Soup,"Soup,Chs,Cnd,Prep W/ Eq Volume Milk",1.52,0,6.47,19,0.400000006,92,0,0,0.103,0.2,3.77,142,0.133,2.8,0,0.025,82.44,1.63,0.18,3.63,5.8,115,0.056,0.32,8,100,136,406,0.27,495,143,0.17,0.031,0.5,0,0
Campbell Soup Company,"Campbell Soup Company,Red&White,25% Less Na Chic Noodl,Cond",1.88,0,6.35,12,0.800000012,48,0,0,0,0,2.38,0,0,0,0.790000021,0,87.8,0,0,0.397,1.59,0,0,0.29,0,0,0,524,0,159,0,0,0,0,0,0
Campbell Soup Company,"Campbell Soup Company,Red&White,25% Less Na Tomato Soup,Cond",1.66,0,16.13,0,0.800000012,73,0,0,0,0,1.61,0,0,0,9.680000305,0,80.6,0,0,0,0,0,0,0.29,0,0,0,427,0,403,0,0,0,4.8,0,0
Campbell Soup Company,"Campbell Soup Company,Red&White,25% Less Na Crm Of Mshr,Cond",1.3,0,7.26,4,1.600000024,89,0,0,0,0,0.81,0,0,0,0.810000002,0,84.2,0,0,0.403,6.45,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0
Campbell Soup Company,"Campbell Soup Company,Red&White,98% Fat Fr Brccli Chs,Cond",0.63,0,9.52,4,0.800000012,56,0,0,0,0,2.38,0,0,0,1.590000033,0,86.6,0,0,0.794,1.19,32,0,0,0,0,0,627,0,992,0,0,0,0,0,0
Soup,"Soup,Crm Of Chick,Cnd,Prep W/ Eq Volume Milk",1.51,0,6.04,11,0.100000001,77,0,0,0.153,0.372,3.01,69,0.104,0,0,0.03,84.83,1.8,0.66,1.87,4.62,73,0.056,0.27,7,61,110,422,0.27,288,72,0.22,0.027,0.5,0,0
Soup,"Soup,Veg,Cnd,Lo Na,Cond",2,875,12.11,0,2.099999905,65,45,13848,0.25,1.54,2.2,0,0.092,4,4.309999943,0.109,82.79,0.203,0.403,0.147,0.9,20,0.232,0.66,25,45,433,385,0.4,1721,86,0,0.167,0.8,1.43,4.2
Campbell'S Red & White,"Campbell'S Red & White,98% Fat Free Crm Of Celery Soup,Cond",4.42,0,6.45,4,0.800000012,48,0,0,0,0,0.81,0,0,0,0.810000002,0,85.9,0,0,0.806,2.42,0,0,0,0,0,250,468,0,0,0,0,0,0,0,0
