Sex,Age,Address,Family size,Parental status,Mother's education,Father's education,Mother's job,Father's job,Travel time,Study time,Failures,School support,Family support,Paid,Activities,Internet,Romantic,Family relationships,Free time,Daily alcohol,Weekly alcohol,Health,Absences,First semester grade,Second semester grade,Third semester grade
F,17,U,GT3,A,2,1,other,other,2,3,0,no,no,no,yes,yes,yes,3,2,1,2,3,10,12,10,12
F,17,U,LE3,T,4,3,health,other,1,2,0,no,no,no,yes,yes,yes,3,2,1,2,3,14,13,13,14
M,17,R,GT3,T,2,2,other,other,2,2,0,no,yes,yes,yes,yes,no,4,5,1,1,1,4,11,11,11
M,17,U,GT3,T,4,4,teacher,teacher,1,2,0,yes,yes,no,yes,yes,yes,4,5,1,3,2,14,11,9,9
M,16,U,GT3,T,4,4,health,other,1,2,0,no,yes,yes,yes,yes,no,4,2,2,4,1,2,14,13,13
M,16,U,LE3,T,1,1,other,other,2,2,0,no,yes,yes,no,yes,no,3,4,1,1,5,18,9,7,6
M,16,U,GT3,T,3,2,at_home,other,2,3,0,no,no,no,yes,yes,yes,5,3,1,3,2,10,11,9,10
M,17,U,LE3,T,2,2,other,other,1,2,0,no,no,yes,yes,yes,yes,4,4,5,5,4,4,14,13,13
F,16,U,GT3,T,2,1,other,other,1,1,0,no,no,no,no,yes,yes,4,5,1,1,5,20,13,12,12
F,17,R,GT3,T,2,1,at_home,services,3,2,0,no,no,no,yes,no,no,2,1,1,1,3,2,13,11,11
M,18,U,GT3,T,2,2,other,services,1,2,1,no,no,no,no,yes,no,5,5,3,5,2,0,7,7,0
M,17,U,LE3,T,4,3,health,other,2,2,0,no,no,no,yes,yes,yes,2,5,1,4,5,14,12,12,12
M,17,R,LE3,A,4,4,teacher,other,2,2,0,no,yes,yes,no,yes,no,3,3,2,3,4,2,10,11,12
M,16,U,LE3,T,4,3,teacher,other,1,1,0,no,no,no,yes,yes,no,5,4,1,1,3,0,6,0,0
M,16,U,GT3,T,4,4,services,services,1,1,0,no,no,no,yes,yes,no,5,3,1,2,5,0,13,12,12
F,18,U,GT3,T,2,1,other,other,2,3,0,no,yes,yes,no,yes,yes,4,4,1,1,3,0,7,0,0
M,16,U,GT3,T,2,1,other,other,3,1,0,no,no,no,no,yes,no,4,3,1,1,4,6,18,18,18
M,17,U,GT3,T,2,3,other,other,2,1,0,no,no,no,no,yes,no,5,2,1,1,2,4,12,12,13
M,22,U,GT3,T,3,1,services,services,1,1,3,no,no,no,no,yes,yes,5,4,5,5,1,16,6,8,8
M,18,R,LE3,T,3,3,other,services,1,2,1,no,yes,no,no,yes,yes,4,3,1,3,5,8,3,5,5
M,16,U,GT3,T,0,2,other,other,1,1,0,no,no,yes,no,yes,no,4,3,2,4,5,0,13,15,15
M,18,U,GT3,T,3,2,services,other,2,1,1,no,no,no,no,yes,no,4,4,2,4,5,0,6,8,8
M,16,U,GT3,T,3,3,at_home,other,3,2,0,yes,yes,no,no,yes,no,5,3,1,3,2,6,7,10,10
M,18,U,GT3,T,2,1,services,services,1,1,1,no,no,no,no,yes,no,3,2,2,5,5,4,6,9,8
M,16,R,GT3,T,2,1,other,other,2,1,0,no,no,no,yes,no,no,3,3,1,3,3,0,8,9,8
M,17,R,GT3,T,2,1,other,other,1,1,0,no,no,no,no,yes,no,4,4,2,4,5,0,8,12,12
M,17,U,LE3,T,1,1,health,other,2,1,1,no,yes,no,yes,yes,no,4,4,1,2,5,2,7,9,8
F,17,U,LE3,T,4,2,teacher,services,1,4,0,no,yes,yes,yes,yes,no,4,2,1,1,4,6,14,12,13
M,19,U,LE3,A,4,3,services,at_home,1,2,0,no,yes,no,no,yes,no,4,3,1,1,1,12,11,11,11
M,18,U,GT3,T,2,1,other,other,1,2,0,no,no,no,yes,yes,no,5,2,1,2,4,8,15,14,14
F,17,U,LE3,T,2,2,services,services,1,4,0,no,no,yes,yes,yes,yes,3,4,1,1,2,0,10,9,0
F,18,U,GT3,T,4,3,services,other,1,2,0,no,yes,yes,no,yes,yes,3,1,1,3,2,21,17,18,18
M,18,U,GT3,T,4,3,teacher,other,1,2,0,no,yes,yes,no,yes,no,4,3,1,1,3,2,8,8,8
M,18,R,GT3,T,3,2,other,other,1,3,0,no,no,no,yes,no,no,5,3,1,1,3,1,13,12,12
F,17,U,GT3,T,3,3,other,other,1,3,0,no,no,no,yes,no,no,3,2,1,1,4,4,10,9,9
F,18,U,GT3,T,2,2,at_home,services,1,3,0,no,yes,yes,yes,yes,yes,4,3,1,1,3,0,9,10,0
M,18,R,LE3,A,3,4,other,other,2,2,0,no,yes,yes,yes,yes,no,4,2,3,4,1,13,17,17,17
M,17,U,GT3,T,3,1,services,other,1,2,0,no,no,yes,yes,yes,yes,5,4,3,4,5,2,9,9,10
F,18,R,GT3,T,4,4,teacher,other,2,2,0,no,no,yes,yes,yes,no,4,3,2,2,4,8,12,10,11
M,18,U,GT3,T,4,2,health,other,1,2,0,no,yes,yes,yes,yes,yes,5,4,1,3,5,10,10,9,10
F,18,R,GT3,T,2,1,other,other,2,2,0,no,yes,no,no,yes,yes,4,3,1,2,3,0,6,0,0
F,19,U,GT3,T,3,3,other,services,1,2,2,no,yes,yes,yes,yes,no,4,3,3,3,5,15,9,9,9
F,18,U,GT3,T,2,3,other,services,1,4,0,no,yes,yes,yes,yes,yes,4,5,1,3,2,4,15,14,14
F,18,U,LE3,T,1,1,other,other,2,2,0,no,yes,yes,no,no,no,4,4,1,1,3,2,11,11,11
M,17,R,GT3,T,1,2,at_home,at_home,1,2,0,no,yes,yes,yes,no,yes,3,5,2,2,1,2,15,14,14
F,17,U,GT3,T,2,4,at_home,health,2,2,0,no,yes,yes,no,yes,yes,4,3,1,1,1,2,10,10,10
F,17,U,LE3,T,2,2,services,other,2,2,0,yes,yes,yes,no,yes,yes,4,4,2,3,5,6,12,12,12
F,18,R,GT3,A,3,2,other,services,2,2,0,no,no,no,no,yes,yes,4,1,1,1,5,75,10,9,9
M,18,U,GT3,T,4,4,teacher,services,2,1,0,no,no,yes,yes,yes,no,3,2,1,4,3,22,9,9,9
F,18,U,GT3,T,4,4,health,health,1,2,1,yes,yes,no,yes,yes,yes,2,4,1,1,4,15,9,8,8
M,18,U,LE3,T,4,3,teacher,services,2,1,0,no,no,yes,yes,yes,no,4,2,1,2,1,8,10,11,10
M,17,U,LE3,A,4,1,services,other,2,1,0,no,no,yes,yes,yes,yes,4,5,2,4,5,30,8,8,8
M,17,U,LE3,A,3,2,teacher,services,1,1,1,no,no,no,no,yes,no,4,4,3,4,3,19,11,9,10
F,18,R,LE3,T,1,1,at_home,other,2,4,0,no,yes,yes,yes,no,no,5,2,1,1,3,1,12,12,12
F,18,U,GT3,T,1,1,other,other,2,2,0,yes,no,no,yes,yes,no,5,4,1,1,4,4,8,9,10
F,17,U,GT3,T,2,2,other,other,1,2,0,no,yes,no,no,yes,no,5,4,1,2,5,4,10,9,11
M,17,U,GT3,T,1,1,other,other,1,2,0,no,no,yes,no,yes,no,4,3,1,2,4,2,12,10,11
F,18,U,GT3,T,2,2,at_home,at_home,1,3,0,no,yes,yes,no,yes,no,4,3,1,2,2,5,18,18,19
F,17,U,GT3,T,1,1,services,teacher,1,3,0,no,yes,yes,no,yes,no,4,3,1,1,3,6,13,12,12
M,18,U,GT3,T,2,1,services,services,1,3,0,no,no,yes,yes,yes,no,4,2,1,3,2,6,15,14,14
M,18,U,LE3,A,4,4,teacher,teacher,1,2,0,no,yes,yes,yes,yes,no,5,4,1,1,2,9,15,13,15
M,18,U,GT3,T,4,2,teacher,other,1,2,0,no,yes,yes,yes,yes,yes,4,3,1,4,5,11,12,11,11
F,17,U,GT3,T,4,3,health,services,1,3,0,no,yes,yes,no,yes,no,4,2,1,2,3,0,15,15,15
F,18,U,LE3,T,2,1,services,at_home,1,2,1,no,no,no,no,yes,yes,5,4,1,1,5,12,12,12,13
F,17,R,LE3,T,3,1,services,other,2,4,0,no,yes,yes,no,no,no,3,1,1,1,3,6,18,18,18
M,18,R,LE3,T,3,2,services,other,2,3,0,no,yes,yes,yes,yes,no,5,4,1,1,4,8,14,13,14
M,17,U,GT3,T,3,3,health,other,1,1,0,no,yes,yes,no,yes,no,4,4,1,3,5,4,14,12,11
F,19,U,GT3,T,4,4,health,other,2,2,0,no,yes,yes,yes,yes,no,2,3,2,3,2,0,10,9,0
F,18,U,LE3,T,4,3,other,other,2,2,0,no,yes,yes,no,yes,yes,4,4,1,2,2,10,10,8,8
F,18,U,GT3,T,4,3,other,other,1,4,0,no,yes,yes,no,yes,no,4,3,1,1,3,0,14,13,14
M,18,U,LE3,T,4,4,teacher,teacher,1,1,0,no,yes,yes,no,yes,yes,1,4,2,2,1,5,16,15,16
F,18,U,LE3,A,4,4,health,other,1,2,0,no,yes,no,no,yes,yes,4,2,1,1,4,14,12,10,11
M,17,U,LE3,T,4,4,other,teacher,2,1,0,no,no,yes,no,yes,no,4,1,2,2,5,0,11,11,10
F,17,U,GT3,T,4,2,other,other,2,3,0,no,yes,yes,no,yes,no,4,3,1,1,3,0,15,12,14
F,17,U,GT3,T,3,2,health,health,1,4,0,no,yes,yes,yes,yes,no,5,2,1,2,5,0,17,17,18
M,19,U,GT3,T,3,3,other,other,1,2,1,no,yes,no,yes,yes,yes,4,4,1,1,3,20,15,14,13
F,18,U,GT3,T,2,4,services,at_home,1,2,1,no,yes,yes,yes,yes,no,4,4,1,1,3,8,14,12,12
M,20,U,GT3,A,3,2,services,other,1,1,0,no,no,no,yes,no,no,5,5,1,1,5,0,17,18,18
M,19,U,GT3,T,4,4,teacher,services,2,1,1,no,yes,yes,no,yes,yes,4,3,1,1,4,38,8,9,8
M,19,R,GT3,T,3,3,other,services,1,2,1,no,no,no,yes,no,yes,4,5,1,2,5,0,15,12,12
F,19,U,LE3,T,1,1,at_home,other,1,2,1,yes,yes,no,yes,yes,no,4,4,1,3,3,18,12,10,10
F,19,U,LE3,T,1,2,services,services,1,2,1,no,no,no,yes,no,yes,4,2,2,2,3,0,9,9,0
F,19,U,GT3,T,2,1,at_home,other,3,2,0,no,yes,no,no,yes,yes,3,4,1,1,2,20,14,12,13
M,19,U,GT3,T,1,2,other,services,1,2,1,no,no,no,no,yes,no,4,5,2,2,4,3,13,11,11
F,19,U,LE3,T,3,2,services,other,2,2,1,no,yes,yes,no,yes,yes,4,2,1,2,1,22,13,10,11
F,19,U,GT3,T,1,1,at_home,health,1,3,2,no,no,no,no,yes,yes,4,1,1,1,3,14,15,13,13
F,19,R,GT3,T,2,3,other,other,1,3,1,no,no,no,no,yes,yes,4,1,1,1,3,40,13,11,11
F,18,U,GT3,T,2,1,services,other,2,2,0,no,yes,yes,yes,yes,no,5,3,1,2,1,0,8,8,0
F,18,U,GT3,T,4,3,other,other,1,3,0,no,yes,yes,yes,yes,yes,4,3,1,1,5,9,9,10,9
F,17,R,GT3,T,3,4,at_home,services,1,3,0,no,yes,yes,yes,yes,no,4,3,2,5,5,0,11,11,10
F,18,U,GT3,T,4,4,teacher,other,1,2,0,no,yes,yes,no,yes,no,4,4,3,3,5,2,11,11,11
F,17,U,GT3,A,4,3,services,services,1,2,0,no,yes,yes,no,yes,yes,5,2,1,2,5,23,13,13,13
F,17,U,GT3,T,2,2,other,other,1,2,0,no,yes,no,no,no,yes,4,2,1,1,3,12,11,9,9
F,17,R,LE3,T,2,2,services,services,1,3,0,no,yes,yes,yes,yes,no,3,3,2,2,3,3,11,11,11
F,17,U,GT3,T,3,1,services,services,1,3,0,no,yes,no,no,yes,no,3,4,2,3,5,1,12,14,15
F,17,U,LE3,T,0,2,at_home,at_home,2,3,0,no,no,no,no,yes,no,3,3,2,3,2,0,16,15,15
M,18,U,GT3,T,4,4,other,other,1,3,0,no,no,no,yes,yes,no,4,3,2,2,3,3,9,12,11
M,17,U,GT3,T,3,3,other,services,1,1,0,no,no,no,yes,yes,no,4,3,3,5,5,3,14,15,16
M,17,R,GT3,T,2,2,services,other,4,1,0,no,yes,no,no,yes,no,4,4,5,5,4,8,11,10,10
F,17,U,GT3,T,4,4,teacher,services,1,3,0,no,yes,yes,yes,yes,no,5,4,1,3,4,7,10,9,9
F,17,U,GT3,T,4,4,teacher,teacher,2,3,0,no,yes,yes,no,yes,yes,4,3,1,2,4,4,14,14,14
M,18,U,LE3,T,2,2,other,other,1,4,0,no,yes,no,yes,yes,no,4,5,2,4,5,2,9,8,8
F,17,R,GT3,T,2,4,at_home,other,1,3,0,no,yes,no,no,yes,yes,4,4,1,1,5,7,12,14,14
F,18,U,GT3,T,3,3,services,services,1,2,0,no,no,no,yes,yes,no,5,3,1,1,4,0,7,0,0
F,18,U,LE3,T,2,2,other,other,1,2,0,no,no,no,yes,yes,yes,4,3,1,1,2,0,8,8,0
F,18,R,GT3,T,2,2,at_home,other,2,4,0,no,no,no,yes,no,no,4,4,1,1,4,0,10,9,0
F,17,U,GT3,T,3,4,services,other,1,3,0,no,no,no,no,yes,no,4,4,1,3,5,16,16,15,15
F,19,R,GT3,A,3,1,services,at_home,1,3,1,no,no,yes,no,no,no,5,4,1,2,5,12,14,13,13
F,17,U,GT3,T,3,2,other,other,1,2,0,no,yes,yes,no,yes,yes,4,3,2,3,2,0,7,8,0
F,18,U,LE3,T,3,3,services,services,1,4,0,no,yes,no,no,yes,no,5,3,1,1,1,7,16,15,17
F,17,R,GT3,A,3,2,other,other,1,2,0,no,yes,yes,no,yes,no,4,3,2,3,2,4,9,10,10
F,19,U,GT3,T,2,1,services,services,1,3,1,no,no,yes,yes,yes,yes,4,3,1,3,3,4,11,12,11
M,18,U,GT3,T,4,4,teacher,services,1,2,1,no,yes,no,yes,yes,no,4,3,2,2,2,0,10,10,0
M,18,U,LE3,T,3,4,services,other,1,2,0,no,no,no,yes,yes,yes,4,3,1,3,5,11,16,15,15
F,17,U,GT3,A,2,2,at_home,at_home,1,2,1,no,yes,no,no,yes,yes,3,3,1,2,4,0,9,8,0
F,18,U,GT3,T,2,3,at_home,other,1,3,0,no,yes,no,no,yes,no,4,3,1,2,3,4,11,10,10
F,18,U,GT3,T,3,2,other,services,1,3,0,no,no,no,no,yes,yes,5,4,2,3,1,7,13,13,14
M,18,R,GT3,T,4,3,teacher,services,1,3,0,no,no,no,no,yes,yes,5,3,1,2,4,9,16,15,16
M,18,U,GT3,T,4,3,teacher,other,1,3,0,no,yes,yes,no,yes,yes,5,4,2,3,5,0,10,10,9
F,17,U,GT3,T,4,3,health,other,1,3,0,no,yes,yes,yes,yes,yes,4,4,1,3,4,0,13,15,15
M,18,R,GT3,T,3,2,other,other,2,1,1,no,yes,no,no,yes,no,2,5,5,5,5,10,11,13,13
M,19,R,GT3,T,1,1,other,services,3,2,3,no,no,no,no,yes,no,5,4,3,3,2,8,8,7,8
M,17,U,GT3,T,3,3,health,other,2,2,0,no,yes,yes,no,yes,no,4,5,2,3,3,2,13,13,13
M,18,U,LE3,T,1,3,at_home,services,1,1,1,no,no,no,no,yes,yes,4,3,2,3,3,7,8,7,8
M,19,R,GT3,T,1,1,other,other,3,1,1,no,yes,no,no,yes,no,4,4,3,3,5,4,8,8,8
M,17,R,GT3,T,4,3,services,other,2,2,0,no,yes,yes,yes,yes,yes,4,5,1,3,2,4,13,11,11
F,18,U,GT3,T,3,3,services,services,1,2,0,no,yes,no,no,no,yes,5,3,1,1,5,0,10,9,9
F,17,R,GT3,T,4,4,teacher,services,2,2,0,no,yes,yes,yes,yes,no,4,3,1,2,5,4,12,13,13
F,17,U,LE3,A,3,2,services,other,2,2,0,no,no,no,no,no,yes,1,2,1,2,5,2,12,12,11
M,18,U,LE3,T,1,1,other,services,2,1,0,no,no,no,no,yes,yes,3,3,1,2,3,4,10,10,10
F,18,U,LE3,T,1,1,at_home,services,2,3,0,no,no,no,no,yes,no,5,3,1,1,4,0,18,16,16
F,18,R,LE3,A,1,4,at_home,other,3,2,0,no,no,no,no,no,yes,4,3,1,4,5,0,13,13,13
M,18,R,LE3,T,1,1,at_home,other,2,2,1,no,no,no,yes,no,no,4,4,2,3,5,2,13,12,12
F,18,U,GT3,T,3,3,services,services,2,2,0,no,yes,no,no,yes,yes,4,3,1,3,3,0,11,11,10
F,17,U,LE3,T,4,4,at_home,at_home,1,2,0,no,yes,yes,yes,yes,yes,2,3,1,1,1,0,16,15,15
F,17,R,GT3,T,1,2,other,services,2,2,0,no,no,no,no,no,no,3,2,1,2,3,0,12,11,12
M,18,R,GT3,T,1,3,at_home,other,2,2,0,no,yes,yes,no,no,no,3,3,2,4,3,4,10,10,10
M,18,U,LE3,T,4,4,teacher,services,2,3,0,no,no,yes,no,yes,yes,4,2,2,2,5,0,13,13,13
F,17,R,GT3,T,1,1,other,services,3,1,1,no,yes,yes,no,yes,yes,5,2,1,2,1,0,7,6,0
F,18,U,GT3,T,2,3,at_home,services,2,1,0,no,yes,yes,no,yes,yes,5,2,1,2,4,0,11,10,10
F,18,R,GT3,T,4,4,other,teacher,3,2,0,no,yes,yes,no,yes,yes,3,2,4,2,5,10,14,12,11
F,19,U,LE3,T,3,2,services,services,2,2,2,no,no,no,yes,no,yes,3,2,1,1,3,4,7,7,9
M,18,R,LE3,T,1,2,at_home,services,3,1,0,no,yes,yes,yes,yes,yes,4,3,2,3,3,3,14,12,12
F,17,U,GT3,T,2,2,other,at_home,1,3,0,no,no,no,yes,no,yes,3,4,1,1,3,8,13,11,11
F,17,R,GT3,T,1,2,other,other,1,1,0,no,no,no,yes,yes,no,3,5,1,3,1,14,6,5,5
F,18,R,LE3,T,4,4,other,other,2,3,0,no,no,no,no,yes,no,5,4,1,1,1,0,19,18,19
F,18,R,GT3,T,1,1,other,other,4,3,0,no,no,no,no,yes,no,4,3,1,2,4,2,8,8,10
F,20,U,GT3,T,4,2,health,other,2,3,2,no,yes,yes,no,yes,yes,5,4,1,1,3,4,15,14,15
F,18,R,LE3,T,4,4,teacher,services,1,2,0,no,no,yes,yes,yes,no,5,4,3,4,2,4,8,9,10
F,18,U,GT3,T,3,3,other,other,1,2,0,no,no,yes,no,yes,yes,4,1,1,2,1,0,15,15,15
F,17,R,GT3,T,3,1,at_home,other,1,2,0,no,yes,yes,yes,yes,no,4,5,2,3,1,17,10,10,10
M,18,U,GT3,T,4,4,teacher,teacher,1,2,0,no,no,yes,yes,yes,no,3,2,1,4,2,4,15,14,14
M,18,R,GT3,T,2,1,other,other,2,1,0,no,no,no,yes,yes,yes,4,4,1,3,5,5,7,6,7
M,17,U,GT3,T,2,3,other,services,2,2,0,no,no,no,yes,yes,no,4,4,1,1,3,2,11,11,10
M,19,R,GT3,T,1,1,other,services,2,1,1,no,no,no,no,no,no,4,3,1,3,5,0,6,5,0
M,18,R,GT3,T,4,2,other,other,2,1,1,no,no,yes,no,no,no,5,4,4,3,3,14,6,5,5
F,18,R,GT3,T,2,2,at_home,other,2,3,0,no,no,yes,no,no,no,5,3,1,3,4,2,10,9,10
F,18,R,GT3,T,4,4,teacher,at_home,3,1,0,no,yes,yes,yes,yes,yes,4,4,2,2,5,7,6,5,6
F,19,R,GT3,T,2,3,services,other,1,3,1,no,no,no,yes,yes,no,5,4,1,2,5,0,7,5,0
F,18,U,LE3,T,3,1,teacher,services,1,2,0,no,yes,yes,no,yes,no,4,3,1,1,1,0,7,9,8
F,18,U,GT3,T,1,1,other,other,2,2,1,no,no,no,yes,no,no,1,1,1,1,5,0,6,5,0
M,20,U,LE3,A,2,2,services,services,1,2,2,no,yes,yes,no,no,no,5,5,4,5,4,11,9,9,9
M,17,U,LE3,T,3,1,services,services,2,1,0,no,no,no,no,yes,no,2,4,3,4,2,3,14,16,16
M,21,R,GT3,T,1,1,other,other,1,1,3,no,no,no,no,no,no,5,5,3,3,3,3,10,8,7
M,18,R,LE3,T,3,2,services,other,3,1,0,no,no,no,no,yes,no,4,4,3,4,5,0,11,12,10
M,19,U,LE3,T,1,1,other,at_home,1,1,0,no,no,no,no,yes,no,3,2,3,3,5,5,8,9,9
