framework,category,standard,description
csp2021,DAT-1.A,DAT-1.A.8,"Analog data have values that change smoothly, rather than in discrete intervals, over time. Some examples of analog data include pitch and volume of music, colors of a painting, or position of a sprinter during a race.  "
csp2021,DAT-1.A,DAT-1.A.9,The use of digital data to approximate real-world analog data is an example of abstraction.
csp2021,DAT-1.B,DAT-1.B.1,"In many programming languages, integers are represented by a fixed number of bits, which limits the range of integer values and mathematical operations on those values. This limitation can result in overflow or other errors."
csp2021,DAT-1.B,DAT-1.B.2,Other programming languages provide an abstraction through which the size of representable integers is limited only by the size of the computer's memory; this is the case for the language defined in the exam reference sheet.
csp2021,DAT-1.B,DAT-1.B.3,"In programming languages, the fixed number of bits used to represent real numbers limits the range and mathematical operations on these values; this limitation can result in round-off and other errors. Some real numbers are represented as approximations i"
csp2021,DAT-1.C,DAT-1.C.1,"Number bases, including binary and decimal, are used to represent data."
csp2021,DAT-1.C,DAT-1.C.2,Binary (base 2) uses only combinations of the digits zero and one.
csp2021,DAT-1.C,DAT-1.C.3,Decimal (base 10) uses only combinations of the digits 0 – 9.
csp2021,DAT-1.C,DAT-1.C.4,"As with decimal, a digit’s position in the binary sequence determines its numeric value. The numeric value is equal to the bit’s value (0 or 1) multiplied by the place value of its position."
csp2021,DAT-1.C,DAT-1.C.5,The place value of each position is determined by the base raised to the power of the position. Positions are numbered starting at the rightmost position with 0 and increasing by 1 for each subsequent position to the left.
csp2021,DAT-1.D,DAT-1.D.1,Data compression can reduce the size (number of bits) of  transmitted or stored data.
csp2021,DAT-1.D,DAT-1.D.2,Fewer bits does not necessarily mean less information.
csp2021,DAT-1.D,DAT-1.D.3,The amount of size reduction from compression depends on both the amount of redundancy in the original data representation and the compression algorithm applied.
csp2021,DAT-1.D,DAT-1.D.4,Lossless data compression algorithms can usually reduce the number of bits stored or transmitted while guaranteeing complete reconstruction of the original data.
csp2021,DAT-1.D,DAT-1.D.5,Lossy data compression algorithms can significantly reduce the number of bits stored or transmitted but only allow reconstruction of an approximation of the original data.
csp2021,DAT-1.D,DAT-1.D.6,Lossy data compression algorithms can usually reduce the number of bits stored or transmitted more than lossless compression algorithms.
csp2021,DAT-1.D,DAT-1.D.7,"In situations where quality or ability to reconstruct the original is maximally important, lossless compression algorithms are typically chosen."
csp2021,DAT-1.D,DAT-1.D.8,"In situations where minimizing data size or transmission time is maximally important, lossy compression algorithms are typically chosen."
csp2021,DAT-2.A,DAT-2.A.1,Information is the collection of facts and patterns extracted from data. 
csp2021,DAT-2.A,DAT-2.A.2,"Data provide opportunities for identifying trends, making connections, and addressing problems."
csp2021,DAT-2.A,DAT-2.A.3,Digitally processed data may show correlation between variables. A correlation found in data does not necessarily indicate that a causal relationship exists. Additional research is needed to understand the exact nature of the relationship.
csp2021,DAT-2.A,DAT-2.A.4,"Often, a single source does not contain the data needed to draw a conclusion. It may be necessary to combine data from a variety of sources to formulate a conclusion."
csp2021,DAT-2.B,DAT-2.B.1,"Metadata are data about data. For example, the piece of data may be an image, while the metadata may include the date of creation or the file size of the image. "
csp2021,DAT-2.B,DAT-2.B.2,Changes and deletions made to metadata do not change the primary data.
csp2021,DAT-2.B,DAT-2.B.3,"Metadata are used for finding, organizing, and managing information. "
csp2021,DAT-2.B,DAT-2.B.4,Metadata can increase the effective use of data or data sets by providing additional information. 
csp2021,DAT-2.B,DAT-2.B.5,Metadata allow data to be structured and organized.
csp2021,DAT-2.C,DAT-2.C.1,The ability to process data depends on the capabilities of the users and their tools. 
csp2021,DAT-2.C,DAT-2.C.2,"Data sets pose challenges regardless of size, such as:●       the need to clean data●       incomplete data●       invalid data●       the need to combine data sources"
csp2021,DAT-2.C,DAT-2.C.3,"Depending on how data were collected, they may not be uniform. For example, if users entered data into an open field, the way they choose to abbreviate, spell, or capitalize something may vary from user to user. "
csp2021,DAT-2.C,DAT-2.C.4,"Cleaning data is a process that makes the data uniform without changing its meaning (e.g., replacing all equivalent abbreviations, spellings, and capitalizations with the same word). "
csp2021,DAT-2.C,DAT-2.C.5,Problems of bias are often created by the type or source of data being collected. Bias is not eliminated by simply collecting more data.
csp2021,DAT-2.C,DAT-2.C.6,The size of a data set affects the amount of information that can be extracted from it.
csp2021,DAT-2.C,DAT-2.C.7,Large data sets are difficult to process using a single computer and may require parallel systems.
csp2021,DAT-2.C,DAT-2.C.8,"Scalability of systems is an important consideration when working with data sets, as the computational capacity of a system affects how data sets can be processed and stored."
csp2021,DAT-2.D,DAT-2.D.1,Programs can be used to process data to acquire information.
csp2021,DAT-2.D,DAT-2.D.2,"Tables, diagrams, text, and other visual tools can be used to communicate insight and knowledge gained from data."
csp2021,DAT-2.D,DAT-2.D.3,Search tools are useful for efficiently finding information.
csp2021,DAT-2.D,DAT-2.D.4,Data filtering systems are important tools for finding information and recognizing patterns in data.
csp2021,DAT-2.D,DAT-2.D.5,Programs such as spreadsheets help efficiently organize and find trends in information.
csp2021,DAT-2.D,DAT-2.D.6,"Some processes that can be used to extract or modify information from data include the following:●       transforming every element of a data set, such as doubling every element in a list, or extracting the parent’s email from every student record●     "
csp2021,DAT-2.E,DAT-2.E.1,Programs are used in an iterative and interactive way when processing information to allow users to gain insight and knowledge about data.
csp2021,DAT-2.E,DAT-2.E.2,"Programmers can use programs to filter and clean digital data, thereby gaining insight and knowledge."
csp2021,DAT-2.E,DAT-2.E.3,"Combining data sources, clustering data, and classifying data are parts of the process of using programs to gain insight and knowledge from data."
csp2021,DAT-2.E,DAT-2.E.4,Insight and knowledge can be obtained from translating and transforming digitally represented information.
csp2021,DAT-2.E,DAT-2.E.5,Patterns can emerge when data are transformed using programs.
csp2021,IOC-1.A,IOC-1.A.1,People create computing innovations.
csp2021,IOC-1.A,IOC-1.A.2,The way people complete tasks often changes to incorporate new computing innovations.
csp2021,IOC-1.A,IOC-1.A.3,Not every effect of a computing innovation is anticipated in advance.
csp2021,IOC-1.A,IOC-1.A.4,"A single effect can be viewed as both beneficial and harmful by different people, or even by the same person. "
csp2021,IOC-1.A,IOC-1.A.5,"Advances in computing have generated and increased creativity in other fields, such as medicine, engineering, communications, and the arts."
csp2021,IOC-1.B,IOC-1.B.1,"Computing innovations can be used in ways that their creators had not originally intended:●       The World Wide Web was originally intended only for rapid and easy exchange of information within the scientific community. ●       Targeted advertising is used to help businesses, but it can be misused at both individual and aggregate levels. ●       Machine learning and data mining have enabled innovation in medicine, business, and science, but information discovered in this way has also been used to discriminate against groups of individuals."
csp2021,IOC-1.B,IOC-1.B.2,"Some of the ways computing innovations can be used may have a harmful impact on society, economy, or culture."
csp2021,IOC-1.B,IOC-1.B.3,Responsible programmers try to consider the unintended ways their computing innovations can be used and the potential beneficial and harmful effects of these new uses.
csp2021,IOC-1.B,IOC-1.B.4,It is not possible for a programmer to consider all the ways a computing innovation can be used.
csp2021,IOC-1.B,IOC-1.B.5,Computing innovations have often had unintended beneficial effects by leading to advances in other fields.
csp2021,IOC-1.B,IOC-1.B.6,Rapid sharing of a program or running a program with a large number of users can result in significant impacts beyond the intended purpose or control of the programmer.
csp2021,IOC-1.C,IOC-1.C.1,"Internet access varies between socioeconomic, geographic, and demographic characteristics, as well as between countries. "
csp2021,IOC-1.C,IOC-1.C.2,"The “digital divide” refers to differing access to computing devices and the Internet, based on socioeconomic, geographic, or demographic characteristics. "
csp2021,IOC-1.C,IOC-1.C.3,The digital divide can affect both groups and individuals.
csp2021,IOC-1.C,IOC-1.C.4,"The digital divide raises issues of equity, access, and influence, both globally and locally."
csp2021,IOC-1.C,IOC-1.C.5,"The digital divide is affected by the actions of individuals, organizations, and governments."
csp2021,IOC-1.D,IOC-1.D.1,Computing innovations can reflect existing human biases because of biases written into the algorithms or biases in the data used by the innovation.
csp2021,IOC-1.D,IOC-1.D.2,Programmers should take action to reduce bias in algorithms used for computing innovations as a way of combating existing human biases.
csp2021,IOC-1.D,IOC-1.D.3,Biases can be embedded at all levels of software development.
csp2021,IOC-1.E,IOC-1.E.1,"Widespread access to information and public data facilitates the identification of problems, development of solutions, and dissemination of results."
csp2021,IOC-1.E,IOC-1.E.2,Science has been affected by using distributed and “citizen science” to solve scientific problems. 
csp2021,IOC-1.E,IOC-1.E.3,"Citizen science is scientific research conducted in whole or part by distributed individuals, many of whom may not be scientists, who contribute relevant data to research using their own computing devices."
csp2021,IOC-1.E,IOC-1.E.4,Crowdsourcing is the practice of obtaining input or information from a large number of people via the Internet.
csp2021,IOC-1.E,IOC-1.E.5,Human capabilities can be enhanced by collaboration via computing.
csp2021,IOC-1.E,IOC-1.E.6,"Crowdsourcing offers new models for collaboration, such as connecting businesses or social causes with funding."
csp2021,IOC-1.F,IOC-1.F.1,Material created on a computer is the intellectual property of the creator or an organization. 
csp2021,IOC-1.F,IOC-1.F.10, The digital divide raises ethical concerns around computing.
csp2021,IOC-1.F,IOC-1.F.11, Computing innovations can raise legal and ethical concerns. Some examples of these include:●       the development of software that allows access to digital media downloads and streaming●       the development of algorithms that include bias●       the existence of computing devices that collect and analyze data by continuously monitoring activities
csp2021,IOC-1.F,IOC-1.F.2,"Ease of access and distribution of digitized information raises intellectual property concerns regarding ownership, value, and use."
csp2021,IOC-1.F,IOC-1.F.3,Measures should be taken to safeguard intellectual property.
csp2021,IOC-1.F,IOC-1.F.4,The use of material created by someone else without permission and presented as one’s own is plagiarism and may have legal consequences. 
csp2021,IOC-1.F,IOC-1.F.5,Some examples of legal ways to use materials created by someone else include:●       Creative Commons—a public copyright license that enables the free distribution of an otherwise copyrighted work. This is used when the content creator wants to give othe
csp2021,IOC-1.F,IOC-1.F.6,The use of material created by someone other than you should always be cited. 
csp2021,IOC-1.F,IOC-1.F.7,"Creative commons, open source, and open access have enabled broad access to digital information."
csp2021,IOC-1.F,IOC-1.F.8,"As with any technology or medium, using computing to harm individuals or groups of people raises legal and ethical concerns. "
csp2021,IOC-1.F,IOC-1.F.9,"Computing can play a role in social and political issues, which in turn often raise legal and ethical concerns."
csp2021,IOC-2.A,IOC-2.A.1,"Personally identifiable information (PII) is information about an individual that identifies, links, relates, or describes them. Examples of PII include:●       social security number●       age●       race●       phone number(s)●       medical infor"
csp2021,IOC-2.A,IOC-2.A.10, Commercial and governmental curation of information may be exploited if privacy and other protections are ignored.
csp2021,IOC-2.A,IOC-2.A.11," Information placed online can be used in ways that were not intended and that may have a harmful impact. For example, an email message may be forwarded, tweets can be retweeted, and social media posts can be viewed by potential employers."
csp2021,IOC-2.A,IOC-2.A.12, PII can be used to stalk or steal the identity of a person or to aid in the planning of other criminal acts. 
csp2021,IOC-2.A,IOC-2.A.13," Once information is placed online, it is difficult to delete."
csp2021,IOC-2.A,IOC-2.A.14," Programs can collect your location and record where you have been, how you got there, and how long you were at a given location."
csp2021,IOC-2.A,IOC-2.A.15, Information posted to social media services can be used by others. Combining information posted on social media and other sources can be used to deduce private information about you.
csp2021,IOC-2.A,IOC-2.A.2,Search engines can record and maintain a history of searches made by users. 
csp2021,IOC-2.A,IOC-2.A.3,Websites can record and maintain a history of individuals who have viewed their pages. 
csp2021,IOC-2.A,IOC-2.A.4,"Devices, websites, and networks can collect information about a user’s location."
csp2021,IOC-2.A,IOC-2.A.5,"Technology enables the collection, use, and exploitation of information about, by, and for individuals, groups, and institutions."
csp2021,IOC-2.A,IOC-2.A.6,Search engines can use search history to suggest websites or for targeted marketing. 
csp2021,IOC-2.A,IOC-2.A.7,"Disparate personal data, such as geolocation, cookies, and browsing history, can be aggregated to create knowledge about an individual."
csp2021,IOC-2.A,IOC-2.A.8,PII and other information placed online can be used to enhance a user’s online experiences. 
csp2021,IOC-2.A,IOC-2.A.9,PII stored online can be used to simplify making online purchases. 
csp2021,IOC-2.B,IOC-2.B.1,Authentication measures protect devices and information from unauthorized access. Examples of authentication measures include strong passwords and multifactor authentication.
csp2021,IOC-2.B,IOC-2.B.10, All real-world systems have errors or design flaws that can be exploited to compromise them. Regular software updates help fix errors that could compromise a computing system.
csp2021,IOC-2.B,IOC-2.B.11, Users can control the permissions programs have for collecting user information. Users should review the permission settings of programs to protect their privacy.
csp2021,IOC-2.B,IOC-2.B.2,A strong password is something that is easy for a user to remember but would be difficult for someone else to guess based on knowledge of that user. 
csp2021,IOC-2.B,IOC-2.B.3,"Multifactor authentication is a method of computer access control in which a user is only granted access after successfully presenting several separate pieces of evidence to an authentication mechanism, typically in at least two of the following categorie"
csp2021,IOC-2.B,IOC-2.B.4,Multifactor authentication requires at least two steps to unlock protected information; each step adds a new layer of security that must be broken to gain unauthorized access. 
csp2021,IOC-2.B,IOC-2.B.5,Encryption is the process of encoding data to prevent unauthorized access. Decryption is the process of decoding the data. Two common encryption approaches are: ●       Symmetric key encryption involves one key for both encryption and decryption.●      
csp2021,IOC-2.B,IOC-2.B.6,Certificate authorities issue digital certificates that validate the ownership of encryption keys used in secure communications and are based on a trust model .
csp2021,IOC-2.B,IOC-2.B.7,Computer virus and malware scanning software can help protect a computing system against infection.
csp2021,IOC-2.B,IOC-2.B.8,A computer virus is a malicious program that can copy itself and gain access to a computer in an unauthorized way. Computer viruses often attach themselves to legitimate programs and start running independently on a computer.
csp2021,IOC-2.B,IOC-2.B.9,Malware is software intended to damage a computing system or to take partial control over its operation.
csp2021,IOC-2.C,IOC-2.C.1,"Phishing is a technique that attempts to trick a user into providing personal information. That personal information can then be used to access sensitive online resources, such as bank accounts and emails."
csp2021,IOC-2.C,IOC-2.C.2,Keylogging is the use of a program to record every keystroke made by a computer user in order to gain fraudulent access to passwords and other confidential information.
csp2021,IOC-2.C,IOC-2.C.3,"Data sent over public networks can be intercepted, analyzed, and modified. One way that this can happen is through a rogue access point. "
csp2021,IOC-2.C,IOC-2.C.4,A rogue access point is a wireless access point that gives unauthorized access to secure networks.
csp2021,IOC-2.C,IOC-2.C.5,A malicious link can be disguised on a web page or in an email message. 
csp2021,IOC-2.C,IOC-2.C.6,"Unsolicited emails, attachments, links, and forms in emails can be used to compromise the security of a computing system. These can come from unknown senders or from known senders whose security has been compromised. "
csp2021,IOC-2.C,IOC-2.C.7,Untrustworthy (often free) downloads from freeware or shareware sites can contain malware.
